0ab30c47d9a64dc0b58ba562417157882a5dd6aebaef510c35faf0b94e7394a0,65ee3fadb79ea67c53aacbac543f28015962ddc9298c5c022457ce0dd7ce7c0d,ad49cea9c063a6aa455e973d3d8557b47ef6622e62822356dba03958e16ca3ed,71c8113a8837de5f1a7e073f2d9ad197f35500936aae521a9571ff0d2d2bb297,f2a95c3042b86b3a0e5bf0602759c189a60e2cdd3d361c96bbc8de2d1c6d6c67,f9c0139df54a0919d196fa25ae9e0c8398121585bb127794f91e1a92b317d6e6,d75c61c75b6bbce435e077e875e21dfb2435b170bd406c7f2f83c15bcaacaffa,6756b3ec32f785c6a92711a45a7cd07034636d4cc5b56a14f22f82a372eb7b1a,73e2057682dd0fb85253c88900164f85f4d32229f93721309705a4a29ca41239,1db68e801bb8ffae5dc2cdbef80a1d806f8b52b922b6da66427cc849264b2e5a,1956c44d8f85c54fe77bfb9435a1e77a8642429580c9e6837ee9bae4819736af
"285001001","91002","25021","25015","31","10","2","2","8","8","1"
"285001002","91002","25021","25015","31","10","2","2","8","8","2"
"285001003","91002","25021","25015","32","10","2","2","8","8","3"
"285001004","91002","25021","25015","32","10","2","2","8","8","4"
"285001005","91002","25021","25015","33","10","2","2","8","8","5"
"285001006","91002","25021","25015","33","10","2","2","8","9","6"
"285001007","91002","25021","25015","34","10","2","2","8","9","7"
"285001008","91002","25021","25015","35","10","2","2","8","9","8"
"285001009","91002","25021","25015","35","10","2","2","8","9","9"
"285001010","91002","25021","25015","37","30","2","2","8","10","10"
"285001011","91002","25021","25015","41","10","2","2","8","10","11"
"285001012","91002","25021","25015","43","10","2","2","8","11","12"
"285001013","91002","25021","25015","46","10","2","2","8","11","13"
"285001014","91002","25021","25015","48","10","2","2","8","12","14"
"285001015","91002","25021","25015","50","10","2","2","8","12","15"
"285001016","91002","25021","25015","53","10","2","2","8","13","16"
"285001017","91002","25021","25015","55","10","2","2","8","14","17"
"285001018","91002","25021","25015","58","10","2","2","8","14","18"
"285001019","91002","25021","25015","60","10","2","2","8","15","19"
"285001020","91002","25021","25015","62","30","2","2","8","15","20"
"285001021","91002","25021","25015","68","10","2","2","8","16","21"
"285001022","91002","25021","25015","70","10","2","2","8","16","22"
"285001023","91002","25021","25015","72","10","2","2","8","16","23"
"285001024","91002","25021","25015","75","10","2","2","8","17","24"
"285001025","91002","25021","25015","77","10","2","2","8","18","25"
"285001026","91002","25021","25015","79","10","2","2","8","18","26"
"285001027","91002","25021","25015","82","10","2","2","8","19","27"
"285001028","91002","25021","25015","84","10","2","2","8","19","28"
"285001029","91002","25021","25015","86","10","2","2","8","19","29"
"285001030","91002","25021","25015","89","30","2","2","8","20","30"
"285001031","91002","25021","25015","94","10","2","2","8","20","31"
"285001032","91002","25021","25015","96","10","2","2","8","21","32"
"285001033","91002","25021","25015","99","10","2","2","8","21","33"
"285001034","91002","25021","25015","101","10","2","2","8","22","34"
"285001035","91002","25021","25015","103","10","2","2","8","22","35"
"285001036","91002","25021","25015","106","10","2","2","8","23","36"
"285001037","91002","25021","25015","108","10","2","2","8","23","37"
"285001038","91002","25021","25015","111","10","2","2","8","24","38"
"285001039","91002","25021","25015","113","10","2","2","8","25","39"
"285001040","91002","25021","25015","115","30","2","2","8","25","40"
"285001041","91002","25021","25015","121","10","2","2","8","26","41"
"285001042","91002","25021","25015","123","10","2","2","8","27","42"
"285001043","91002","25021","25015","125","10","2","2","8","28","43"
"285001044","91002","25021","25015","128","10","2","2","8","28","44"
"285001045","91002","25021","25015","130","10","2","2","8","29","45"
"285001046","91002","25021","25015","132","10","2","2","8","30","46"
"285001047","91002","25021","25015","135","10","2","2","8","30","47"
"285001048","91002","25021","25015","137","10","2","2","8","31","48"
"285001049","91002","25021","25015","139","10","2","2","8","31","49"
"285001050","91002","25021","25015","142","30","2","2","8","31","50"
"285001051","91002","25021","25015","144","10","2","2","8","32","51"
"285001052","91002","25021","25015","146","10","2","2","8","32","52"
"285001053","91002","25021","25015","149","10","2","2","8","32","53"
"285001054","91002","25021","25015","152","10","2","2","8","33","54"
"285001055","91002","25021","25015","155","10","2","2","8","33","55"
"285001056","91002","25021","25015","157","10","2","2","8","33","56"
"285001057","91002","25021","25015","160","10","2","2","8","34","57"
"285001058","91002","25021","25015","163","10","2","2","8","34","58"
"285001059","91002","25021","25015","166","10","2","2","8","34","59"
"285001060","91002","25021","25015","169","30","2","2","8","35","60"
"285001061","91002","25021","25015","171","10","2","2","8","35","61"
"285001062","91002","25021","25015","174","10","2","2","8","35","62"
"285001063","91002","25021","25015","177","10","2","2","8","36","63"
"285001064","91002","25021","25015","180","10","2","2","8","36","64"
"285001065","91002","25021","25015","182","10","2","2","8","36","65"
"285001066","91002","25021","25015","185","10","2","2","8","37","66"
"285001067","91002","25021","25015","187","10","2","2","8","37","67"
"285001068","91002","25021","25015","190","10","2","2","8","37","68"
"285001069","91002","25021","25015","193","10","2","2","8","38","69"
"285001070","91002","25021","25015","196","30","2","2","8","38","70"
"285001071","91002","25021","25015","200","10","2","2","8","39","71"
"285001072","91002","25021","25015","204","10","2","2","8","39","72"
"285001073","91002","25021","25015","208","10","2","2","8","40","73"
"285001074","91002","25021","25015","212","10","2","2","8","40","74"
"285001075","91002","25021","25015","216","10","2","2","8","41","75"
"285001076","91002","25021","25015","220","10","2","2","8","41","76"
"285001077","91002","25021","25015","224","10","2","2","8","42","77"
"285001078","91002","25021","25015","228","10","2","2","8","42","78"
"285001079","91002","25021","25015","232","10","2","2","8","43","79"
"285001080","91002","25021","25015","236","30","2","2","8","43","80"
