339438a5f85460668789ea0fd2b704db1590ea61c99c8576e39a62cb10e1215f,9f9e2347f5983da850efcce49b004067a7b6888e3e9deb8a8c238e4536036989,4b3ea10ffd4fcbab691b2f0dbcd44a7ac5c792b5dfcae18aa2c3cdc380f8cd3d
"1","icon_unit_sort_physics","物理"
"2","icon_unit_sort_magic","魔法"
"100","icon_unit_role_001","攻擊者"
"101","icon_unit_role_002","破防者"
"102","icon_unit_role_003","增益者"
"103","icon_unit_role_004","減益者"
"104","icon_unit_role_005","增幅者"
"105","icon_unit_role_006","治療者"
"106","icon_unit_role_007","掩護者"
"107","icon_unit_role_008","妨礙者"
"200","icon_unit_sort_single_attack","單體"
"201","icon_unit_sort_range_attack","範圍"
"203","icon_unit_sort_slip_attack","持續傷害"
"301","icon_status_13","物攻下降"
"302","icon_status_15","魔攻下降"
"311","icon_status_14","物防下降"
"312","icon_status_16","魔防下降"
"321","icon_status_22","速度降低"
"331","icon_status_19","減少ＴＰ上升"
"332","icon_status_19","降低ＴＰ"
"401","icon_status_24","物理無效"
"402","icon_status_25","魔法無效"
"403","icon_status_26","物理吸收"
"404","icon_status_27","魔法吸收"
"405","icon_status_28","物理魔法無效"
"406","icon_status_29","物理魔法吸收"
"501","icon_status_01","物攻上升"
"502","icon_status_03","魔攻上升"
"511","icon_status_02","物防上升"
"512","icon_status_04","魔防上升"
"521","icon_status_09","速度上升"
"522","icon_status_152","累加速度上升"
"531","icon_status_06","物理暴擊提升"
"532","icon_status_06","魔法暴擊提升"
"533","icon_status_67","物理暴擊傷害提升"
"534","icon_status_69","魔法暴擊傷害提升"
"541","icon_status_07","提升ＴＰ上升"
"700","common_unit_icon_front","前衛"
"701","common_unit_icon_middle","中衛"
"702","common_unit_icon_back","後衛"
"800","icon_status_08","ＨＰ恢復"
"801","icon_status_07","ＴＰ恢復"
"802","icon_status_08","持續恢復ＨＰ"
"803","icon_status_07","持續恢復ＴＰ"
"901","icon_status_43","無法行動"
"902","icon_status_36","魅惑、混亂"
"903","icon_status_37","挑釁"
"904","icon_status_132","飛行"
"905","icon_status_203","調和"
"906","icon_status_75","傷害降低"
"907","icon_status_129","無法行動無效"
"10001","","掩護者"
"10002","","前衛"
"10003","","中衛"
"10004","","後衛"
"10005","","物理攻擊"
"10006","","魔法攻擊"
"10007","","範圍攻擊"
"10008","","持續傷害"
"10009","","物防下降"
"10010","","魔防下降"
"10011","","物攻下降"
"10012","","魔攻下降"
"10013","","物防上升"
"10014","","魔防上升"
"10015","","降低TP"
"10016","","恢復"
"10017","","護盾"
"10018","","挑釁"
"10019","","無法行動"
