badf4b452d0dbf1494eeb6eec4de5a230bbfa4e94b0c3892cf5f57335d001584,3ab1713514c4abc8fb01205c972d929264915474d4b3e2edb5bbe136c9e6bfb2,4b20e9f0003ed260c5cf1a140fdaa4ec69ca63ff43f8e9b898a3be10443aa3f6,6bd6ae92a4e320ea3635e95d27910d910e9c9128000cbf555d924134a48157e0,1fe7e4f4358453d1e9cea6aad1c21a13634c650e64e784cc83ff264fe6b0a882,218f0bfd82b5ec6132c2ae7bef8249c3e98d9cafc0795bb93f3858717b365c10,c81c53477c1f87e75c2c65890efe86ec8473fa705f958505beaf70d5c975895b,ad318301c5a42d471c5b65a8bfa12d87a431fa187b29abb8187889e3ab5b8ce8,47e4f5ef33b7d16ed8db89e3a4eeb1585f033f62ca1c96f7e2a68ff5503eec71
"90043","1","90001","10000","12000","1","30000","0","10"
"90047","2","90002","10000","24000","2","30000","0","20"
"90047","3","90002","10000","24000","3","30000","0","20"
"90047","4","90002","10000","24000","4","30000","0","20"
"90047","5","90002","10000","24000","5","30000","0","20"
"90047","6","90002","10000","24000","6","30000","0","20"
"90047","7","90002","10000","24000","7","30000","0","20"
"90047","8","90002","10000","24000","8","30000","0","20"
"90047","9","90002","10000","24000","9","30000","0","20"
"90047","10","90002","10000","24000","10","30000","0","20"
"90051","11","90003","10000","48000","11","30000","90011","40"
"90051","12","90003","10000","48000","12","30000","90011","40"
"90051","13","90003","10000","48000","13","30000","90011","40"
"90051","14","90003","10000","48000","14","30000","90011","40"
"90051","15","90003","10000","48000","15","30000","90011","40"
"90051","16","90003","10000","48000","16","30000","90011","40"
"90051","17","90003","10000","48000","17","30000","90011","40"
"90051","18","90003","10000","48000","18","30000","90011","40"
"90051","19","90003","10000","48000","19","30000","90011","40"
"90051","20","90003","10000","48000","20","30000","90011","40"
"90055","21","90004","10000","72000","21","30000","90015","60"
"90055","22","90004","10000","72000","22","30000","90015","60"
"90055","23","90004","10000","72000","23","30000","90015","60"
"90055","24","90004","10000","72000","24","30000","90015","60"
"90055","25","90004","10000","72000","25","30000","90015","60"
"90055","26","90004","10000","72000","26","30000","90015","60"
"90055","27","90004","10000","72000","27","30000","90015","60"
"90055","28","90004","10000","72000","28","30000","90015","60"
"90055","29","90004","10000","72000","29","30000","90015","60"
"90055","30","90004","10000","72000","30","30000","90015","60"
"90059","31","90005","10000","96000","31","30000","90015","80"
"90059","32","90005","10000","96000","32","30000","90015","80"
"90059","33","90005","10000","96000","33","30000","90015","80"
"90059","34","90005","10000","96000","34","30000","90015","80"
"90059","35","90005","10000","96000","35","30000","90015","80"
"90059","36","90005","10000","96000","36","30000","90015","80"
"90059","37","90005","10000","96000","37","30000","90015","80"
"90059","38","90005","10000","96000","38","30000","90015","80"
"90059","39","90005","10000","96000","39","30000","90015","80"
"90059","40","90005","10000","96000","40","30000","90015","80"
"90063","41","90005","10000","144000","41","30000","90017","120"
"90063","42","90005","10000","144000","42","30000","90017","120"
"90063","43","90005","10000","144000","43","30000","90017","120"
"90063","44","90005","10000","144000","44","30000","90017","120"
"90063","45","90005","10000","144000","45","30000","90017","120"
"90063","46","90005","10000","144000","46","30000","90017","120"
"90063","47","90005","10000","144000","47","30000","90017","120"
"90063","48","90005","10000","144000","48","30000","90017","120"
"90063","49","90005","10000","144000","49","30000","90017","120"
"90063","50","90005","10000","144000","50","30000","90017","120"
"90067","51","90006","10000","180000","51","30000","90019","150"
"90067","52","90006","10000","180000","52","30000","90019","150"
"90067","53","90006","10000","180000","53","30000","90019","150"
"90067","54","90006","10000","180000","54","30000","90019","150"
"90067","55","90006","10000","180000","55","30000","90019","150"
"90067","56","90006","10000","180000","56","30000","90019","150"
"90067","57","90006","10000","180000","57","30000","90019","150"
"90067","58","90006","10000","180000","58","30000","90019","150"
"90067","59","90006","10000","180000","59","30000","90019","150"
"90067","60","90006","10000","180000","60","30000","90019","150"
"90071","61","90007","10000","216000","61","30000","90021","180"
"90071","62","90007","10000","216000","62","30000","90021","180"
"90071","63","90007","10000","216000","63","30000","90021","180"
"90071","64","90007","10000","216000","64","30000","90021","180"
"90071","65","90007","10000","216000","65","30000","90021","180"
"90071","66","90007","10000","216000","66","30000","90021","180"
"90071","67","90007","10000","216000","67","30000","90021","180"
"90071","68","90007","10000","216000","68","30000","90021","180"
"90071","69","90007","10000","216000","69","30000","90021","180"
"90071","70","90007","10000","216000","70","30000","90021","180"
