cb2889d02d3fe2bdacbe9f009e3f21f1611f2cd2dd4aa1503b42c532cf92a30c,966905f6d968d05cb55aedd8ba966fe07b908098d7f1ab93ff797c752d887533,35cada1b63213b81dad3ac78e7fdd1964e819c387e0637d740fc50f59b6be510,783f039b25437080cc5d22739c86da85a729fecb42559ad1084bb1d800f96bb3,aff3e08619595c64f0dba1e41c9f42695605e10815e2bdcf46940fd727f3bba9,ddfe7c8de52f4afe611fc7b69ca9f01105e6ac50e7e79e59ea5a8a9526e3fd99,fc5422cba2954eeafbd1719018a230cf02f2491531586dc6e564b69c2fed4ea8,4973f5923000d39c712e90ecc0e08c6b6c2a306536dd849ea179bbf701a7c2c7,1d76e10ef8c76f3c3ffd5256c77a0f503478217baebb8060e2413df53b6db7db,7bca7cd6a4e42aa9f399003edc93ee3324aaf8fc753eefe8b8eb172043c2f6c8,88d41375a29b34d489a72a47d89a678b7a41bda46c41a73292730fb5823a2e46
"1000","1","1","1","100","1010001","5","1","102611","ttk_idle_def","-120"
"0","1","1","2","0","1010002","31","","2","","1"
"-80","1","1","1","-120","1010003","31","","1","","1"
"","1","","1","","1010004","93","","","",""
"0","1","","vo_minigame_1005","0","1010005","21","","vo_minigame_1005_top_000","",""
"0","1","0.3","102611","ttk_idle_doya","1010006","3","0.3","ttk_doya","","1"
"8","1","0","102611","","1010007","11","0","我會把大家\n交代的工作做好的","",""
"","1","","0","","1010008","91","","","",""
"1000","2","1","1","100","1020001","5","1","102611","ttk_idle_def","-120"
"0","2","1","2","0","1020002","31","","2","","1"
"-80","2","1","1","-120","1020003","31","","1","","1"
"","2","","1","","1020004","93","","","",""
"0","2","","vo_minigame_1005","0","1020005","21","","vo_minigame_1005_top_001","",""
"0","2","0.3","102611","ttk_idle_def","1020006","3","0.3","ttk_idle_smile","","1"
"8","2","0","102611","","1020007","11","0","我會讓你後悔\n出現在\n我面前的","",""
"","2","","0","","1020008","91","","","",""
"1000","3","1","1","100","1030001","5","1","102611","ttk_idle_def","-120"
"0","3","1","2","0","1030002","31","","2","","1"
"-80","3","1","1","-120","1030003","31","","1","","1"
"","3","","1","","1030004","93","","","",""
"0","3","","vo_minigame_1005","0","1030005","21","","vo_minigame_1005_top_002","",""
"0","3","0.1","102611","ttk_idle_joy","1030006","3","0.3","ttk_joy","","1"
"8","3","0","102611","","1030007","11","0","只要掌握到訣竅\n其實也還蠻開心的\n不對，勞動就是勞動……","",""
"","3","","2.2","","1030008","93","","","",""
"1","3","0.3","102611","","1030009","3","0.3","ttk_talk_sad","",""
"","3","","3","","1030010","93","","","",""
"1","3","0.3","102611","","1030011","3","0.3","ttk_idle_def","",""
"","3","","0","","1030012","91","","","",""
"1000","4","1","1","100","1040001","5","1","102611","ttk_idle_def","-120"
"0","4","1","2","0","1040002","31","","2","","1"
"-80","4","1","1","-120","1040003","31","","1","","1"
"","4","","1","","1040004","93","","","",""
"0","4","","vo_minigame_1005","0","1040005","21","","vo_minigame_1005_top_003","",""
"0","4","0.3","102611","ttk_idle_shock","1040006","3","0.3","ttk_shock","","1"
"8","4","0","102611","","1040007","11","0","我根本不想知道\n老鼠的事情好嗎\n唉……麻煩死了","",""
"","4","","5","","1040008","93","","","",""
"1","4","0.3","102611","","1040009","3","0.3","ttk_idle_def","",""
"","4","","0.7","","1040010","93","","","",""
"1000","5","1","1","100","1050001","5","1","102611","ttk_idle_def","-120"
"0","5","1","2","0","1050002","31","","2","","1"
"-80","5","1","1","-120","1050003","31","","1","","1"
"","5","","1","","1050004","93","","","",""
"0","5","","vo_minigame_1005","0","1050005","21","","vo_minigame_1005_top_004","",""
"0","5","0.3","102611","","1050006","3","0.3","ttk_surprise","",""
"8","5","0","102611","","1050007","11","0","唔哇！？\n別過來！\n唉……一隻接著一隻\n趕老鼠還真不容易……","",""
"","5","","0.9","","1050008","93","","","",""
"1","5","0.3","102611","","1050009","3","0.3","ttk_talk_anger","",""
"","5","","0.8","","1050010","93","","","",""
"0","5","0.3","102611","ttk_talk_sad","1050011","3","0.3","ttk_sad","","1"
"","5","","5","","1050012","93","","","",""
"1","5","0.3","102611","","1050013","3","0.3","ttk_idle_def","",""
"","5","","0","","1050014","91","","","",""
"1000","6","1","1","100","1060001","5","1","102611","ttk_idle_def","-120"
"0","6","1","2","0","1060002","31","","2","","1"
"-80","6","1","1","-120","1060003","31","","1","","1"
"","6","","1","","1060004","93","","","",""
"0","6","","vo_minigame_1005","0","1060005","21","","vo_minigame_1005_top_005","",""
"1","6","0.3","102611","","1060006","3","0.3","ttk_idle_worry","",""
"8","6","0","102611","","1060007","11","0","我完全不想要\n習慣這種事情……\n不過為了牧場，\n也只能這麼做了","",""
"","6","","7","","1060008","93","","","",""
"0","6","0.3","102611","ttk_idle_def","1060009","3","0.3","ttk_amz","","1"
"","6","","0","","1060010","91","","","",""
