83d93dd90208a4fa708c187991a2e18715dc8b68a244b9ee120b107f88dfa47a,7f13ced995ac3d58fa48def9b05c3113dc4f5bee99f1411eca946c7fd8cfb5b4,54ea67a1d0f42ed22b0bdb0329dcd27c74440873b40e473edd90ac9b5d788d81,50790bc60dc8fb62f1f18ef83836b86d7750f22ea4c91edcacd5f615b111de73,b82a610ec4de4f66d386e362c3d9d1cc156d22580104636bfdc47fdf655e3b2b,27a182e90bdf1c6d20c7fc9347fc76caa102b42878bd1515acf1872564d88ed9,4e476194c905c83e5320f89f8bae5b6911afbdfc5059732175bfdaed3ed1c980,1ca68cabc080eb5df69a1b890682ab134239ac464a8b3ba850d8c640a4b0bd8e,13b48146fd06984ade81e70a0b75bdcae15a4d8ae51f989c70899111711d1824,4f4fddb89e6dd74b443b5392595bffbfe156ae7d189a356db7698506e3c69d12,e8a4f3d7f47caebb42c2db856596fc50bde8c285d6ab83648f54dd2e320ea15f
"2","-150","1.3","55","1","empty","0","150","118511","201001","201"
"1","-150","0.65","56","5","empty","0","150","1","201002","201"
"3","-180","1.9","50","5","empty","0","-650","3","201003","201"
"201001","","","","91","","","","0","201004","201"
"118511","","0","0","3","","","","empty","201005","201"
"0","","","","91","","","","","201006","201"
"se_labyrinth","","","0","23","","","","se_labyrinth_event_drama_201","201007","201"
"118511","","0","0","3","","","","201_karin","201008","201"
"1","","0","0","3","","","","201_karin","201009","201"
"3","","0","0","3","","","","201_hero","201010","201"
"3","11","","-180","2","","","1.2","-150","201011","201"
"1.7","","","","93","","","","0","201012","201"
"vo_labyrinth_drama","","","0","21","","","","vo_labyrinth_drama_20101","201013","201"
"0.8","","","","93","","","","0","201014","201"
"3","0","0","1","12","0","0","0","7","201015","201"
"se_labyrinth","","","0","23","","","","se_labyrinth_event_emote_7","201016","201"
"1.1","","","","93","","","","0","201017","201"
"310","-213","1.9","55","5","empty","0","-225","310","311001","311"
"104","-187","0.8","50","5","empty","0","427","104","311002","311"
"300","1","0","0","31","","","0","300","311003","311"
"303","1","1","0","31","","","0","303","311004","311"
"303","1","1","0","31","","","0","304","311005","311"
"301","1","0","0","31","","","0","301","311006","311"
"311001","","","","91","","","","0","311007","311"
"310","","0","0","3","","","","empty","311008","311"
"0","","","","91","","","","","311009","311"
"se_labyrinth","","","0","23","","","","se_labyrinth_event_drama_311","311010","311"
"vo_labyrinth_drama","","","0","21","","","","vo_labyrinth_drama_31101","311011","311"
"310","","0","0","3","","","","311_hiyori_jankenpon_win","311012","311"
"104","","0","0","3","","","","jankenpon_lose","311013","311"
"300","","","","32","","","","1","311014","311"
"303","","","","37","","","","L_gu_WIN","311015","311"
"304","","","","37","","","","R_choki_LOSE","311016","311"
"3.133","","","","93","","","","0","311017","311"
"301","","","","32","","","","1","311018","311"
"vo_labyrinth_drama","","","0","21","","","","vo_labyrinth_drama_31102","311019","311"
"1.867","","","","93","","","","0","311020","311"
"310","-213","1.9","55","5","empty","0","-225","310","312001","312"
"105","-187","0.8","50","5","empty","0","427","105","312002","312"
"300","1","0","0","31","","","0","300","312003","312"
"303","1","1","0","31","","","0","303","312004","312"
"303","1","1","0","31","","","0","304","312005","312"
"302","1","0","0","31","","","0","302","312006","312"
"312001","","","","91","","","","0","312007","312"
"310","","0","0","3","","","","empty","312008","312"
"0","","","","91","","","","","312009","312"
"se_labyrinth","","","0","23","","","","se_labyrinth_event_drama_312","312010","312"
"vo_labyrinth_drama","","","0","21","","","","vo_labyrinth_drama_31201","312011","312"
"310","","0","0","3","","","","312_hiyori_jankenpon_lose","312012","312"
"105","","0","0","3","","","","jankenpon_win","312013","312"
"300","","","","32","","","","1","312014","312"
"303","","","","37","","","","L_gu_LOSE","312015","312"
"304","","","","37","","","","R_pa_WIN","312016","312"
"3","","","","93","","","","0","312017","312"
"302","","","","32","","","","1","312018","312"
"vo_labyrinth_drama","","","0","21","","","","vo_labyrinth_drama_31202","312019","312"
"2","","","","93","","","","0","312020","312"
"320","-213","1.9","55","5","empty","0","-225","320","321001","321"
"105","-187","0.8","50","5","empty","0","427","105","321002","321"
"300","1","0","0","31","","","0","300","321003","321"
"303","1","1","0","31","","","0","303","321004","321"
"303","1","1","0","31","","","0","304","321005","321"
"301","1","0","0","31","","","0","301","321006","321"
"321001","","","","91","","","","0","321007","321"
"320","","0","0","3","","","","empty","321008","321"
"0","","","","91","","","","","321009","321"
"se_labyrinth","","","0","23","","","","se_labyrinth_event_drama_321","321010","321"
"vo_labyrinth_drama","","","0","21","","","","vo_labyrinth_drama_32101","321011","321"
"320","","0","0","3","","","","321_rei_jankenpon_win","321012","321"
"105","","0","0","3","","","","jankenpon_lose","321013","321"
"300","","","","32","","","","1","321014","321"
"303","","","","37","","","","L_choki_WIN","321015","321"
"304","","","","37","","","","R_pa_LOSE","321016","321"
"3.133","","","","93","","","","0","321017","321"
"301","","","","32","","","","1","321018","321"
"vo_labyrinth_drama","","","0","21","","","","vo_labyrinth_drama_32102","321019","321"
"1.867","","","","93","","","","0","321020","321"
"320","-213","1.9","55","5","empty","0","-225","320","322001","322"
"103","-187","0.9","50","5","empty","0","427","103","322002","322"
"300","1","0","0","31","","","0","300","322003","322"
"303","1","1","0","31","","","0","303","322004","322"
