1ead401c597fe4a226268bba79daa3b1d01cd04cb495b3aa7f8f60a8f7a6032b,172b58daadaca6e326bdc017c308fb89999b35d04cbb7c934f2a55aa41027eae,290672c1f7a21050b72f666cf7284c0e4fbdf6ead98ac8aa5563f8f0119386e3,eae8a7a553710140c0926520c760226db3726354cd9cd9d2bc2f465e241ba918,a296049e017a652e6d43bb602526e51b0603fa71137d719df2118c063c8feed2,b83ee51e9c5b137c65688bee75633b3b8934e19afc1cdf8f5cf83c6e9d3f18bc,6784a4249bd999132e41de400b38f78089ebd485797117e739f6086ad6055edb,2e0b5902c30178c45cc6ffbd3a5a8ce8bda298e6e4d5cea2c8c7ffe5852d1833
"5001000","1","bgm_M32","5001","0","1","","1000101"
"5002000","1","bgm_M98","5002","0","1","","1000201"
"5003000","1","bgm_M106","5003","0","1","","1000301"
"5004000","1","bgm_M112","5004","0","1","","1000401"
"5005000","1","bgm_M121","5005","0","1","","1000501"
"5006000","1","bgm_M128","5006","0","1","","1000601"
"5007000","1","bgm_M135","5007","0","1","","1000701"
"5008000","1","bgm_M162","5008","0","1","","1000801"
"5009000","1","bgm_M171","5009","0","1","","1000901"
"5010000","1","bgm_M182_02","5010","0","1","","1001001"
"5011000","1","bgm_M189","5011","0","1","","1001101"
"5012000","1","bgm_M206","5012","0","1","","1001201"
"5013000","1","bgm_M215","5013","0","1","","1001301"
"5015000","1","bgm_M223","5015","0","1","","1001501"
"5017000","1","","5017","0","1","","1001701"
"5019000","1","bgm_M237","5019","0","1","","1001901"
"5021000","1","bgm_M245_02","5021","0","1","","1002101"
"5023000","1","bgm_M254","5023","0","1","","1002301"
"5025000","1","bgm_M265_Top","5025","0","1","","1002501"
"5027000","1","bgm_M273","5027","0","1","","1002701"
"5029000","1","bgm_M281","5029","0","1","","1002901"
"5031000","1","bgm_M294","5031","0","1","","1003101"
"5033000","1","bgm_M316","5033","0","1","","1003301"
"5036001","1","bgm_M341","5036","0","1","","1003601"
"5038000","1","bgm_M343","5038","0","1","","1003801"
"5040000","1","bgm_M351","5040","0","1","","1004001"
"5042000","1","bgm_M375","5042","0","1","","1004201"
"5044000","1","bgm_M380A","5044","0","1","","1004401"
"5046000","1","bgm_M393","5046","0","1","","1004601"
"5048000","1","bgm_M403","5048","0","1","","1004801"
"5050000","1","bgm_M413","5050","0","1","","1005001"
"5052000","1","bgm_M421","5052","0","1","","1005201"
"5054000","1","bgm_M426","5054","0","1","","1005401"
"5056000","1","bgm_M435","5056","0","1","","1005601"
"5058000","1","bgm_M442A","5058","0","1","","1005801"
"5061000","1","bgm_M451","5061","0","1","","1006101"
"5064000","1","bgm_M457","5064","0","1","","1006401"
"5066000","1","bgm_M467","5066","0","1","","1006601"
"5068000","1","bgm_M478_Lofi","5068","0","1","","1006801"
"5070000","1","bgm_M486","5070","0","1","","1007001"
"5072000","1","bgm_M496","5072","0","1","","1007201"
"5074000","1","bgm_M508","5074","0","1","","1007401"
"5076000","1","bgm_M520","5076","0","1","","1007601"
"5078000","1","bgm_M527","5078","0","1","","1007801"
"5080000","1","bgm_M536","5080","0","1","","1008001"
"5082000","1","bgm_M543","5082","0","1","","1008201"
"5084000","1","bgm_M552","5084","0","1","","1008401"
"5088000","1","bgm_M565","5088","0","1","","1008801"
"5090000","1","bgm_M574","5090","0","1","","1009001"
"5092000","1","bgm_M582","5092","0","1","","1009201"
"5094000","1","bgm_M595","5094","0","1","","1009401"
"5096000","1","bgm_M601","5096","0","1","","1009601"
"5098000","1","bgm_M608","5098","0","1","","1009801"
"5100000","1","bgm_M618","5100","0","1","","1010001"
"5102000","1","bgm_M623","5102","0","1","","1010201"
"5104000","1","bgm_M630","5104","0","1","","1010401"
"5106000","1","bgm_M638","5106","0","1","","1010601"
"5108000","1","bgm_M647","5108","0","1","","1010801"
"5110000","1","bgm_M659","5110","0","1","","1011001"
"5114000","1","bgm_M668","5114","0","1","","1011401"
"5116000","1","bgm_MC017","5116","0","1","","1011601"
"5118000","1","bgm_MC026","5118","0","1","","1011801"
"5120000","1","bgm_MC036","5120","0","1","","1012001"
"5122000","1","bgm_MC046","5122","0","1","","1012201"
"5124000","1","bgm_MC056","5124","0","1","","1012401"
"5126000","1","bgm_MC063","5126","0","1","","1012601"
"5128000","1","bgm_MC075","5128","0","1","","1012801"
"5130000","1","bgm_MC082","5130","0","1","","1013001"
"5132000","1","bgm_MC091","5132","0","1","","1013201"
"5134000","1","bgm_MC099","5134","0","1","","1013401"
"5136000","1","bgm_MC110","5136","0","1","","1013601"
"5140000","1","bgm_MC124","5140","0","1","","1014001"
"5142000","1","bgm_MC136","5142","0","1","","1014201"
"5144000","1","bgm_MC143","5144","0","1","","1014401"
"5146000","1","bgm_MC147","5146","0","1","","1014601"
"5148000","1","bgm_MC156","5148","0","1","","1014801"
"5150000","1","bgm_MC162","5150","0","1","","1015001"
"5152000","1","bgm_MC172_TitleCall","5152","0","1","","1015201"
"5154000","1","bgm_MC186","5154","0","1","","1015401"
"5156000","1","bgm_MC194","5156","0","1","","1015601"
"5158000","1","bgm_MC213","5158","0","1","","1015801"
"1801003","1","","1801","1","1","","180100301"
"1802003","1","","1802","1","1","","180200301"
"1803003","1","","1803","1","1","","180300301"
"1804003","1","","1804","1","1","","180400301"
"1805003","1","","1805","0","1","","180500301"
"1806003","1","","1806","1","1","","180600301"
"1812003","1","","1812","1","1","","181200301"
"2000001","0","","2000","0","1","amb_adv_mystery_01","200000101"
"2000001","0","bgm_M38","2000","0","1","","200000102"
"2000001","0","bgm_M38","2000","0","1","","200000103"
"2000002","1","","2000","1","1","","200000201"
"2000002","1","","2000","1","1","","200000280"
"2001001","1","bgm_M12_emt01_001","2001","1","1","","200100101"
"2001002","1","","2001","1","1","","200100201"
"2001003","1","bgm_M13","2001","1","1","","200100301"
"2001004","1","bgm_M43","2001","1","1","","200100401"
"2001005","1","","2001","1","1","","200100501"
"2001005","1","","2001","1","1","","200100580"
"2001005","1","","2001","0","1","","200100581"
"2002001","1","","2002","1","1","amb_adv_room_noise_01","200200101"
"2002002","1","bgm_M23_emt02_002","2002","1","1","","200200201"
"2002003","1","bgm_M23_emt02_003","2002","1","1","amb_adv_wind_01","200200301"
"2002004","1","bgm_M22_emt02_004","2002","1","1","","200200401"
"2002005","1","bgm_M23_emt02_005","2002","1","1","","200200501"
"2002005","1","","2002","1","1","","200200580"
"2002005","1","","2002","0","1","","200200581"
"2003001","1","bgm_M35_emt03_001","2003","1","1","","200300101"
"2003002","1","bgm_M19","2003","1","1","amb_adv_room_noise_night_01","200300201"
"2003004","1","","2003","1","1","","200300401"
"2003005","1","","2003","1","1","amb_adv_outdoors_night_02","200300501"
"2003005","1","","2003","1","1","","200300580"
"2003005","1","","2003","0","1","","200300581"
"2004002","1","bgm_M17_emt04_002","2004","1","1","","200400201"
"2004003","1","bgm_M17_emt04_003","2004","1","1","amb_adv_outdoors_day_01","200400301"
"2004004","1","bgm_M63_emt04_004","2004","1","1","","200400401"
"2004005","1","bgm_M24_emt04_005","2004","1","1","","200400501"
"2004005","1","","2004","1","1","","200400580"
"2004005","1","","2004","0","1","","200400581"
"2005003","1","bgm_M50","2005","1","1","amb_adv_prison_01","200500301"
"2005004","1","bgm_M49_emt05_004","2005","1","1","amb_adv_between_the_kings_01","200500401"
"2005005","1","","2005","1","1","","200500501"
"2005006","1","bgm_M34_emt05_006","2005","1","1","amb_adv_wind_04","200500601"
"2005006","1","bgm_M49_emt05_006","2005","1","1","amb_adv_wind_04","200500602"
"2005006","1","","2005","1","1","","200500603"
"2005006","1","","2005","1","1","","200500680"
"2005006","1","","2005","0","1","","200500681"
"2006002","1","bgm_M105_emt06_002","2006","1","1","","200600201"
"2006002","1","","2006","1","1","amb_adv_room_noise_night_01","200600202"
"2006006","1","bgm_M55_emt06_006","2006","1","1","amb_adv_outdoors_day_01","200600601"
"2006013","1","bgm_M24_emt06_013","2006","1","1","amb_adv_prison_01","200601301"
"2006013","1","","2006","1","1","","200601380"
"2006013","1","","2006","0","1","","200601381"
"2007001","1","bgm_M34_emt07_001","2007","1","1","amb_adv_forest_01","200700101"
"2007004","1","bgm_M34_emt07_004","2007","1","1","amb_adv_town_day_01","200700401"
"2007010","1","","2007","1","1","","200701001"
"2007010","1","bgm_M93_emt07_010","2007","1","1","","200701002"
"2007011","1","bgm_M57_emt07_011","2007","1","1","","200701101"
"2007012","1","","2007","1","1","","200701201"
"2007013","1","","2007","1","1","","200701380"
"2007013","1","","2007","0","1","","200701381"
"2008001","1","bgm_M05_emt08_001","2008","1","1","","200800101"
"2008006","1","bgm_M15_emt08_006","2008","1","1","amb_adv_room_noise_01","200800601"
"2008007","1","","2008","1","1","","200800701"
"2008012","1","","2008","1","1","","200801201"
"2008015","1","","2008","1","1","","200801502"
"2008015","1","","2008","1","1","","200801580"
"2008015","1","","2008","0","1","","200801581"
"2009002","1","","2009","1","1","","200900201"
"2009005","1","bgm_M177_emt09_005","2009","1","1","","200900501"
"2009009","1","","2009","1","1","","200900901"
"2009011","1","bgm_M60_emt09_011","2009","1","1","","200901101"
"2009013","1","","2009","1","1","","200901380"
"2009013","1","","2009","0","1","","200901381"
"2009099","1","bgm_M188_emt10_00","2009","1","1","","200909901"
"2010001","1","bgm_M201_emt10_001","2010","1","1","","201000101"
"2010004","1","bgm_M204_emt10_004","2010","1","1","","201000401"
"2010006","1","","2010","1","1","","201000601"
