5a44fbe81c97f2ec577249cd42e72fb41015dfe577b2f48b3314322ad79c1ee0,8044c4894a2924c271e9f886cfe33656ede64291f56e5e0b9053dac300aa9fe6,954c45dfe20fb46d372fd698b79a1fdbd44663c012c26f031e34fba2f9792395,ae921b037741804497f1a190b140849db6eb1291055a2a06b310ef870c515fa1,07950c48f00436f43b66e69a92bed1570c4fcca0b5701e5de4c609432ee82d70,8d3238170c1f11c37768130741fb1193107faddda74ab437ae31df6580973710,76dd953e3ad15352e261558892be8000d0a6ff95d25bcd8a50e2a9fdf7e77175,b32b2bc493ca633e5e150a03399aca52e7b6e0875b5e3a39c5e8cf1102d5d964,feb69d29636d59c32b51f214a98e6e1af391f9a1aa292a7923187daead2855a0,ada1b0a7f8a04c5562145795de2702e94e03076e36b61e42ef318be061cf263a,1dd6fdd9ff39e5b9b4b5e21a6bde3bcc571f641ee4d793c85b50211aa5cc7131,5cd1d5742eda22e9f7fc870f660b4592f8bb7682755bcb2a7e480742bc4379b3,9f7294515978c08708f905bf322c54e8ee9f80022b63b2fd0909a3d8b394f893,ed96d930cb44264a0e15e3c7a48f31890006ab2d4a45b46b8d76580609447f7f,5871b75476154256f21af073ee41b6b9acaefcdbf28930a06545be46bd610b49
"11","0","2816","0","1","0","112","100","0","540","113","2023/02/15 05:00:00","0","1","111"
"21","0","2816","0","2","0","212","100","0","493","213","2023/02/16 05:00:00","0","1","211"
"31","0","2816","0","3","0","312","100","0","458","313","2023/02/17 05:00:00","0","1","311"
"41","0","2816","0","4","0","412","100","0","420","413","2023/02/18 05:00:00","0","1","411"
"51","0","2816","0","5","0","512","100","0","380","513","2023/02/19 05:00:00","0","1","511"
"61","0","2816","0","6","0","612","100","0","340","613","2023/02/20 05:00:00","0","1","611"
"71","0","2816","0","7","1","712","100","0","430","713","2023/02/21 05:00:00","0","1","711"
"81","0","2816","0","8","1","812","100","0","402","813","2023/02/22 05:00:00","0","1","811"
"91","0","2816","0","9","1","912","100","0","302","913","2023/02/23 05:00:00","0","1","911"
"101","0","2816","0","10","1","1012","100","0","264","1013","2023/02/24 05:00:00","0","1","1011"
"111","0","2816","0","11","1","1112","100","0","225","1113","2023/02/25 05:00:00","0","1","1111"
"121","0","2816","0","12","1","1212","100","0","328","1213","2023/02/26 05:00:00","0","1","1211"
"131","0","2816","0","13","1","1312","100","0","280","1313","2023/02/27 05:00:00","0","1","1311"
"141","0","2816","0","14","1","1412","100","0","269","1413","2023/02/28 05:00:00","0","1","1411"
"151","0","2816","0","15","1","1512","100","0","180","1513","2023/03/01 05:00:00","0","1","1511"
"161","0","2816","0","16","1","1612","100","0","138","1613","2023/03/02 05:00:00","0","1","1611"
"171","0","2816","0","17","1","1712","100","0","97","1713","2023/03/03 05:00:00","0","1","1711"
"181","0","2816","0","18","1","1812","100","0","56","1813","2023/03/04 05:00:00","0","1","1811"
"191","0","2816","0","19","1","1912","100","0","150","1913","2023/03/05 05:00:00","0","1","1911"
"201","0","2816","0","20","1","2012","100","0","100","2013","2023/03/06 05:00:00","0","1","2011"
"211","0","2816","0","21","1","2112","100","0","15","2113","2023/03/07 05:00:00","0","1","2111"
