98b488d55235180cfcd85d834a211f3baf1d66691f155ed90361630c69f88461,49e3aa4676b59fb29a79065fc2797becbad56758b494a67cd89074ee93d87abe,ed4b2722d9a8950c81609c4cc723aeb3cfd28f40e5818802742a39ab1bb4b946,7e07cf072bfe7f558aaf773c1ffa96de5a369a4194b40f81c302cda57b9ae41b,a98824249b9ca893f7ae864310fe73aec0903de18125afa61efb22c78cd66697,88d433671b5169be8805dc04507f6af843425d99a9a39ea39e6d0d33e4af147c,d85d9ff42be71d0bd4efe0531a6c92ffb62aac79b15298793d49b22541d89957
"10008101","","1","0","1","0","10008111"
"10008112","","1","0","2","0","10008115"
"10008101","","3","0","3","0","10008103"
"10008105","","3","0","4","0","10008115"
"10008112","","4","0","5","0","150"
"10028101","","1","0","6","0","10028111"
"10028112","","1","0","7","0","10028115"
"10028101","","3","0","8","0","10028103"
"10028105","","3","0","9","0","10028115"
"10028112","","4","0","10","0","150"
"20012104","","11","20012107","11","0","20012104"
"20012108","","11","20012109","12","0","20012108"
"20012110","","11","20012114","13","0","20012110"
"20012115","","11","20012115","14","0","20012115"
"20012110","","4","0","15","0","120"
"20008101","","1","0","16","0","20008111"
"20008112","","1","0","17","0","20008115"
"20008101","","3","0","18","0","20008103"
"20008105","","3","0","19","0","20008115"
"20008112","","4","0","20","0","150"
