cf80f7efed4499064c6494df75a089abd2319ac2c5a4f87f0408ec6cc6da1cfb,91805696ae67b44c360e16f621155b5301316aaf758ee68d210d4e0e174ce540,3280481ebc683fea9015360f07f994f40e89b516406421d5240d238663dcb1fe,436f8288007481a41b30d176bea14f18b6cb4fc38208ef23365bae464d69cec4,8b6ac55018641c1ec07426970dc8ef290392999d3b43ad4caf66d19ba7483ba7,846459866a43efb26eac01aef1c1eee8517d9e7d42226a624ad8ee968b7d31eb,0af22c51613a3dd6cf4e57ec849be9da3289651a1382f864dfcb00c17dddd0e4,77f33c09688dc8fd03418ebe71f208c48160f38fa2391dc7ba942b520dc969ff,e6ba031e6f32d378108fb576aa42449a362d6c694dbfc756b65dd842d4381ef7,00cfbb138545b39ae86dc1595e9d6c45169c475c7e355300ba1125d789299b87,f7113d9dc2b568b060256f2a4d6992514159df127b46a06505dd00d5444822f9,bcd8ea626fc5a257f513050916c13828ab375fb4c12da8766e69680f3fd213f0,c84b142ec44890824a0c45221a56702b9651f0a16c6fdc9aa004a94fad4d726c,1c410010978d00204a87e916ae2f66555056d4ef14f9664298e2619b0f475669,5065945d23699498496d5d41e1c191559a3e64fdf077ad98c1bd2414b6aff8e3,91befca92b8117b0ff1fd95168e3213172b668ef204572b1e92e48c6daa7b6fa,47c5e6726c8a14dd0c94c82a064f4270a64f4e18f38f9d3e09d02f18ee9ae733,47fa86e9b436ed56175cb2c845d1cc57b98252baffe1983e3199096316eb9eca,3e871f6f7de30be5353c0f6cb8b4879caf9ea12dce774573a1e55ab5636c1183,435d1dfccd51f06c60dca0debb3fcd6e2b90308c02d073de7cf8f834278608eb,fd5cf60460659c115f5647e81b27bc36fa3bd897a8541aced64f8218ced2306a,6129fc67002819ea86747b2a70edc5e2029954a080e539b93f84811ed2f2e4b4,43929728c9d56d8ea6302e2bd77d85a455f94d73ced8fb046b1948282f0f8f5e,41e834d5007da50ee6f5cdd8e89b9071ac6e507b0b51c3b3346be3514e588066,98af98e94766e919c4f07c68a499399ef910405160cd8a84b9d0bf21e3f208c2,ddb3c72464efd695b2b17c3f9693e4417adccb349fec1032161b2ed61a132ce9,c0f09e910b2d9022d18585027681bf4db5f7ab0bb74651d81fe97973912d50ca,65d231477410b15e41ea3ebe4b9c8a16b3048651271a7ab9b009e2bf0175b630,8198fc2330c657e183aaee13e815378980cd3bee24b438d0e33a570ba4d256d9,40391a6c6f62b24ee66b97e2fd80abb26c8131de6d0c7f5944bec4d2bac48980,29bb120778112e724822b190a99be34de3e19c20f14dcb6581d4dc8578376fe4
"0","1000110103","0","0","0","1000110101","1","0","0","1","0","0","0","1","0","1","33","100","1000110103","34","100","10001101","0","1000110102","1000110103","1","0","100","0","0","0"
"1","1000120105","100","1000120105","1000120105","1000120101","1","1","1000120104","1","1","33","34","1","100","1","100","100","1000120102","100","100","10001201","1000120105","1000120105","1000120103","1","1","100","1000120105","1","100"
"0","1000210103","0","0","0","1000210101","1","0","0","1","0","0","0","1","0","1","33","100","1000210103","34","100","10002101","0","1000210102","1000210103","1","0","100","0","0","0"
"1","1000220105","100","1000220105","1000220105","1000220101","1","1","1000220104","1","1","33","34","1","100","1","100","100","1000220102","100","100","10002201","1000220105","1000220105","1000220103","1","1","100","1000220105","1","100"
"0","1000310103","0","0","0","1000310101","1","0","0","1","0","0","0","1","0","1","33","100","1000310103","34","100","10003101","0","1000310102","1000310103","1","0","100","0","0","0"
"1","1000320105","100","1000320105","1000320105","1000320101","6","1","1000320104","6","1","33","34","1","100","1","100","100","1000320102","100","3","10003201","1000320105","1000320105","1000320103","1","1","3","1000320105","1","100"
"0","1000410103","0","0","0","1000410101","1","0","0","1","0","0","0","1","0","1","33","100","1000410103","34","100","10004101","0","1000410102","1000410103","1","0","100","0","0","0"
"1","1000420105","100","1000420105","1000420105","1000420101","6","1","1000420104","6","1","33","34","1","100","1","100","100","1000420102","100","3","10004201","1000420105","1000420105","1000420103","1","1","3","1000420105","1","100"
"1","1000430104","100","1000430104","1000430104","1000430101","6","1","0","1","0","100","33","1","0","1","100","100","1000430102","100","100","10004301","1000430104","1000430104","1000430104","1","1","100","1000430103","1","34"
"0","1000510103","0","0","0","1000510101","1","0","0","1","0","0","0","1","0","1","33","100","1000510103","34","100","10005101","0","1000510102","1000510103","1","0","100","0","0","0"
"1","1000520105","100","1000520105","1000520105","1000520101","6","1","1000520104","6","1","33","34","1","100","1","100","100","1000520102","100","3","10005201","1000520105","1000520105","1000520103","1","1","3","1000520105","1","100"
"1","1000530104","100","1000530104","1000530104","1000530101","6","1","0","1","0","100","33","1","0","1","100","100","1000530102","100","100","10005301","1000530104","1000530104","1000530104","1","1","100","1000530103","1","34"
"0","1000610103","0","0","0","1000610101","1","0","0","1","0","0","0","1","0","1","33","100","1000610103","34","100","10006101","0","1000610102","1000610103","1","0","100","0","0","0"
"1","1000620105","100","1000620105","1000620105","1000620101","6","1","1000620104","6","1","33","34","1","100","1","100","100","1000620102","100","3","10006201","1000620105","1000620105","1000620103","1","1","3","1000620105","1","100"
