be687ea08895a9163c61f1c8aaf60f85232805eb0b425138f8356fa499b7a51f,6e1a5ba86d040bb265dfa5e723507047f56fea47de5a55af125a4c9c986b0569,c9c29885430ea092cb36aa7a7a4df41dc69456fc24da02df04749830062f5713,ee63fa06ad1fa3b1c1556d5e675de96991dcb7cbb665a0d8ec43c501f58e3169,a829d958f2b575882138672a22dace6b78e3e5f71ed5d78de02442e6fa673e99,a9b587533a03e6db938af7a123d09f135ffbc1dd75c629062759c5aaaffe2ef5,15e97efb66d4e969b48fd6f67b5b390345c28d583df4b94146957cd8d25550ec,799d2be4cfe559c606560c17276ce179628c9befd0d077875e450ecdede9744e,a2ff91bfff66274484868db3406d540ef994cb564a439285729ef7b969fc85a8,f93142ae61ed05e18757d5bf2c9445109aa24874ec24ef60e1449b7651847be8,5ef36d93e00e85a40cd51b960edb19399986a17c7e3f8b6e3a36b6dc9e6092b8,fd564dcdc581432e3eceb6b54540915ea7b6b0d6d526e9a143990b447e9916b7,d021b3d4386e4f60d82e7e76648327ca54c02346e8fe7f4e5be7596d307c8dd9,27bbe109fbf6572f060cb5b626d022ecfd06d80cd04960ccd8bf0a82d008e796,cb2fb6dc2e4fec2cb780ce07d02f474a2753a90ba14bbeda57531654af351b1a,48c2ba27120494ce569b14c989061ef731b0452a5c716afcbfe0753cebba5905,478520d387bf59afecc1e25057da490838486e81b950d4b59704a4700512ac59,0019c561050d6291286ef0d217055ea8d98d764915de83dd21e7ec2d9ded106a,98886fc4a9de28876a19838542afc0b6d8b40b39a14909595a1f676186d58a2c,6e55bb552feb5196c4d2af8cf0e022cd80b7e6fe80601b1252e1492157b81384,78a14158c33168670a67c70b005285c278ef3488c2c747e0b2c7fcf1582121d4,9638c52ff6218cb979b06f317f8af306c0bf6efda90056c97d9404d677d6750b
"1","0.8","1","250","-480","1","1","-120","10","bgm_M64","101001","0","0.6","0","210","1","-30","101001","0.7","1001","-30","10010101"
"1","1.2","2","0","-260","1","1","-120","10","bgm_M64","101001","0","0.75","0","200","2","0","101001","1","1001","-30","10010102"
"1","1.1","3","100","-40","1","1","0","0","bgm_M64","101001","-50","0.75","0","200","3","-10","101001","1","1001","-30","10010103"
"1","1","4","0","240","1","1","-50","0","bgm_M64","101001","0","0.7","0","200","4","0","101001","1","1001","-30","10010104"
"1","1.3","5","200","480","1","1","-40","0","bgm_M55","101011","0","1.2","0","250","5","0","101011","1","1001","-30","10010105"
"1","0.8","1","250","-480","1","1","-155","10","bgm_M64","101021","0","0.6","0","210","1","-30","101001","0.7","1002","-30","10020101"
"1","1.2","2","250","-265","1","1","-120","10","bgm_M64","101021","0","0.75","0","200","2","0","101001","1","1002","-30","10020102"
"1","1.4","3","100","-30","1","1","30","0","bgm_M64","101021","-30","0.9","-15","200","3","-10","101001","1","1002","-30","10020103"
"1","1.5","4","100","220","1","1","-90","0","bgm_M64","101021","-30","1","0","200","4","0","101001","1.25","1002","-30","10020104"
"1","1.8","5","200","440","1","1","0","0","bgm_M55","101031","0","1.4","0","250","5","0","101011","1.6","1002","-30","10020105"
"1","0.8","1","250","-470","1","1","-155","10","bgm_M64","101041","0","0.6","0","210","1","-30","101041","0.7","1003","-30","10030101"
"1","1.2","2","250","-210","1","1","-95","10","bgm_M64","101041","0","0.75","0","200","2","0","101041","1","1003","-30","10030102"
"1","1.1","3","100","50","1","1","-120","0","bgm_M64","101041","-50","0.75","0","200","3","-10","101041","1","1003","-30","10030103"
"1","1.5","4","100","195","1","1","35","0","bgm_M64","101041","-30","0.8","0","200","4","0","101041","1.2","1003","-30","10030104"
