9059a18889eea8b58bb45ca9b99777d9462ac64214cb3d0f09f2afd5e1af6927,055b88514a0e127997231cc4250dce0a338b3cc78b54420f2e25f27cb1a89665,6a15c7fd73dd0118d346a754cee2d4d89f0f532bd6cb40bdec3b77b06a1b8167
"1","118001","6101321"
"2","105801","6101322"
"3","107501","6101323"
"4","111801","6101324"
"5","121001","6101325"
"6","180401","6101326"
"7","127901","6101327"
"8","106601","6101341"
"9","116501","6101341"
"10","121601","6101341"
"11","128301","6101341"
"12","180701","6101341"
"13","101401","6101342"
"14","101201","6101342"
"15","112201","6101342"
"16","115701","6101342"
"17","113401","6101342"
"18","128401","6101342"
"19","106601","6101343"
"20","116501","6101343"
"21","121601","6101343"
"22","128301","6101343"
"23","101401","6101344"
"24","101201","6101344"
"25","112201","6101344"
"26","115701","6101344"
"27","113401","6101344"
"28","128401","6101344"
"29","180701","6101345"
"30","100101","6101361"
"31","100301","6101361"
"32","108701","6101361"
"33","122401","6101362"
"34","180101","6101362"
"35","128701","6101362"
"36","108901","6101361"
"37","114001","6101362"
"38","122501","6101362"
"39","180301","6101362"
"40","128801","6101362"
"41","100201","6101363"
"42","108801","6101363"
"43","115601","6101363"
"44","122601","6101363"
"45","180201","6101363"
"46","128901","6101363"
"47","100101","6101364"
"48","100301","6101364"
"49","100201","6101364"
"50","108701","6101364"
"51","108901","6101364"
"52","108801","6101364"
"53","100101","6101365"
"54","108701","6101365"
"55","122401","6101365"
"56","180101","6101365"
"57","128701","6101365"
"58","100201","6101366"
"59","100301","6101366"
"60","108801","6101366"
"61","115601","6101366"
"62","122601","6101366"
"63","180201","6101366"
"64","128901","6101366"
"65","108901","6101366"
"66","114001","6101366"
"67","122501","6101366"
"68","180301","6101366"
"69","128801","6101366"
"70","108901","6101367"
"71","100201","6101368"
"72","108801","6101368"
"73","110801","6101402"
"74","110901","6101401"
"75","116301","6101401"
"76","110801","6101402"
"77","116201","6101402"
"78","111001","6101403"
"79","116401","6101403"
"80","129301","6101403"
"81","110901","6101404"
"82","116301","6101405"
"83","102701","6101421"
"84","104301","6101421"
"85","109001","6101421"
"86","117001","6101421"
"87","110401","6101421"
"88","115901","6101421"
"89","129801","6101421"
"90","102701","6101422"
"91","104301","6101423"
"92","109001","6101424"
"93","103601","6101441"
"94","130701","6101441"
"95","111101","6101442"
"96","122701","6101442"
"97","102501","6101443"
"98","107701","6101443"
"99","112101","6101443"
"100","180801","6101444"
"101","101001","6101461"
"102","110601","6101461"
"103","123101","6101461"
"104","131001","6101461"
"105","101001","6101462"
"106","110601","6101462"
"107","116001","6101462"
"108","123101","6101463"
"109","110601","6101464"
"110","131001","6101464"
"111","102301","6101465"
"112","106601","6101465"
"113","102101","6101465"
"114","126401","6101465"
"115","126101","6101466"
"116","110601","6101467"
"117","116001","6101468"
"118","131001","6101469"
"119","123301","6101481"
"120","125801","6101481"
"121","131101","6101481"
"122","118201","6101482"
"123","118101","6101482"
"124","131201","6101482"
"125","126901","6101482"
"126","123301","6101483"
"127","131101","6101483"
"128","118101","6101484"
"129","125801","6101484"
"130","118201","6101485"
"131","126901","6101485"
"132","123001","6101501"
"133","106701","6101501"
"134","131701","6101501"
"135","127001","6101502"
"136","113601","6101502"
"137","107501","6101502"
"138","122801","6101502"
"139","122501","6101502"
"140","106701","6101503"
"141","131701","6101503"
"142","123001","6101504"
"143","106701","6101504"
"144","131701","6101504"
"145","113601","6101504"
"146","107501","6101504"
"147","124501","6101504"
"148","122801","6101504"
"149","122501","6101504"
"150","123001","6101505"
"151","106701","6101505"
"152","131701","6101505"
"153","127001","6101505"
"154","113601","6101505"
"155","107501","6101505"
"156","124501","6101505"
"157","122801","6101505"
"158","122501","6101505"
"159","107601","6101521"
"160","110301","6101521"
"161","109701","6101521"
"162","109901","6101522"
"163","109801","6101522"
"164","132001","6101522"
"165","131901","6101522"
"166","122701","6101522"
"167","126601","6101522"
"168","113501","6101522"
"169","126901","6101522"
"170","132101","6101522"
"171","109701","6101523"
"172","109901","6101523"
"173","109801","6101523"
"174","131901","6101523"
"175","109801","6101524"
"176","109701","6101524"
"177","132001","6101524"
"178","107601","6101524"
"179","110301","6101524"
"180","132101","6101524"
"181","107601","6101525"
"182","110301","6101525"
"183","109701","6101526"
"184","132101","6101529"
