5dd9d1cdf7e7a705471994754c2d700403f94b04ac107bb7b4f1031c95812675,5b4594db3c58f5a9ac2bd104932a820c8e7986877e6ee07806f004d25bf5219b,eb80b98414cbc054b5b7e5eaf009b27d6ac601d3fe682f5e754c7f00046d76d7,972a07c0787df4ac6936ffa2492bd6a1c29f07c6d5f3712a736c0779a0892519,a0c4a44d63bd80953db4da3ef01ef81f4db4ff2b4f9b27e2e8e90870c7856176
"1","1","26","41","1"
"2","1","101","41","2"
"3","1","61","61","3"
"4","1","82","50","4"
"5","1","21","41","5"
"6","1","108","41","6"
"7","1","79","55","7"
"8","1","57","68","8"
"9","1","28","44","9"
"10","1","97","44","10"
"11","1","47","55","11"
"12","1","68","67","12"
"13","1","10","38","13"
"14","1","119","38","14"
"15","1","90","52","15"
"16","1","28","65","16"
"17","1","25","40","17"
"18","1","101","40","18"
"19","1","65","58","19"
"20","1","36","64","20"
"21","1","25","41","21"
"22","1","86","41","22"
"23","1","40","60","23"
"24","1","16","40","24"
"25","1","115","40","25"
"26","1","28","63","26"
"27","1","28","41","27"
"28","1","96","41","28"
"29","1","70","55","29"
"30","1","33","41","30"
"31","1","83","41","31"
"32","1","57","68","32"
"33","1","36","37","33"
"34","1","82","37","34"
"35","1","82","58","35"
"36","1","27","38","36"
"37","1","102","38","37"
"38","1","39","52","38"
"39","1","62","65","39"
"40","1","28","38","40"
"41","1","93","38","41"
"42","1","54","56","42"
"43","1","28","63","43"
"44","1","39","40","44"
"45","1","115","40","45"
"46","1","21","55","46"
"47","1","60","66","47"
"48","1","15","38","48"
"49","1","76","38","49"
"50","1","58","53","50"
"51","1","36","61","51"
"52","1","28","38","52"
"53","1","89","38","53"
"54","1","23","56","54"
"55","1","67","66","55"
"56","2","31","40","56"
"57","2","89","40","57"
"58","2","42","67","58"
"59","2","61","55","59"
"60","2","21","40","60"
"61","2","93","40","61"
"62","2","61","57","62"
"63","2","44","68","63"
"64","2","21","43","64"
"65","2","101","43","65"
"66","2","56","57","66"
"67","2","108","75","67"
"68","2","30","37","68"
"69","2","83","37","69"
"70","2","39","53","70"
"71","2","24","67","71"
"72","2","25","38","72"
"73","2","91","38","73"
"74","2","83","65","74"
"75","2","65","55","75"
"76","2","21","39","76"
"77","2","93","39","77"
"78","2","26","62","78"
"79","2","107","72","79"
"80","2","36","38","80"
"81","2","86","38","81"
"82","2","50","55","82"
"83","2","25","62","83"
"84","2","24","40","84"
"85","2","86","40","85"
"86","2","46","65","86"
"87","2","69","58","87"
"88","2","24","43","88"
"89","2","99","43","89"
"90","2","24","62","90"
"91","2","107","72","91"
"92","2","21","43","92"
"93","2","104","43","93"
"94","2","46","67","94"
"95","2","69","55","95"
"96","2","28","40","96"
"97","2","86","40","97"
"98","2","43","65","98"
"99","2","21","44","99"
"100","2","98","44","100"
"101","2","54","65","101"
"102","2","36","38","102"
"103","2","83","38","103"
"104","2","93","58","104"
"105","2","17","43","105"
"106","2","98","43","106"
"107","2","28","61","107"
"108","2","36","37","108"
"109","2","86","37","109"
"110","2","72","65","110"
"111","3","26","44","111"
"112","3","102","44","112"
"113","3","50","91","113"
"114","3","88","78","114"
"115","3","43","35","115"
"116","3","86","35","116"
"117","3","43","85","117"
"118","3","53","66","118"
"119","3","28","47","119"
"120","3","101","47","120"
"121","3","46","66","121"
"122","3","79","85","122"
"123","3","39","37","123"
"124","3","91","37","124"
"125","3","57","78","125"
"126","3","71","60","126"
"127","3","36","37","127"
"128","3","93","37","128"
"129","3","39","62","129"
"130","3","50","88","130"
"131","3","65","106","131"
"132","3","39","35","132"
"133","3","91","35","133"
"134","3","65","86","134"
"135","3","41","57","135"
"136","3","93","70","136"
"137","3","65","106","137"
"138","3","30","41","138"
"139","3","99","41","139"
"140","3","78","91","140"
"141","3","57","60","141"
"142","3","37","72","142"
"143","3","65","106","143"
"144","3","36","41","144"
"145","3","93","41","145"
"146","3","57","57","146"
"147","3","39","75","147"
"148","3","86","85","148"
"149","3","65","106","149"
"150","3","39","38","150"
"151","3","91","38","151"
"152","3","48","88","152"
"153","3","67","63","153"
"154","3","83","81","154"
"155","3","65","106","155"
"156","3","39","35","156"
"157","3","91","35","157"
"158","3","92","72","158"
"159","3","43","57","159"
"160","3","46","88","160"
"161","3","39","35","161"
"162","3","90","35","162"
"163","3","46","60","163"
"164","3","79","91","164"
"165","3","41","33","165"
"166","3","88","33","166"
"167","3","43","85","167"
"168","3","83","60","168"
"169","3","36","36","169"
"170","3","93","36","170"
"171","3","83","86","171"
"172","3","50","60","172"
"173","3","28","42","173"
"174","3","101","42","174"
"175","3","50","88","175"
"176","3","75","66","176"
"177","3","32","38","177"
"178","3","97","38","178"
"179","3","93","63","179"
"180","3","43","86","180"
"181","4","24","40","181"
"182","4","107","40","182"
"183","4","87","61","183"
"184","4","54","86","184"
"185","4","35","40","185"
"186","4","94","40","186"
"187","4","42","65","187"
"188","4","71","86","188"
"189","4","28","41","189"
"190","4","101","41","190"
"191","4","55","65","191"
"192","4","61","86","192"
"193","4","26","43","193"
"194","4","107","43","194"
"195","4","61","86","195"
"196","4","71","68","196"
"197","4","35","46","197"
"198","4","94","46","198"
"199","4","82","71","199"
"200","4","59","91","200"
"201","4","58","102","201"
"202","4","26","41","202"
"203","4","104","41","203"
"204","4","48","60","204"
"205","4","71","80","205"
"206","4","58","102","206"
"207","4","35","40","207"
"208","4","94","40","208"
