e8f742ce4dbb002451abecaf1aaa1eb7fa4c9611ca217adbc075ae6ff3f6456e,82672d6575d0dba270511195360c2d46e826a8d9d411b6894dbaf16cb6f051a4,788d2f1402b75a5d6926ee9a908c4f2cbbf9495509554685bd082dea54445120,94dfb496c62c0c91d1100539a145dbf7812d5c6688f8a83c9609ff1a89136427,28c202be1277253f9f390cabb9e9ce631fbe7c6fe76ecf0393097aee37b23dac,bf74ae2615a636a35b5079eeaf833a13ec8608e5a500811a28cb5a2db41626f9,c871c35b7d267179264e5b5c3d439e1eac80b41f807a2405dfa52097a255aaac,d4f8c53075319ee337b2641bf6f56e14e6b06f948b397df7ad2be8a235432f36,b25f94ee6d962c81340ffde8a854daf02d023e70aac8d13631020bd4adda7308,67e7ec60ba83e4830d2759eae7a14f100fa905d9bfdb38fa14b6ea89b6d3a5f3,8ba5402da24156e7a7eb572df6b01bce10ff7c816fbe428dc7c5fffe797be48b
"105811","1","0","1.8","5146061","61001","idle_normal","100","-225","-278","1"
"1058","5","0","1.8","5146061","61002","idle_normal","101","-225","-278","6"
"105911","1","0","1.8","5146061","61003","kokkoro_idle_normal","103","-385","-288","1"
"1059","5","0","1.8","5146061","61004","kokkoro_idle_normal","104","-385","-288","3"
"106011","1","1","1.8","5146061","61005","idle_normal","106","290","-278","1"
"1060","5","1","1.8","5146061","61006","idle_normal","107","290","-278","4"
"200","13","","","5146061","61007","","","","","105811"
"203","13","","","5146061","61008","","","","","105911"
"206","13","","","5146061","61009","","","","","106011"
"7","5","0","0.85","5146061","61010","idle","15","0","-174","7"
"201","5","0","1","5146061","61011","empty","210","290","8","20"
"202","5","0","1","5146061","61012","empty","211","0","-78","20"
"203","5","0","1","5146061","61013","empty","210","-315","16","20"
"21","5","0","1","5146061","61014","empty","60","0","153","21"
"1","31","","1","5146061","61015","","0","0","1","1"
"2","31","","0","5146061","61016","","0","-57.7","1","2"
"10","31","","0","5146061","61017","","0","0","1","10"
"11","31","","0","5146061","61018","","0","0","1","11"
"0","91","","","5146061","61019","","","","","0"
"0","102","","","5146061","61020","","0","","","0"
"0","93","","","5146061","61021","","","","","1"
"doya_in_shy","3","0","0.2","5146061","61022","","0","doya_talk_shy","1","106011"
"doya_in_shy","3","0","0.2","5146061","61023","","0","doya_talk_shy","1","1060"
"vo_apg_0101","21","","","5146061","61024","","0","0","","vo_apg"
"搭乘雲霄飛車時的\n魔法拍攝服務？\n哼，擅自拍下別人毫無防備的照片，\n之後再進行推銷，真是無聊！","11","0","0","5146061","61025","0","8","1","1","106011"
"","91","","","5146061","61026","","","","","0"
"1","32","","","5146061","61027","","","","","2"
"fade105_in","37","","","5146061","61028","","","","","2"
"0","4","","","5146061","61029","","","","","106011"
"0","4","","","5146061","61030","","","","","1060"
"sad_idle_dere_shy","3","","0.5","5146061","61031","","1","","","106011"
"sad_idle_dere_shy","3","","0.5","5146061","61032","","1","","","1060"
"vo_apg_0102","21","","","5146061","61033","","0","0","","vo_apg"
"0102_in","3","","0","5146061","61034","","0","","","201"
"1","93","","","5146061","61035","","","","","4.6"
"0102_mid","3","","0","5146061","61036","","0","","","201"
"","92","","","5146061","61037","","","","",""
"0102_out","3","","0","5146061","61038","","0","","","201"
"0","93","","","5146061","61039","","","","","0.2"
"kyaru_smile_in","3","0","0.2","5146061","61040","","0","kyaru_smile_idle","1","106011"
"kyaru_smile_in","3","0","0.2","5146061","61041","","0","kyaru_smile_idle","1","1060"
"vo_apg_0103","21","","","5146061","61042","","0","0","","vo_apg"
"0103_in","3","","0","5146061","61043","","0","","","201"
"1","93","","","5146061","61044","","","","","5.4"
"0103_mid","3","","0","5146061","61045","","0","","","201"
"","92","","","5146061","61046","","","","",""
"0103_out","3","","0","5146061","61047","","0","","","201"
"0","93","","","5146061","61048","","","","","0.2"
"fade105_out","37","","","5146061","61049","","","","","2"
"1","4","","","5146061","61050","","","","","105811"
"1","4","","","5146061","61051","","","","","1058"
"surprise_talk","3","","0.2","5146061","61052","","1","","","105811"
"surprise_talk","3","","0.2","5146061","61053","","1","","","1058"
"vo_apg_0104","21","","","5146061","61054","","0","0","","vo_apg"
"……小凱留，\n不想被拍進照片嗎……？","11","0","0","5146061","61055","0","7","1","1","105811"
"","91","","","5146061","61056","","","","","0"
"surprise_idle_talk1R","3","","0.2","5146061","61057","","1","","","105811"
"surprise_idle_talk1R","3","","0.2","5146061","61058","","1","","","1058"
"kokkoro_surprise_talk","3","","0.2","5146061","61059","","1","","","105911"
"kokkoro_surprise_talk","3","","0.2","5146061","61060","","1","","","1059"
"vo_apg_0105","21","","","5146061","61061","","0","0","","vo_apg"
"是的，\n看來是這樣沒錯。","11","0","0","5146061","61062","0","7","1","1","105911"
"","91","","","5146061","61063","","","","","0"
"kokkoro_idle_normal","3","","0.2","5146061","61064","","1","","","105911"
"kokkoro_idle_normal","3","","0.2","5146061","61065","","1","","","1059"
"idle_normal_talk1R","3","","0.2","5146061","61066","","1","","","105811"
"idle_normal_talk1R","3","","0.2","5146061","61067","","1","","","1058"
"0","4","","","5146061","61068","","","","","105811"
"0","4","","","5146061","61069","","","","","1058"
"1","4","","","5146061","61070","","","","","106011"
"1","4","","","5146061","61071","","","","","1060"
"cool_in_sing_shy","3","0","0.2","5146061","61072","","0","cool_talk_sing_shy","1","106011"
"cool_in_sing_shy","3","0","0.2","5146061","61073","","0","cool_talk_sing_shy","1","1060"
"vo_apg_0106","21","","","5146061","61074","","0","0","","vo_apg"
"喂，我們快點去搭啦～\n唉～討厭討厭……呵呵呵。","11","0","0","5146061","61075","0","10","1","1","106011"
"","91","","","5146061","61076","","","","","0"
"0","22","","","5146061","61077","","","","","0"
"walk_kyapi_shy","3","","0.2","5146061","61078","","1","","","106011"
"walk_kyapi_shy","3","","0.2","5146061","61079","","1","","","1060"
"walk_furimuki","3","","0.2","5146061","61080","","1","","","105811"
"walk_furimuki","3","","0.2","5146061","61081","","1","","","1058"
"kokkoro_walk_surprise","3","","0.2","5146061","61082","","1","","","105911"
"kokkoro_walk_surprise","3","","0.2","5146061","61083","","1","","","1059"
"149","2","","","5146061","61084","","-278","2","0","106011"
"149","2","","","5146061","61085","","-278","2","0","1060"
"-54","2","","","5146061","61086","","-278","2","0","105811"
