acd4b5301ea89b793b7e2aabd99e1f4dced087974a29c4e2a32da98cb7f7fe8a,bf36bf87dcbdc3272b602e131a4a9667ea49e235c9659fa8eb0ab717f8861764,137f8ef18fe238e2d7787bc2d5dee2bf2a48b82fc581edd8f08f1d288ddfb794,7182ed0e152a9d99340a6d6a584f5687c5f9c0f1f42af6cc201b93606d62cb9f,887b56b8976be18b9825c579941c9cf2b65a4023b8274e157b90e4bf633e55e8,d06afb3ca67a29ef84901955953dcdb8d4375e2f825e7774342e7acf187ed0cb,c48761f498a50e93798b77f2c7bb948619f6e4fef3b657c071bb1b7eacf5ee63
"200","150","250","1004","50","100","1"
"320","240","400","1004","80","160","2"
"200","150","250","1004","50","100","3"
"200","150","250","1004","50","100","5"
"320","240","400","1004","80","160","6"
"2","1","3","1004","1","1","12"
"200","150","250","1005","50","100","1"
"200","150","250","1005","50","100","3"
"320","240","400","1005","80","160","4"
"200","150","250","1005","50","100","5"
"320","240","400","1005","80","160","7"
"2","1","3","1005","1","1","13"
