43dc342d9b9a2d5915bbf371bbff48c6bc8e60ea74ed123ccc62d4f91c6e7ce7,ba163658d2213b30061ebe4950dc200d92ff74022dd75bfadfaed57f252b0484,1cf52b94e1dbe8fed25fb81af65a7c0edc35773a2ac2e91d55e2b5213926d6b6,f9966f3a5c0939f26d6ca0666a8dcc2d9f4c1ba543518b95c23b0c71b471f995,70327a93cb14405f861be83ff093d49d29d12507c67d2c83f3dac1bff67efa9b,0f46b1b2e762303277f3936bf78699d1db6347ea08bd3d02b4a27077a3e36e71,cb6eefe633cde3859d9b309e31259fd5f51c55a37f105ca13b9601c437a64e7e,162cecdc2556c042f630519256e9bb55eddacba517bb58b20a4c08da5aab8672
"192801","0","掩護者職階的\n隨機印記×2\n＋始源盧幣×200","11011","想讓掩護者\n成為夥伴！","21_role_tank","11011","0"
"192801","0","治療者職階的\n隨機印記×2\n＋始源盧幣×200","11012","想讓治療者\n成為夥伴！","22_role_healer","11012","0"
"192801","0","增幅者職階的\n隨機印記×2\n＋始源盧幣×200","11021","想讓增幅者\n成為夥伴！","23_role_booster","11021","0"
"192801","0","增益者職階的\n隨機印記×2\n＋始源盧幣×200","11022","想讓增益者\n成為夥伴！","24_role_buffer","11022","0"
"192901","0","減益者職階的\n隨機印記×2\n＋始源盧幣×200","11031","想讓減益者\n成為夥伴！","25_role_debuffer","11031","0"
"192901","0","妨礙者職階的\n隨機印記×2\n＋始源盧幣×200","11032","想讓妨礙者\n成為夥伴！","26_role_jammer","11032","0"
"192901","0","攻擊者職階的\n隨機印記×2\n＋始源盧幣×200","11041","想讓攻擊者\n成為夥伴！","27_role_attacker","11041","0"
"192901","0","破防者職階的\n隨機印記×2\n＋始源盧幣×200","11042","想讓破防者\n成為夥伴！","28_role_breaker","11042","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×200","11051","試試身手吧！","41_matsuri_guts","11051","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×300","11052","與強敵間的戰鬥令人興奮！","42_chris_cool","11052","0"
"102501","2000","50％★2迷宮遺物×1\n50％★3迷宮遺物×1","11071","小心接近吧","71_suzume_sad","11071","1"
"102301","2000","50％隨機職階的\n自選印記×1\n50％全自選印記×1","11072","噗吉\n全力揮～擊☆","72_ayane_handsup","11072","1"
"102101","0","50％始源盧幣×1500\n50％始源盧幣×2000","11073","摸也\n沒關係吧……？","73_kurumi_wish","11073","0"
"103201","0","50％★1迷宮遺物×1\n50％隨機職階的\n隨機印記×2","11081","一定是右吧！","82_akino_pointing","11081","0"
"102801","0","始源盧幣×1000","11082","不是左嗎？","81_saren_pointing","11082","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×300","11091","試試身手吧！","41_matsuri_guts","11091","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×450","11092","與強敵間的戰鬥令人興奮！","42_chris_cool","11092","0"
"100101","0","獲勝始源盧幣×3000\n落敗始源盧幣×1000","11101","石頭──！！！","31_hiyori_gu","11101","0"
"100301","0","獲勝始源盧幣×3000\n落敗始源盧幣×1000","11102","出剪刀吧","32_rei_choki","11102","0"
"100201","0","獲勝始源盧幣×3000\n落敗始源盧幣×1000","11103","出布好了","33_yui_pa","11103","0"
"193001","0","始源盧幣×2000","11111","弟弟，\n這邊這邊♪","101_chest_shizuru","11111","0"
"193001","0","★1～3迷宮遺物×１","11112","哥哥，\n這邊喔♪","102_chest_rino","11112","0"
"103701","0","始源盧幣×2000","11121","賭上\n御久間流的劍技！","111_tomo_run","11121","0"
"104701","0","純成為夥伴\n＋全隨機印記×2～4","11122","這裡就交給\n我們吧！","112_jun_run","11122","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×400","11131","試試身手吧！","41_matsuri_guts","11131","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×600","11132","與強敵間的戰鬥令人興奮！","42_chris_cool","11132","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×500","11171","試試身手吧！","41_matsuri_guts","11171","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×750","11172","與強敵間的戰鬥令人興奮！","42_chris_cool","11172","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×200","11181","試試身手吧！","41_matsuri_guts","11181","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×300","11182","與強敵間的戰鬥令人興奮！","42_chris_cool","11182","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×300","11191","試試身手吧！","41_matsuri_guts","11191","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×450","11192","與強敵間的戰鬥令人興奮！","42_chris_cool","11192","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×400","11201","試試身手吧！","41_matsuri_guts","11201","0"
"107101","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×600","11202","與強敵間的戰鬥令人興奮！","42_chris_cool","11202","0"
"100501","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×500","11211","試試身手吧！","41_matsuri_guts","11211","0"
