57bd888079f7778a2f458c97c9ec9f1ca8b5580b0cb34c3894b5ddcd1b49571e,23ae0cd9354a13aa185eb964b517bf09df2b4f4b48a8895a4bbbd5cf2ab9bb6c,4e2bdde6bdb8dc5dbbf57ed0a3658724efd3cd38e42a4f20e9c7b3bca8ae54fe,6f6c347fb0631ec9fe205be6d56ec816c4253831a57ab7e58dbba753af9c4a30,70dac827f3d6a1e7e1e6b5b9ef33bbbcdf73c01cdb4cff4db8f3cd241c0efb98,480323ca876e4d9a23d51dee9aa5b3617b198544ac1e9eed17be830c136fee7f,1fea53d5e241b44033ab6af3122caa2ae960356c1d2382d5882dcf981630b9fd,4cefe0d9df4e0c413fc96141311ea0e5dfd1c3c0da1ba793e3c0b009f2478dc0,faf21a07ebc2102e93680bb52641d2873897b6f072ce38a155284adcef274b0f,f8d11bcc5f46b0237c9db4a99bd2d8378c3dcb6cd8cec811e491bb437498e9c9,d34777ab48d77fe1fc74cdd21a2e1c31ca15021646120e5111b7e915d08285b9,6a4482b8a8717d012f6e4a0061b4cc61ddd608f66fc127e0be779e343e4dc6da
"1","1011611501","0","10116115","0","0","0.8","0","0","0","4","1"
"0","1011611502","0","10116115","0","vo_won","0","vo_won_10116115_01","0","0","2","2"
"0","1011611503","0","10116115","230","0","0","0","1","2.68","1","3"
"1","1011611504","0","10116115","0","0","3.17","0","0","0","4","4"
"0","1011611505","230","10116115","420","0","0","0","1","2","1","5"
"1","1011611506","0","10116115","0","0","2.03","0","0","0","4","6"
"0","1011611507","0","10116115","140","0","0","0","2","1.51","1","7"
"1","1011611508","0","10116115","0","0","2","0","0","0","4","8"
"0","1011611509","140","10116115","275","0","0","0","2","1.92","1","9"
"1","1011611510","0","10116115","0","0","2.42","0","0","0","4","10"
"0","1011611511","275","10116115","430","0","0","0","2","1.09","1","11"
"1","1011611512","0","10116115","0","0","1.09","0","0","0","4","12"
"0","1011611513","0","10116115","230","0","0","0","3","1.88","1","13"
"1","1011611514","0","10116115","0","0","2.47","0","0","0","4","14"
"0","1011611515","230","10116115","430","0","0","0","3","1.88","1","15"
"1","1011611516","0","10116115","0","0","1.88","0","0","0","4","16"
"0","1011611517","0","10116115","52","0","0","0","4","0.588999999999999","1","17"
"1","1011611518","0","10116115","0","0","0.965999999999999","0","0","0","4","18"
"0","1011611519","52","10116115","400","0","0","0","4","1.423","1","19"
"1","1011611520","0","10116115","0","0","2.673","0","0","0","4","20"
"0","1011611521","0","10116115","0","vo_won","0","vo_won_10116115_02","0","0","2","21"
"0","1011611522","0","10116115","340","0","0","0","5","1.699","1","22"
"1","1011611523","0","10116115","0","0","2.495","0","0","0","4","23"
"0","1011611524","340","10116115","450","0","0","0","5","0.236","1","24"
"1","1011611525","0","10116115","0","0","0.4","0","0","0","4","25"
"0","1011611526","0","10116115","120","0","0","0","6","1.4","1","26"
"1","1011611527","0","10116115","0","0","2","0","0","0","4","27"
"0","1011611528","120","10116115","400","0","0","0","6","2.853","1","28"
"1","1011611529","0","10116115","0","0","4.428","0","0","0","4","29"
"0","1011611530","0","10116115","0","vo_won","0","vo_won_10116115_03","0","0","2","30"
"0","1011611531","0","10116115","140","0","0","0","7","1.261","1","31"
"1","1011611532","0","10116115","0","0","1.715","0","0","0","4","32"
"0","1011611533","140","10116115","430","0","0","0","7","2.245","1","33"
"1","1011611534","0","10116115","0","0","2.759","0","0","0","4","34"
"0","1011611535","0","10116115","450","0","0","0","8","3.212","1","35"
"1","1011611536","0","10116115","0","0","3.212","0","0","0","4","36"
"0","1011611537","450","10116115","450","0","0","0","8","0.499","1","37"
"1","1011611538","0","10116115","0","0","2.042","0","0","0","4","38"
"0","1011611539","0","10116115","0","vo_won","0","vo_won_10116115_04","0","0","2","39"
"0","1011611540","0","10116115","77","0","0","0","9","0.717","1","40"
"1","1011611541","0","10116115","0","0","1.491","0","0","0","4","41"
"0","1011611542","77","10116115","363","0","0","0","9","2.868","1","42"
"1","1011611543","0","10116115","0","0","3.897","0","0","0","4","43"
"0","1011611544","0","10116115","0","vo_won","0","vo_won_10116115_05","0","0","2","44"
"0","1011611545","363","10116115","423","0","0","0","9","0.179","1","45"
"1","1011611546","0","10116115","0","0","0.179","0","0","0","4","46"
"0","1011611547","0","10116115","450","0","0","0","10","1.979","1","47"
"1","1011611548","0","10116115","0","0","2.727","0","0","0","4","48"
"0","1011611549","450","10116115","450","0","0","0","10","2.432","1","49"
"1","1011611550","0","10116115","0","0","2.432","0","0","0","4","50"
"0","1011611551","0","10116115","55","0","0","0","11","1.321","1","51"
"1","1011611552","0","10116115","0","0","2.245","0","0","0","4","52"
