6cbfda71f64311b1700c461fc582491bdf4bd5bd627f88e9a2e8f984ccb706b3,7c981f12560b34ebb26a931fc29b21ececdbd7ebde68761592039191a0197e19,056d0231587143b28bbbdba40bcbace5d66d8b6a2197e42ddcbd0cee0a0402fc,3115fc70e6e5bf0d1df7688b81c9571144eebc5e97eb24921f2104af601f473c,09973b4d7fb362855795dd5851e908b5d015d7ecf1842e7f8c744cc338975386,b3326571193d8db8660a392f00ca1fa52f785a391bebf7767f0b65ebb60e6600,4133d376c9fced040a7c722f533d154e09dc9b16143c78bb302ed9966bca5aff,0469cf072cc7a0530f9a3cd0ce892950615bb41d5abab09797a8fe909e6381ed,0b62d1d1146675dad3f5164b7c673364939af8456e606d5aa13a830de3d3ff6c
"0","502001102","11","1","43.5","1","0.7","1","320010106"
"0","502001103","67","3","13","2","0.65","2","320010106"
"0","0","49","2","-74","3","0.65","3","320010106"
"0","502001108","13","1","-49","4","0.7","1","320010107"
"0","502001109","62","3","-4","5","0.85","2","320010107"
"0","0","50","2","59","6","0.65","3","320010107"
"0","0","-10","1","0","7","1.05","1","320010108"
"0","0","-10","1","-15","8","1.05","1","320010109"
"0","0","-45","1","-85","9","0.43","1","320010110"
"0","0","-45","2","85","10","0.43","2","320010110"
"0","502001202","11","1","43.5","11","0.7","1","320010206"
"0","502001203","67","3","13","12","0.65","2","320010206"
"0","0","49","2","-74","13","0.65","3","320010206"
"0","502001208","13","1","-49","14","0.7","1","320010207"
"0","502001209","62","3","-4","15","0.85","2","320010207"
"0","0","50","2","59","16","0.65","3","320010207"
"0","0","-10","1","0","17","1.05","1","320010208"
"0","0","-10","1","-15","18","1.05","1","320010209"
"0","0","-45","1","-85","19","0.43","1","320010210"
"0","0","-45","2","85","20","0.43","2","320010210"
"0","502001302","11","1","43.5","21","0.7","1","320010306"
"0","502001303","67","3","13","22","0.65","2","320010306"
"0","0","49","2","-74","23","0.65","3","320010306"
"0","502001308","13","1","-49","24","0.7","1","320010307"
"0","502001309","62","3","-4","25","0.85","2","320010307"
"0","0","50","2","59","26","0.65","3","320010307"
"0","0","-10","1","0","27","1.05","1","320010308"
"0","0","-10","1","-15","28","1.05","1","320010309"
"0","0","-45","1","-85","29","0.43","1","320010310"
"0","0","-45","2","85","30","0.43","2","320010310"
"0","502001402","11","1","43.5","31","0.7","1","320010406"
"0","502001403","67","3","13","32","0.65","2","320010406"
"0","0","49","2","-74","33","0.65","3","320010406"
"0","502001408","13","1","-49","34","0.7","1","320010407"
"0","502001409","62","3","-4","35","0.85","2","320010407"
"0","0","50","2","59","36","0.65","3","320010407"
"0","0","-10","1","0","37","1.05","1","320010408"
"0","0","-10","1","-15","38","1.05","1","320010409"
"0","0","-45","1","-85","39","0.43","1","320010410"
"0","0","-45","2","85","40","0.43","2","320010410"
"0","502001502","11","1","43.5","41","0.7","1","320010506"
"0","502001503","67","3","13","42","0.65","2","320010506"
"0","0","49","2","-74","43","0.65","3","320010506"
"0","502001508","13","1","-49","44","0.7","1","320010507"
"0","502001509","62","3","-4","45","0.85","2","320010507"
"0","0","50","2","59","46","0.65","3","320010507"
"0","0","-10","1","0","47","1.05","1","320010508"
"0","0","-10","1","-15","48","1.05","1","320010509"
"0","0","-45","1","-85","49","0.43","1","320010510"
"0","0","-45","2","85","50","0.43","2","320010510"
"0","502002102","11","1","43.5","51","0.7","1","320020106"
"0","502002103","67","3","13","52","0.65","2","320020106"
"0","0","49","2","-74","53","0.65","3","320020106"
"0","502002108","13","1","-49","54","0.7","1","320020107"
"0","502002109","62","3","-4","55","0.85","2","320020107"
"0","0","50","2","59","56","0.65","3","320020107"
"0","0","-10","1","0","57","1.05","1","320020108"
"0","0","-10","1","-15","58","1.05","1","320020109"
"0","0","-45","1","-85","59","0.43","1","320020110"
"0","0","-45","2","85","60","0.43","2","320020110"
"0","502002202","11","1","43.5","61","0.7","1","320020206"
"0","502002203","67","3","13","62","0.65","2","320020206"
"0","0","49","2","-74","63","0.65","3","320020206"
"0","502002208","13","1","-49","64","0.7","1","320020207"
"0","502002209","62","3","-4","65","0.85","2","320020207"
"0","0","50","2","59","66","0.65","3","320020207"
"0","0","-10","1","0","67","1.05","1","320020208"
"0","0","-10","1","-15","68","1.05","1","320020209"
"0","0","-45","1","-85","69","0.43","1","320020210"
"0","0","-45","2","85","70","0.43","2","320020210"
"0","502002302","11","1","43.5","71","0.7","1","320020306"
"0","502002303","67","3","13","72","0.65","2","320020306"
"0","0","49","2","-74","73","0.65","3","320020306"
"0","502002308","13","1","-49","74","0.7","1","320020307"
"0","502002309","62","3","-4","75","0.85","2","320020307"
"0","0","50","2","59","76","0.65","3","320020307"
"0","0","-10","1","0","77","1.05","1","320020308"
"0","0","-10","1","-15","78","1.05","1","320020309"
"0","0","-45","1","-85","79","0.43","1","320020310"
"0","0","-45","2","85","80","0.43","2","320020310"
"0","502002402","11","1","43.5","81","0.7","1","320020406"
"0","502002403","67","3","13","82","0.65","2","320020406"
"0","0","49","2","-74","83","0.65","3","320020406"
"0","502002408","13","1","-49","84","0.7","1","320020407"
"0","502002409","62","3","-4","85","0.85","2","320020407"
"0","0","50","2","59","86","0.65","3","320020407"
"0","0","-10","1","0","87","1.05","1","320020408"
"0","0","-10","1","-15","88","1.05","1","320020409"
"0","0","-45","1","-85","89","0.43","1","320020410"
"0","0","-45","2","85","90","0.43","2","320020410"
"0","502002502","11","1","43.5","91","0.7","1","320020506"
"0","502002503","67","3","13","92","0.65","2","320020506"
"0","0","49","2","-74","93","0.65","3","320020506"
"0","502002508","13","1","-49","94","0.7","1","320020507"
"0","502002509","62","3","-4","95","0.85","2","320020507"
"0","0","50","2","59","96","0.65","3","320020507"
"0","0","-10","1","0","97","1.05","1","320020508"
"0","0","-10","1","-15","98","1.05","1","320020509"
"0","0","-45","1","-85","99","0.43","1","320020510"
"0","0","-45","2","85","100","0.43","2","320020510"
"0","502003102","11","1","43.5","101","0.7","1","320030106"
"0","502003103","67","2","13","102","0.65","2","320030106"
"0","0","49","3","-74","103","0.65","3","320030106"
"0","502003108","13","1","-49","104","0.7","1","320030107"
"0","502003109","62","3","-4","105","0.85","2","320030107"
"0","0","50","2","59","106","0.65","3","320030107"
"0","0","-10","1","0","107","1.05","1","320030108"
"0","0","-10","1","-15","108","1.05","1","320030109"
"0","0","-45","1","-85","109","0.43","1","320030110"
"0","0","-45","2","85","110","0.43","2","320030110"
"0","502003202","11","1","43.5","111","0.7","1","320030206"
"0","502003203","67","2","13","112","0.65","2","320030206"
"0","0","49","3","-74","113","0.65","3","320030206"
"0","502003208","13","1","-49","114","0.7","1","320030207"
"0","502003209","62","3","-4","115","0.85","2","320030207"
"0","0","50","2","59","116","0.65","3","320030207"
"0","0","-10","1","0","117","1.05","1","320030208"
"0","0","-10","1","-15","118","1.05","1","320030209"
"0","0","-45","1","-85","119","0.43","1","320030210"
"0","0","-45","2","85","120","0.43","2","320030210"
"0","502003302","11","1","43.5","121","0.7","1","320030306"
"0","502003303","67","2","13","122","0.65","2","320030306"
"0","0","49","3","-74","123","0.65","3","320030306"
"0","502003308","13","1","-49","124","0.7","1","320030307"
"0","502003309","62","3","-4","125","0.85","2","320030307"
"0","0","50","2","59","126","0.65","3","320030307"
"0","0","-10","1","0","127","1.05","1","320030308"
"0","0","-10","1","-15","128","1.05","1","320030309"
"0","0","-45","1","-85","129","0.43","1","320030310"
"0","0","-45","2","85","130","0.43","2","320030310"
"0","502003402","11","1","43.5","131","0.7","1","320030406"
"0","502003403","67","2","13","132","0.65","2","320030406"
"0","0","49","3","-74","133","0.65","3","320030406"
"0","502003408","13","1","-49","134","0.7","1","320030407"
"0","502003409","62","3","-4","135","0.85","2","320030407"
"0","0","50","2","59","136","0.65","3","320030407"
"0","0","-10","1","0","137","1.05","1","320030408"
"0","0","-10","1","-15","138","1.05","1","320030409"
"0","0","-45","1","-85","139","0.43","1","320030410"
"0","0","-45","2","85","140","0.43","2","320030410"
"0","502003502","11","1","43.5","141","0.7","1","320030506"
"0","502003503","67","2","13","142","0.65","2","320030506"
"0","0","49","3","-74","143","0.65","3","320030506"
"0","502003508","13","1","-49","144","0.7","1","320030507"
"0","502003509","62","3","-4","145","0.85","2","320030507"
"0","0","50","2","59","146","0.65","3","320030507"
"0","0","-10","1","0","147","1.05","1","320030508"
"0","0","-10","1","-15","148","1.05","1","320030509"
"0","0","-45","1","-85","149","0.43","1","320030510"
"0","0","-45","2","85","150","0.43","2","320030510"
"0","502004103","49","1","-74","151","0.7","1","320040106"
"0","502004104","67","3","13","152","0.85","2","320040106"
"0","0","11","2","43.5","153","0.65","3","320040106"
"0","502004107","50","1","59","154","0.7","1","320040107"
"0","502004109","62","3","-4","155","0.85","2","320040107"
"0","0","13","2","-49","156","0.65","3","320040107"
"0","0","-10","1","0","157","0.8","1","320040108"
"0","0","20","1","30","158","0.9","1","320040109"
"0","0","-25","1","20","159","1","1","320040110"
"0","502004203","49","1","-74","160","0.7","1","320040206"
"0","502004204","67","3","13","161","0.85","2","320040206"
"0","0","11","2","43.5","162","0.65","3","320040206"
"0","502004207","50","1","59","163","0.7","1","320040207"
"0","502004209","62","3","-4","164","0.85","2","320040207"
"0","0","13","2","-49","165","0.65","3","320040207"
"0","0","-10","1","0","166","0.8","1","320040208"
"0","0","20","1","30","167","0.9","1","320040209"
"0","0","-25","1","20","168","1","1","320040210"
"0","502004303","49","1","-74","169","0.7","1","320040306"
"0","502004304","67","3","13","170","0.85","2","320040306"
"0","0","11","2","43.5","171","0.65","3","320040306"
