36e10290b3684b788a6173eb381bd8c2c9616b0f9cadc2295fdb961499038b33,4f27064ac3f299c8f803fd6b743637241d3ae92c7a9fc60a2ec5cb40e8865c1c,261f0800b5b521a41b8d722b24768fc445e6149c2b9c6c2cf8b1719e942a7eed,07e026886e7953f005d24f6ddba7da5f19fbc0a78b48fc125548976776e69f9b,dd3e34721f9a226723a68d5ea8cbef9dc8981a9f8bb5ac24d40046bb172221a9,1cd61e15a8a3f470cbf636054559c208f4ce4a9522e2ccd3af92f788eca906c9,bfff41f01935c375b42e88701dc48d7f434fade4fdd56dffd6d1adace93ec095,c927cee37bc63c87fdf2a9f04ea66bb8462750fa6a2d60cb8f60848f045dea1f
"10001","bgm_M32","10001101","10001","塔爾格姆地區","bgm_M32","10001101","10001"
"10002","bgm_M98_2","10002101","10002","馬席納地區","bgm_M98","10002101","10002"
"10003","bgm_M106","10003101","10003","蘭德索爾郊外","bgm_M106","10003101","10003"
"10004","bgm_M112","10004101","10004","塔帕斯海灘 周邊","bgm_M112","10004101","10004"
"10005","bgm_M121","10005101","10005","伊爾席翁的孤島","bgm_M121","10005101","10005"
"10006","bgm_M128","10006101","10006","王城蘭德索爾","bgm_M128","10006101","10006"
"10007","bgm_M135","10007101","10007","蘭德索爾近郊","bgm_M135","10007101","10007"
"10008","bgm_M121","10008101","10008","蘭德索爾近郊","bgm_M121","10008101","10008"
"10009","bgm_M171","10009101","10009","聖誕節","bgm_M171","10009101","10009"
"10010","bgm_M121","10010101","10010","往神殿的參道","bgm_M121","10010101","10010"
"10011","bgm_M189","10011101","10011","情人節","bgm_M189","10011101","10011"
"10012","bgm_M206","10012101","10012","王城蘭德索爾","bgm_M206","10012101","10012"
"10013","bgm_M215","10013101","10013","馬納歷亞","bgm_M215","10013101","10013"
"10014","bgm_M32","10014101","10014","塔爾格姆地區","bgm_M32","10014101","10014"
"10015","bgm_M189","10015101","10015","大江戶大街","bgm_M189","10015101","10015"
