c7703a7755506af7a82285cff18a0d3a1de11de00c2bf35d9d20b02f5ee67a14,aea25a31bff5a9c071a2efcf9495195e9d7f6b8057094ce92f37a925cd03e8b8,275e765c836a95e1ff0769dd2fd275daa35140f4f1c906c5c3c2753bdd26f140,7f404d59e24a83bbc6d259a8590270ba0938b35630d0b93b6faaeeffbd127501,7821b09e1b51e9ddb8274726517ea9012b84ab03be99a7292cb82d80a1395b3c,d033b825a4be25527f14e8bf5bd4b5d5e7bd689119b17d1236c08d47579ea453,adbff9b4a424018a68748bf89c34e22b51dd398e4b4a96c24078e8fc5162ff30,ff8ab0359a36aaf8ac99a52a52eade5c782ffd74e6494541d038287b13af0e4a,80a7786a500ec096f0b9474d5f3189c0c806a8c50833e0e0d444ff44fd8bfaea,16483701fdd67cb26548a88f501bbe3c87a250250f0458be73a24f79120217d4,f1ab938215c5d9d6a5f2f0df13ca3dd6c4ae4acb983dea3388b16b1505f75530
"idle_normal","110311","-280","61001","1","1.55","1","5152061","1","382","110"
"idle_normal","131911","-210","61002","1","1.55","0","5152061","1","145","106"
"joy_idle_normal","102311","-225","61003","1","1.55","0","5152061","1","-50","107"
"wish_idle","102111","-240","61004","1","1.55","0","5152061","1","-245","108"
"idle_normal","107711","-255","61005","1","1.55","0","5152061","1","-440","109"
"doya_idle","122811","-105","61006","1","1.45","0","5152061","1","40","103"
"idle_normal","122911","-120","61007","1","1.45","0","5152061","1","-160","104"
"idle_normal","122711","-135","61008","1","1.45","0","5152061","1","-355","105"
"","210","","61009","110311","","","5152061","13","",""
"","206","","61010","131911","","","5152061","13","",""
"","209","","61011","107711","","","5152061","13","",""
"","205","","61012","122711","","","5152061","13","",""
"","203","","61013","122811","","","5152061","13","",""
"","204","","61014","122911","","","5152061","13","",""
"","208","","61015","102111","","","5152061","13","",""
"","207","","61016","102311","","","5152061","13","",""
"empty","2","160","61017","2","0.75","0","5152061","5","-110","210"
"empty","3","-45","61018","3","1","0","5152061","5","352","210"
"","1","1","61019","1","1","","5152061","31","0","0"
"","2","1","61020","2","0","","5152061","31","0","0"
"","3","1","61021","3","1","","5152061","31","0","0"
"","11","1","61022","11","0","","5152061","31","0","0"
"","0","","61023","0","","","5152061","91","",""
"","telop_1","","61024","3","","","5152061","37","",""
"","0","","61025","0","","","5152061","102","","0"
"","0","","61026","1","","","5152061","93","",""
"","callout_in","1","61027","110311","0.2","0","5152061","3","callout_loop","0"
"","0","","61028","0.1","","","5152061","93","",""
"","vo_rag_6001","","61029","vo_rag","","","5152061","21","0","0"
