30380df964836201420a2654e28c57fc686a5e065ac670a226f30d61a5271b4a,f51c74e225c3e7718a1585b67173cb4b825a0f1306b6e3ae31c9b0dd14b03893,ce860a1f6416946233e2d1fd0cd5e639c4f08309025814f989493c67ef6e2147,8a28976e5c094db4115e36446788c2852dd303a1c25d5278f77bf2d7cabe1351,69bece732a198fa95415fc3980203f8455b3bb872ee12f3864dcb6224a4f2bee,3822367adf1e2e7f35fdf1f91c531d36b6f411171d37b26c3646cb644d11b345,1b8afaaf76a2e59ceb69075a82f2c225a0df0df3e42c46220ff9416a93aa7098,672ecb4897bcb16db03c153ab6ee556075b77a48e579c00e44398a0fe55edbcf,857375a8a7cbe2b8aafbfda0aa5f177c953af6637acf5380cf3abe11abfcdb85,dbff9dd073ea3686596975039e68165eff348d4c7f1121abc381ff93dc5d69f2,3edc1eaafa59ce93da99ae2e01c27f510bf6c95728961a3daaa632cb93dbb642,3a023e2a1d7635aede598dc415e5c2685e3d8dc165f105a4baa7b2146290b2f1
"100580101","0","0","1005801","0","0.8","1","0","0","4","1","0"
"100580102","0","0","1005801","vo_ske","0","0","vo_ske_0101","0","2","2","0"
"100580103","0","0.705","1005801","0","0","0","0","1","1","3","94"
"100580104","0","0","1005801","0","1.549","1","0","0","4","4","0"
"100580105","94","1.807","1005801","0","0","0","0","1","1","5","362"
"100580106","0","0","1005801","0","3.027","1","0","0","4","6","0"
"100580107","0","1.141","1005801","0","0","0","0","2","1","7","263"
"100580108","0","0","1005801","0","1.9","1","0","0","4","8","0"
"100580109","263","1.78","1005801","0","0","0","0","2","1","9","400"
"100580110","0","0","1005801","0","4.544","1","0","0","4","10","0"
"100580111","0","0","1005801","vo_ske","0","0","vo_ske_0102","0","2","11","0"
"100580112","0","1.322","1005801","0","0","0","0","3","1","12","195"
"100580113","0","0","1005801","0","2.917","1","0","0","4","13","0"
"100580114","0","0","1005801","vo_ske","0","0","vo_ske_0103","0","2","14","0"
"100580115","0","1.932","1005801","0","0","0","0","4","1","15","228"
"100580116","0","0","1005801","0","2.582","1","0","0","4","16","0"
"100580117","228","0.996","1005801","0","0","0","0","4","1","17","367"
"100580118","0","0","1005801","0","3.856","1","0","0","4","18","0"
"100580119","0","0","1005801","vo_ske","0","0","vo_ske_0104","0","2","19","0"
"100580120","0","0.67","1005801","0","0","0","0","5","1","20","90"
"100580121","0","0","1005801","0","1.785","1","0","0","4","21","0"
"100580122","90","2.253","1005801","0","0","0","0","5","1","22","364"
"100580123","0","0","1005801","0","2.253","1","0","0","4","23","0"
"100580124","0","0.962","1005801","0","0","0","0","6","1","24","0"
"100580125","0","0","1005801","0","2.244","1","0","0","4","25","0"
"100580126","0","1.707","1005801","0","0","0","0","6","1","26","334"
"100580127","0","0","1005801","0","4.225","1","0","0","4","27","0"
"100580128","0","0","1005801","vo_ske","0","0","vo_ske_0105","0","2","28","0"
"100580129","0","1.256","1005801","0","0","0","0","7","1","29","227"
"100580130","0","0","1005801","0","3.119","1","0","0","4","30","0"
"100580131","0","0","1005801","vo_ske","0","0","vo_ske_0106","0","2","31","0"
"100580132","0","0.702","1005801","0","0","0","0","8","1","32","73"
"100580133","0","0","1005801","0","1.386","1","0","0","4","33","0"
"100580134","73","1.352","1005801","0","0","0","0","8","1","34","318"
"100580135","0","0","1005801","0","2.053","1","0","0","4","35","0"
"100580136","318","0.733","1005801","0","0","0","0","8","1","36","383"
"100580137","0","0","1005801","0","1.868","1","0","0","4","37","0"
"100580138","0","1.764","1005801","0","0","0","0","9","1","38","340"
"100580139","0","0","1005801","0","2.905","1","0","0","4","39","0"
"100580140","340","0.969","1005801","0","0","0","0","9","1","40","340"
