74a453b3c872b8c46fc43d82bf965a09c022deee08d2390a67373fda2300690c,f2f7f2c9bb8be1ce526bc92cd5fa70e0759a4dba9ffdf3b404bfab2f90abec84,d4f66e18cc191f6b3b6cf965cf309ef86a1fd67f2d3aecabc25e0b658ca89b2e,1e9d864cf15b598b43b89f69569613e3695aa967f2e2baf9bcac6cbc3d82752a,6711551d480dc42a6f41dd1632a359c301289a438b3ebbe23e348b7d4882b421
"0","999","30","1","20"
"24","999","30","2","20"
"32","999","30","3","21"
"40","999","30","4","21"
"48","999","30","5","22"
"64","999","30","6","22"
"80","999","30","7","23"
"96","999","30","8","23"
"120","999","30","9","24"
"168","999","30","10","24"
"224","999","30","11","25"
"280","999","30","12","25"
"344","999","30","13","26"
"420","999","30","14","26"
"502","999","30","15","27"
"584","999","30","16","28"
"666","999","30","17","30"
"748","999","30","18","35"
"830","999","30","19","40"
"930","999","30","20","45"
"1040","999","30","21","50"
"1178","999","30","22","55"
"1316","999","30","23","60"
"1458","999","30","24","70"
"1604","999","30","25","80"
"1755","999","30","26","85"
"1910","999","30","27","85"
"2070","999","30","28","86"
"2235","999","30","29","87"
"2405","999","30","30","88"
"2579","999","30","31","89"
"2760","999","30","32","90"
"2945","999","30","33","91"
"3136","999","30","34","92"
"3333","999","30","35","93"
"3535","999","30","36","94"
"3744","999","30","37","95"
"3974","999","30","38","96"
"4226","999","30","39","97"
"4504","999","30","40","98"
"4810","999","30","41","99"
"5152","999","30","42","100"
"5535","999","30","43","101"
"5965","999","30","44","102"
"6446","999","30","45","103"
"7004","999","30","46","104"
"7651","999","30","47","105"
"8401","999","30","48","106"
"9272","999","30","49","107"
"10282","999","30","50","108"
"11454","999","30","51","109"
"12813","999","30","52","110"
"14389","999","30","53","111"
"16159","999","30","54","112"
"17929","999","30","55","113"
"19699","999","30","56","114"
"21469","999","30","57","115"
"23239","999","30","58","116"
"25009","999","30","59","117"
"26779","999","30","60","118"
"28549","999","30","61","119"
"30319","999","30","62","120"
"32089","999","30","63","121"
"33859","999","30","64","122"
"35629","999","30","65","123"
"38284","999","30","66","124"
"40939","999","30","67","125"
"43594","999","30","68","126"
"46249","999","30","69","127"
"48904","999","30","70","128"
"51559","999","30","71","129"
"54214","999","30","72","130"
"56869","999","30","73","131"
"59524","999","30","74","132"
"62179","999","30","75","133"
"64834","999","30","76","134"
"68374","999","30","77","135"
"71914","999","30","78","136"
"75454","999","30","79","137"
"78994","999","30","80","138"
"82534","999","30","81","139"
"86074","999","30","82","140"
"89614","999","30","83","141"
"93154","999","30","84","142"
"96694","999","30","85","143"
"100234","999","30","86","144"
"103774","999","30","87","145"
"107314","999","30","88","146"
"110854","999","30","89","147"
"114394","999","30","90","148"
"117934","999","30","91","149"
"121474","999","30","92","150"
"125014","999","30","93","151"
"128554","999","30","94","152"
"132094","999","30","95","153"
"135634","999","30","96","154"
"139174","999","30","97","155"
"142714","999","30","98","156"
"146254","999","30","99","157"
"149794","999","30","100","158"
"153334","999","30","101","159"
"157759","999","30","102","160"
"162184","999","30","103","161"
"166609","999","30","104","162"
"171034","999","30","105","163"
"175459","999","30","106","164"
"179884","999","30","107","165"
"184309","999","30","108","166"
"188734","999","30","109","167"
"193159","999","30","110","168"
"197584","999","30","111","169"
"202009","999","30","112","170"
"206434","999","30","113","171"
"210859","999","30","114","172"
"215284","999","30","115","173"
"219709","999","30","116","174"
"224134","999","30","117","175"
"228559","999","30","118","176"
"232984","999","30","119","177"
"237409","999","30","120","178"
"241834","999","30","121","179"
"246259","999","30","122","180"
"250684","999","30","123","181"
"255109","999","30","124","182"
"259534","999","30","125","183"
