41b80d84ff919772af6e2d9e7ac5fd496119eb124683becbd3c3481c41ac6777,64329ce9e698b360ea6fc9046bac71b5dfbe4841416ac6e1be144385bfd65aca,17fcf413ffe484b33f9f21a80bb72550d71871d31eabe15805aee63a4f06b694,e01eac48ad6c63a0419616d71cad882c8140850e4f8ad3485b1b9eab72cc035f,92756ddb8600e64ddd111eba18c78fe3487ec4965d830c35a8cd51930f7800d0,827a241ee58653ecfd5620a4fe49e2c7c5c8d19c142269517846d3a857a62f52
"111011101","1110111","0","1","1","101001"
"111021101","1110211","0","1","1","101002"
"133011101","1330111","0","3","1","301"
"133011201","1330112","0","3","1","301"
"133020101","1330201","500","3","0","302"
"133020201","1330202","500","3","0","302"
"133030101","1330301","1","3","0","303"
"133030201","1330302","250","3","0","303"
"133030301","1330303","1","3","0","303"
"133030401","1330304","1","3","0","303"
"133030501","1330305","250","3","0","303"
"133030601","1330306","1","3","0","303"
"133040101","1330401","1000","3","0","304"
"133040201","1330402","1000","3","0","304"
"133040301","1330403","1000","3","0","304"
"133040401","1330404","1000","3","0","304"
"133051101","1330511","0","3","1","305"
"133051201","1330512","0","3","1","305"
"134010101","1340101","1","3","0","401"
"134010201","1340102","1","3","0","401"
"134021101","1340211","0","3","1","402"
"134021201","1340212","0","3","1","402"
"140010101","1400101","1","4","0","1"
"140010201","1400102","1","4","0","1"
"140010301","1400103","10","4","0","1"
"140020101","1400201","0","4","0","2"
"210000101","2100001","0","1","0","0"
"211030101","2110301","0","1","0","101003"
"221010101","2210101","0","2","0","100001"
"221020101","2210201","0","2","0","100002"
"221030101","2210301","0","2","0","100003"
"221050101","2210501","0","2","0","100005"
"221070101","2210701","0","2","0","100007"
"221080101","2210801","0","2","0","100008"
"221090101","2210901","0","2","0","100009"
"221100101","2211001","0","2","0","100010"
"221110101","2211101","0","2","0","100011"
"221120101","2211201","0","2","0","100012"
"221130101","2211301","0","2","0","100013"
"221140101","2211401","0","2","0","100014"
"221160101","2211601","0","2","0","100016"
"221170101","2211701","0","2","0","100017"
"222020101","2220201","0","1","0","201020"
"222040101","2220401","0","1","0","201040"
"222050101","2220501","0","1","0","201050"
"222060101","2220601","0","1","0","201060"
"222070101","2220701","0","1","0","201070"
"222080101","2220801","0","1","0","201080"
"222090101","2220901","0","1","0","201090"
"222100101","2221001","0","1","0","201100"
"222110101","2221101","0","1","0","201110"
"222130101","2221301","0","1","0","201130"
"222140101","2221401","0","1","0","201140"
"222160101","2221601","0","1","0","201160"
"222180101","2221801","0","1","0","201180"
"222190101","2221901","0","1","0","201190"
"222200101","2222001","0","1","0","201200"
"222210101","2222101","0","1","0","201210"
"222220101","2222201","0","1","0","201220"
"222230101","2222301","0","1","0","201230"
"222240101","2222401","0","1","0","201240"
"222250101","2222501","0","1","0","201250"
"222270101","2222701","0","1","0","201270"
"222280101","2222801","0","1","0","201280"
"222290101","2222901","0","1","0","201290"
"222300101","2223001","0","1","0","201300"
"222320101","2223201","0","1","0","201320"
"222340101","2223401","0","1","0","201340"
"222350101","2223501","0","1","0","201350"
"222360101","2223601","0","1","0","201360"
"222370101","2223701","0","1","0","201370"
"222380101","2223801","0","1","0","201380"
"222390101","2223901","0","1","0","201390"
"222400101","2224001","0","1","0","201400"
"222410101","2224101","0","1","0","201410"
"222430101","2224301","0","1","0","201430"
"222440101","2224401","0","1","0","201440"
"222470101","2224701","0","1","0","201470"
"222480101","2224801","0","1","0","201480"
"222490101","2224901","0","1","0","201490"
"233010101","2330101","1000","3","0","301"
"233050101","2330501","1000","3","0","305"
"234020101","2340201","0","3","0","402"
"234030101","2340301","0","3","0","403"
"240010101","2400101","0","4","0","1"
"310000101","3100001","0","1","0","0"
"310000102","3100002","0","1","0","0"
"311010101","3110101","0","1","0","101001"
"311020101","3110201","0","1","0","101002"
