11c536e4dfa50ae855674994295363277a9401803085d04dfe5ca24093c6536f,cc2c43918fcf2bb6ddb1efec7d4280f572787c1117822ff4cf368e4c805cf5ed,8e233686e68fc8d6938e0d2e131872c3179f0f202727c099c4b13055c1ee0c3d,b069d4d44b40ea6f1fa6405f6838100290a0c758521e21313c1f586a36f6628d,30a34ad61fa339b96953ec41042da957ae72bd968519c5ddd6bfae8e34d34925,575e14624efcb86bfd6bb88067ea21d1eb2ab903ddcd751253fa125f90ac7d4d,abc1926fa61cc1273d271a931be37941cfc969f0bf5bd0b9a13464d74b6e686d
"0","1","1","1","0","1","1"
"0","4","2","2","0","1","1"
"12","5","1","3","0","1","1"
"0","2","2","4","0","1","1"
"0","8","1","5","0","1","2"
"0","1","1","1","0","2","1"
"0","1","2","2","0","2","1"
"0","6","1","3","0","2","1"
"0","1","2","4","0","2","1"
"0","1","3","5","0","2","1"
"11","3","1","6","0","2","3"
"0","1","2","7","0","2","1"
"0","3","1","8","0","2","1"
"0","1","1","9","0","2","2"
"0","1","1","1","0","3","1"
"0","10","2","2","0","3","1"
"0","11","1","3","0","3","1"
"0","5","2","4","0","3","1"
"0","6","3","5","0","3","1"
"0","3","3","6","0","3","1"
"9","3","4","7","0","3","2"
"0","7","4","8","0","3","1"
"0","1","4","9","0","3","1"
"8","9","1","10","0","3","3"
"0","4","2","11","0","3","1"
"0","1","1","12","0","3","1"
"0","3","4","13","0","3","1"
"11","3","3","14","0","3","2"
"10","4","1","1","0","4","1"
"12","12","1","2","0","4","1"
"10","1","2","3","0","4","1"
"4","11","1","4","0","4","1"
"0","1","2","5","0","4","1"
"13","4","1","6","0","4","1"
"6","2","2","7","0","4","1"
"0","8","1","8","0","4","1"
"10","8","2","9","0","4","1"
"10","1","1","1","0","5","1"
"5","11","2","2","0","5","1"
"7","1","1","3","0","5","1"
"12","5","2","4","0","5","1"
"11","1","1","5","0","5","1"
"4","3","2","6","0","5","1"
"12","5","2","7","0","5","1"
"6","2","1","8","0","5","1"
"4","11","2","9","0","5","1"
"8","8","1","10","0","5","1"
"10","4","1","11","0","5","1"
"10","5","2","12","0","5","1"
"7","8","1","1","0","6","1"
"10","4","2","2","0","6","1"
"11","1","1","3","0","6","1"
"8","8","2","4","0","6","1"
"6","11","1","5","0","6","1"
"7","2","1","6","0","6","2"
"4","5","1","7","0","6","1"
"10","4","2","8","0","6","1"
"13","10","1","9","0","6","2"
"7","8","1","1","0","7","1"
"10","12","2","2","0","7","1"
"12","4","2","3","0","7","1"
"7","11","1","4","0","7","1"
"10","1","1","5","0","7","1"
"12","5","2","6","0","7","1"
