22b9bbe6b604217ba0a95c9d0816bf8d6dd5efc792c4d4b5edd41f5b0c6cf61b,a089e932916a0b30a6e69c483242abdb672c7097181a39aab722af561447a22e,7a8a6f8f8153fe2ab945c13c3ad06553ca75cecf9c1a24e44d79a2cc7f87496a,bc8c4847e72ce93ce502552f99c3d631c394d8987c7163493f6a335c041e4eb2,c50c2b3411cb2395554abc3677a2a59bb27b74f2910ea2ef4f838e290c8162b0,113c0eaa84c7a67fd700eebc3a525c31baa405033eabb5cdaf5baf8b105e8b33,9405fa92f6dbd28e12d6bd1aed02f4a657d39a535444e628d37aff522da8ad1c
"10001","1","60002","2","10001","5","初音的禮物大作戰"
"10002","1","60012","2","10002","5","小小甜心大冒險"
"10004","1","60032","2","10004","5","危險的假期！海岸邊的美食家公主"
"10005","1","60042","2","10005","5","珠希和美冬的無人島０盧幣生活"
"10006","1","60052","2","10006","5","黑鐵的亡靈"
"10007","1","60062","2","10007","5","不給布丁就搗蛋！約定的萬聖節派對"
"10008","1","60072","2","10008","5","暮光破壞者"
"10009","1","60082","2","10009","5","忘却的頌歌"
"10010","1","60092","2","10010","5","新春破曉之星大危機！"
"10011","1","60102","2","10011","5","情人節之戰！ 正中紅心的甜蜜戰鬥"
"10012","1","60112","2","10012","5","王都的名偵探　嘆息的追緝者"
"10013","1","60122","2","10013","5","在阿斯特朗盛開的雙輪之花"
"10014","1","60132","2","10014","5","復刻初音的禮物大作戰"
"10015","1","60142","2","10015","5","將軍道中記　白翼的武士"
"10016","1","60152","2","10016","5","復刻小小甜心大冒險"
"10017","1","60162","2","10017","5","Re:從零開始聚集的異世界餐桌"
"10018","1","60172","2","10018","5","復刻吸血鬼獵人 with伊莉亞"
"10019","1","60182","2","10019","5","鈴奈的彩虹舞臺！"
"10020","1","60192","2","10020","5","復刻危險的假期！海岸邊的美食家公主"
"10021","1","60202","2","10021","5","盛夏的真步真步王國 浪花拍岸的靈魂之夏！"
"10022","1","60212","2","10022","5","珠希和美冬的無人島０盧幣生活"
"10023","1","60222","2","10023","5","森林的膽小鬼與神聖學院的問題兒童"
"10024","1","60232","2","10024","5","黑鐵的亡靈"
"10025","1","60242","2","10025","5","小小勇敢的萬聖節之夜！"
"10026","1","60252","2","10026","5","不給布丁就搗蛋！約定的萬聖節派對"
"10027","1","60262","2","10027","5","龍的探索者們"
"10028","1","60272","2","10028","5","暮光破壞者"
"10029","1","60282","2","10029","5","禮物大恐慌！蘭德索爾的聖誕老人們"
"10030","1","60292","2","10030","5","忘却的頌歌"
"10031","1","60302","2","10031","5","狂奔！　蘭德索爾的公會競速賽"
"10032","1","60312","2","10032","5","新春破曉之星大危機！"
"10033","1","60322","2","10033","5","魔法少女　兩人是Misty&Purely"
"10034","1","60332","2","10034","5","情人節之戰！ 正中紅心的甜蜜戰鬥"
"10035","1","60342","2","10035","5","星光公主　Re:M@STER！"
"10036","1","60342","2","10036","5","星光公主　Re:M@STER！"
"10037","1","60362","2","10037","5","王都的名偵探　嘆息的追緝者"
"10038","1","60372","2","10038","5","恩賜的財團與神聖學院的問題兒童"
"10039","1","60382","2","10039","5","在阿斯特朗盛開的雙輪之花"
"10040","1","60392","2","10040","5","牧場的四農士　貧窮農場奮鬥記"
"10041","1","60402","2","10041","5","將軍道中記　白翼的武士"
"10042","1","60412","2","10042","5","不可思議之國的璃乃 小小愛麗絲與希望的繪本"
"10043","1","60422","2","10043","5","鈴奈的彩虹舞臺！"
"10044","1","60432","2","10044","5","七夕劍客旅情譚 天際川流夏之戀"
"10045","1","60442","2","10045","5","盛夏的真步真步王國 浪花拍岸的靈魂之夏！"
"10046","1","60452","2","10046","5","美里的夏日聲援！　追夢的盛夏棒球隊"
"10047","1","60462","2","10047","5","森林的膽小鬼與神聖學院的問題兒童"
"10048","1","60472","2","10048","5","Happy・Change・Angels"
"10049","1","60482","2","10049","5","小小勇敢的萬聖節之夜！"
"10050","1","60492","2","10050","5","迴響！尖叫！萬聖鬼怪狂歡節"
"10051","1","60502","2","10051","5","龍的探索者們"
"10052","1","60512","2","10052","5","魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！"
"10053","1","60522","2","10053","5","Re:從零開始聚集的異世界餐桌"
"10054","1","60532","2","10054","6","名媛初登夢想秘境　聖誕夜的戀愛遊戲"
"10055","1","60542","2","10055","5","禮物大恐慌！蘭德索爾的聖誕老人們"
"10056","1","60552","2","10056","6","新春美食公主！　賭上關鍵一擲的少女們"
"10057","1","60562","2","10057","5","狂奔！　蘭德索爾的公會競速賽"
"10058","1","60572","2","10058","6","羈絆相連。心相繫。"
"10059","1","60572","2","10059","6","羈絆相連。心相繫。"
"10060","1","60592","2","10060","5","魔法少女　兩人是Misty&Purely"
"10061","1","60602","2","10061","6","灰姑娘課程　璀璨的日子有著蘋果的滋味"
"10062","1","60612","2","10062","5","星光公主　Re:M@STER！"
"10063","1","60612","2","10063","5","星光公主　Re:M@STER！"
"10064","1","60632","2","10064","6","鋼鐵聖女與神聖學院的問題兒童"
"10065","1","60642","2","10065","5","恩賜的財團與神聖學院的問題兒童"
"10066","1","60652","2","10066","6","祈梨ＳＯＳ！！ 踏上時空旅行的龍人族"
"10067","1","60662","2","10067","5","牧場的四農士　貧窮農場奮鬥記"
"10068","1","60672","2","10068","6","心電感應！碧與玩具朋友們"
"10069","1","60682","2","10069","5","不可思議之國的璃乃 小小愛麗絲與希望的繪本"
"10070","1","60692","2","10070","6","永不完結的夏日計畫　盛夏的雙人獨佔樂園"
"10071","1","60702","2","10071","5","七夕劍客旅情譚 天際川流夏之戀"
"10072","1","60712","2","10072","6","慈樂之音的夏日演唱會　Just a Moment！ "
"10073","1","60722","2","10073","5","美里的夏日聲援！　追夢的盛夏棒球隊"
"10074","1","60732","2","10074","6","大江戶的非法病歷　Dr.深月的診療室"
"10075","1","60742","2","10075","5","Happy・Change・Angels"
"10076","1","60752","2","10076","6","萬聖節拯救隊大亂鬥！　捕獲毛茸茸大作戰"
"10077","1","60762","2","10077","5","迴響！尖叫！萬聖鬼怪狂歡節"
"10078","1","60772","2","10078","6","魔法少女外傳　黑暗魔法★三人組！"
"10079","1","60782","2","10079","5","魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！"
"10080","1","60792","2","10080","6","聖誕布丁快樂！ 飛舞的少女與飽含真心的點心"
"10081","1","60802","2","10081","6","名媛初登夢想秘境　聖誕夜的戀愛遊戲"
"10082","1","60812","2","10082","6","新春美食回憶　雪菲的跑腿大作戰！"
"10083","1","60822","2","10083","6","新春美食公主！　賭上關鍵一擲的少女們"
"10084","1","60832","2","10084","6","Re:member　我的心願編織出的未來"
"10085","1","60842","2","10085","6","Re:member　我的心願編織出的未來"
"10086","1","60852","2","10086","6","羈絆相連。心相繫。"
"10087","1","60852","2","10087","6","羈絆相連。心相繫。"
"10088","1","60872","2","10088","6","Sweet Tiny Stage！　初出茅廬的女演員與小小淑女"
"10089","1","60882","2","10089","6","灰姑娘課程　璀璨的日子有著蘋果的滋味"
"10090","1","60892","2","10090","6","交出寶物！透明怪盜雙人組"
"10091","1","60902","2","10091","6","鋼鐵聖女與神聖學院的問題兒童"
"10092","1","60912","2","10092","6"," Episode of Pirate　海盜島上被詛咒的遺寶"
