8f5cfa49f38043b76af87d2395d71b4e7c1b34bae79c9b283174378ed624c968,62385452d20d66bcc023456b8b6b0f32267de1f178d99dc134b7d1235e5b68f7,1aea941f44687a638e41de49fa8dfe02f347c86ed5736f286976326213640df6,5488135571940da37f95f5b9632287bccdda1064b9b41929bb7b5180eef8c94b,65955b5187505bae201c3ff861b3772f281ebb291a1a8f16c217439f4708df9c,b21b5a68ef9c849df80b0a427c4beccda026c09d8f4fa29888afa759737a92d1,7ee45a0008df82cbb6d277bb590e4b5b84114f6a09b90f98899e6bd95b5bf089,2ce4d067644883ffb7b0b97f62c2c9b94757be6324ccc44be197de8ab7a389ef,4af6335b6d3e185c4f79316ba240d127e4d502aca09e80b8324d4b4edaf31fc9,859f0817bed23489d26f171dae9aee6d3cc2709e40bf0b05d206d2a236b8bf70,0cd8b5521fefad6e362bcc43c3470a4e0c3851fd23f3a6de71681f19aa5c815f,e6fab61518dc1a08c227bb6b69bbdfc37e8193486900a4a4a4a16e0a6fcf8a38,e6efd8e2e0831d6bfb1d6b99157c2cb8b1497c50b4d374247d74bf4f5dc06e5d,baf113534dce09acc433e96294f80f72b5ab6fcfe175b9cdaeff70b2f0dcaa77,a6c880cd2208374eedf307ca49f5390eca818cb1c16d4dde681dd5c185046e95,8901eddcbc3d5dfe146f5ce1cb22fe76c40c88fc357c406ea468db215bf16a04
"980","501","401","1008201","70","-110","301","2","1","215","3","2","455","201","1","101"
"515","502","402","1008202","70","-110","302","2","2","215","3","2","230","202","1","102"
"515","503","403","1008203","70","-110","303","2","3","215","3","1","230","203","1","103"
"515","504","404","1008204","70","-110","304","2","4","215","3","1","230","204","1","104"
"787","505","405","1008205","78","-110","305","2","5","233","3","2","355","205","1","105"
"787","506","406","1008206","78","-110","306","2","6","233","3","3","355","206","1","106"
"777","507","407","1008207","88","-110","307","2","7","233","3","3","345","207","1","107"
"777","508","408","1008208","88","-110","308","2","8","233","3","1","345","208","1","108"
"777","509","409","1008209","88","-110","309","2","9","233","3","1","345","209","1","109"
"810","510","410","1008210","88","-110","310","2","10","233","3","3","355","210","1","110"
"777","511","411","1008211","88","-110","311","2","11","233","3","2","345","211","1","111"
"515","512","412","1008212","70","-110","312","2","12","215","3","2","230","212","1","112"
"810","513","413","1008213","78","-110","313","2","13","233","3","1","355","213","1","113"
"515","514","414","1008214","70","-110","314","2","14","215","3","1","230","214","1","114"
"515","515","415","1008215","70","-110","315","2","15","215","3","3","230","215","1","115"
"655","516","416","1008216","70","-110","316","2","16","215","3","2","275","216","1","116"
"515","517","417","1008217","70","-110","317","2","17","215","3","3","230","217","1","117"
"777","518","418","1008218","88","-110","318","2","18","233","3","3","345","218","1","118"
