c585e256bc675e1af1e673b3709c8cd7dac0498932b6e56ebd15368888027f3c,4f5140c4244e91e6861562894e9364037a4694e35d27e9c697ecf246e80fdcf8,8a54cb80027b5b1d14b702925db25591898d62454a221630a5b41ddd00b771db,a86bc736acfbb8836ad63e5fe28c87962cf152738584f126e0aaafb352c4bb68,8efce5e068d8a5dc935a1eb6b64bb1cd4fbf4a9410b791f72c5907438d782bb5,4a1b6c9aaa7c9e0191e2842776d7aa123a757f49fd8b2232552a7a262be47385,2a7643feb7cf32675e63489ba958ee519083e01c805761ab89b2cb42381b34c7,d089e27dcaadd7a9aaee8304fe20e49f62cead50a8ace3257deddee6d270599d,96452c229bcc959686191f9cbed12e57f6099a37a91e184e2385479a00659e54
"6","2","100101","3","2","1","3","1","2"
"5","1","100201","2","1","3","3","2","1"
"7","3","100301","3","2","1","2","3","1"
"13","2","100401","3","2","1","2","3","2"
"18","2","100501","1","3","2","3","2","2"
"25","2","100601","2","3","1","3","2","1"
"26","3","100701","2","1","3","3","2","2"
"40","3","100801","1","1","3","2","3","2"
"34","3","100901","3","3","1","2","2","1"
"8","1","101001","2","1","3","3","2","1"
"56","2","101101","2","1","2","3","2","3"
"43","2","101201","3","2","1","1","2","3"
"33","2","101301","1","3","1","3","3","1"
"11","1","101401","1","2","3","2","2","1"
"42","1","101501","2","1","3","2","3","1"
"46","2","101601","1","1","2","3","3","3"
"10","2","101701","1","2","1","3","2","3"
"45","1","101801","1","2","3","2","3","1"
"12","1","102001","3","2","2","3","1","2"
"30","1","102101","2","2","1","3","3","1"
"24","1","102201","2","2","1","1","3","3"
"31","2","102301","3","3","1","3","1","2"
"29","1","102501","1","1","3","2","2","3"
"51","1","102601","2","1","3","3","1","2"
"36","3","102701","3","1","2","1","3","2"
"28","1","102801","1","1","2","2","3","2"
"52","1","102901","2","1","2","3","2","2"
"39","2","103001","1","2","2","3","3","1"
"27","3","103101","3","1","3","2","1","2"
"19","2","103201","3","1","3","1","2","2"
"48","2","103301","3","2","2","3","1","1"
"20","1","103401","2","3","2","1","2","2"
"14","3","103601","1","3","3","1","2","2"
"17","3","103701","1","3","1","2","3","2"
"49","3","103801","2","3","3","2","1","1"
"44","1","104001","2","3","2","1","1","3"
"53","3","104201","1","2","3","2","2","2"
"9","3","104301","3","1","1","2","2","3"
"23","3","104401","3","2","3","2","1","1"
"38","1","104501","2","3","2","2","2","1"
"21","2","104601","2","1","3","2","1","3"
"15","3","104701","1","3","1","2","2","3"
"22","3","104801","2","2","1","1","3","3"
"55","1","104901","3","1","2","2","2","2"
"47","1","105001","1","2","2","3","2","3"
"35","3","105101","1","2","3","1","1","3"
"50","2","105201","2","1","2","3","2","2"
"37","3","105301","3","1","1","2","3","2"
"54","2","105401","2","1","2","3","1","3"
"41","1","105501","3","3","2","2","1","1"
"32","3","105601","2","1","1","3","2","3"
"67","1","105701","2","2","1","3","2","2"
"1","2","105801","2","1","2","3","2","2"
"2","1","105901","2","2","3","2","2","1"
"3","3","106001","1","3","2","2","1","3"
"58","2","106101","3","2","1","3","2","2"
"68","1","106301","3","2","1","3","1","2"
"4","1","106401","2","3","1","3","2","2"
"61","3","106501","1","3","1","3","2","2"
"62","2","106601","1","3","3","3","1","2"
"60","3","106701","1","2","2","2","2","1"
"57","1","106801","1","3","1","1","2","2"
"59","3","107001","2","2","3","1","1","1"
"16","3","107101","2","2","1","1","3","2"
"70","1","109201","2","2","2","2","2","1"
"72","2","109301","2","1","2","3","2","3"
"71","3","109401","1","2","1","2","3","3"
"64","1","110801","2","2","1","2","2","3"
"65","2","110901","1","1","2","2","3","2"
"63","3","111001","1","2","3","3","1","1"
"69","2","111401","2","3","2","2","1","3"
"66","2","118001","1","2","3","1","2","3"
