55caa48d23a68019bca768f0946c5ec0dbb6073652c9d38423b714d561cf362e,5f48ef8079364bbcfe7c24a1bbedce42f257a19de1862ec78b250c523c3ffc91,c631cb4c7950cb45bd5d50e79eb066956c52955fff1a84d6fe6df1c3384b56b8,c750fe9f07df1d94ecbac26229002fa1ee2a2cab623f9bd06f52101dd3017a31,8b3ef9bdc57853ade60dccccc2a0a2fa6d28ec7644b2dc099ca653c2fd3841de,a9778f6b73cf4a29b9f6c377d7c8bbaa0c93943567215f5edd7650e4d374e332,1e4dd3d98c9e8280369e857c467466d2c888a674739ef2b3316e92fd68ce4ae0,5e4210b2fd0e8f49148b30f151d8a84c202bd8b2fb34f80b465aca36d76d5b54,d6b5443966cb8592c2b011384b1e26895ed212bd7fa76ce9838f88b08a73a8df,2efa43427c945a00c548bad7d613e1f17286908714efaf8e789474b3c2b58965,bb64a8149569dd0bb68595c2519855f66911aadbf0aab10873a00f427f96cddd
"0","2.08","svd_idle_normal","5","-750","2","-300","1007001","1007001001","113511","100"
"1","2.08","svd_idle_normal","5","750","1","-300","1007001","1007001002","113411","100"
"0","1","svd_white_loop","5","0","3","0","1007001","1007001003","333","0"
"0","0","","6","1","333","0","1007001","1007001004","1","1"
"","","","7","0","113511","","1007001","1007001005","2","0"
"","","","2","0.5","113511","0","1007001","1007001006","-750","-300"
"0","0","","6","1","113411","0","1007001","1007001007","1","1"
"","0","","31","-40","1","0.8","1007001","1007001008","11","-140"
"","","","34","0","11","","1007001","1007001009","2","0"
"","","","7","0","113411","","1007001","1007001010","6","0"
"","","","2","0.5","113411","0","1007001","1007001011","750","-300"
"","0","","31","-40","4","1","1007001","1007001012","14","-250"
"","0","","31","-40","5","1","1007001","1007001013","15","250"
"","","","93","","1","","1007001","1007001014","",""
"0","0.8","","6","1","333","0.4","1007001","1007001015","1","1"
"0","0.2","","3","svd_idle_see","113511","1","1007001","1007001016","svd_idle_see_pre","0"
"","","","2","1.1","113411","0","1007001","1007001017","640","-300"
