ba6ccda235dc316e38b7e419e432094b035a2c529a12b7e918c36f4ce0c4b23d,36dbabec04e58811f821e6cff79927dde8d0d2fe0b3db542da21819a2889462b,42322406b6d7c5c8109cbb8ecde49b05009d4973dd5c74135e29637a36d5bb59,492f9d337b76d3cc19b6129ff51d91d5c4387855bad7df636b9ea8480e120489,efaaa321e58472f245bc27b26ce8b0badcdcb151ff6e7a3778c864a9c6c5c816,f26456e80780418b8ef6429997a976a95022c314c133e7829f005f6b62893f12,2dd42c89967cb669d191f899a9c46bd9f0173c3a7dd8aab806e0054f53f88470,485e22ceb9d6f12fee758da8f9db76c0f196524e6a76e72426354191bdc402ad,2ccbc04bbb68528bd11a4bd69b8f33e62bf686646ba5c4d7a2b81a5b657dfd6e,d32768d796cfecf75367b48d4f4edb4683bb8769ae342fb64a7b9f8cad08054e,cbad59220cb48e37fa553393e86462caa7227ffb76ef2cd354d1255ecae5122e
"2030/12/31 15:00:00","1002","2030/12/31 15:00:00","","bgm_M199","bgm_M199_juke","2020-06-22 16:00:00","來動手製作\n充滿愛意的巧克力蛋糕吧！\n超可愛的點擊遊戲！","哥哥爭奪戰！\n誰的巧克力更好吃SHOW","10000","1001"
"2030/12/31 15:00:00","1003","2030/12/31 15:00:00","","bgm_M227","bgm_M227_juke","2020-06-22 16:00:00","大旋轉！空花！\n最棒的絕頂體驗就在這裡！\n一起往上飛翔，空中的旅行！","空花大旋轉\n飛行絕頂體驗","10000","1002"
"2030/12/31 15:00:00","1004","2030/12/31 15:00:00","","bgm_M249","bgm_M249_juke","2020-06-22 16:00:00","這就是琉球魂！\n打倒蜂擁而上的奄美魔物\n令人爽快的動作遊戲！","香織的靈魂式空手道場","10000","1003"
"2030/12/31 15:00:00","1005","2030/12/31 15:00:00","","bgm_M277","bgm_M277_juke","2020-06-22 16:00:00","戰鬥白熱化！\n龍族巢穴流的\n單挑動動腦接龍！","大激戰！龍人們的接龍競賽","10000","1004"
"2030/12/31 15:00:00","1006","2030/12/31 15:00:00","","bgm_M355_Lofi","bgm_M355_Lofi_juke","2020-09-01 16:00:00","你有辦法保護好起司嗎！？\n考驗瞬發力的\n訓練反射神經休閒小遊戲！","啾啾大恐慌！\n保衛起司大作戰！","10000","1005"
"2030/12/31 15:00:00","1007","2030/12/31 15:00:00","","bgm_M399","bgm_M399","2021-01-06 16:00:00","目標成為全壘打強打！\n掌握關鍵時機擊球的\n運動類型動作小遊戲！","猛訓打擊道！\n美里的全壘打訓練場","10000","1006"
"2030/12/31 15:00:00","1008","2030/12/31 15:00:00","","bgm_M500","bgm_M500","2022-01-03 16:00:00","慈樂之音粉絲大興奮！\n獲得演唱會加油周邊，\n成為「慈樂之音神推」為目標！","慈樂之音的夏日演唱會\n演唱會會場 周邊區 ","10000","1007"
"2030/12/31 15:00:00","1009","2030/12/31 15:00:00","","bgm_M540","bgm_M540","2022-04-25 16:00:00","Let's cooking！\n和宮子一起製作蒐集布丁，\n精通布丁之道吧！","宮子廚房　通往究極之路","10000","1008"
"2022/08/01 21:00:00","1010","2022/08/21 23:59:59","蘭德索爾猜謎連結！","bgm_M569","bgm_M569","2022-08-01 21:00:00","5人小隊合力挑戰各式各\n樣類型的謎題！\n以當上猜謎公主為目標吧！","Happy Anniv.特別版　\n蘭德索爾猜謎連結！","0","1009"
"2030/12/31 15:00:00","1011","2030/12/31 15:00:00","","bgm_M605","bgm_M605","2022-11-25 16:00:00","於沙灘上奔馳的公主！\n挑戰亂七八糟的路線的\n南島沙灘搶旗！","飛奔吧常夏！\n極限沙灘搶旗","10000","1010"
"2030/12/31 15:00:00","1012","2030/12/31 15:00:00","放學後的猜謎讀書會　{0}","bgm_MC068","bgm_MC068","2024-01-17 16:00:00","目標是全部答對！\n與凱留和鈴奈在放學後的教室中\n進行兩人獨處的猜謎讀書會！","凱留與鈴奈的\n放學後的猜謎讀書會","10000","1012"
"2030/12/31 15:00:00","1013","2030/12/31 15:00:00","行軍A-Go-Go！","bgm_MC141","bgm_MC141","2024-08-15 16:00:00","前往突破魔物橫行的街道！\n率領【王宮騎士團】\n的士兵們，挑戰訓練吧！","惠理子和真琴的\n行軍A-Go-Go！","10000","1013"
"2030/12/31 15:00:00","1014","2030/12/31 15:00:00","衝突！破壞！\n非法坦克大戰","bgm_MC199","bgm_MC199_Battle","2025-03-15 16:00:00","戰車戰鬥大會，開幕！\n用組裝起來的原創戰車，\n爭取冠軍吧！","衝突！破壞！\n非法坦克大戰","10000","1014"
