73aee4bea5f63e4745bcc6f623e515dbabc427266250e77332bdeb9a61b2f586,1cf4b508ebc52ba6511cbdf9f8c307f21f668cf6d48e885b6d83631899fd360b,f24c0900fb89fe5efed4ec742c30f27ef914659ad3308deb54c3c53294c94201,01a1a6f01c9b8ced8df5c5d9c1bd4d7fb6d809674ed51f8d5a741d7454530c81,4613a8eafd5b79cb49387a81f710db752e8f622cfbb82e7abc7135020bfdeb72,5c1ee0f0c000a31f6e46a40f32c7983ae71872129314caa2a3b432fd45e02922,2c35178dadd06802d6042cbea365c6c547445cf545863674ab77b2b978688956,b9a29537be14db7c5b35c6c17e04a258d781805481782b59a2435e9c55bb6432,c4b4d77803965a40954bf73d8b59e7f02fb8656accc33a8ac115219182ed16e7
"0","0","21","0","1101001","1101002","0","600","0"
"600","0","22","0","1101002","1101003","0","2400","0"
"-1500","0","20","0","1101003","1","0","1","50"
"0","0","21","0","1101011","1101012","0","900","0"
"700","0","22","0","1101012","1101013","0","2100","0"
"-1500","0","20","0","1101013","1","0","1","200"
"0","0","21","0","1101021","1101022","0","400","0"
"500","0","22","0","1101022","1101023","0","2000","0"
"-1500","0","20","0","1101023","1","0","1","350"
"0","0","21","0","1101031","1101032","0","1000","0"
"900","0","22","0","1101032","1101033","0","1800","0"
"-1500","0","20","0","1101033","1","0","1","500"
"0","0","21","0","1101041","1101042","0","500","0"
"800","0","22","0","1101042","1101043","0","1600","0"
"-1500","0","20","0","1101043","1","0","1","750"
"2","0","1","0","1101101","25","2","1","2"
"-2000","0","20","0","1102001","1","0","1","-100"
"2","0","1","0","1102101","20","2","1","10"
"0","0","10","0","1102102","200000","2","2","0"
"0","0","21","0","1103001","1103002","0","500","0"
"0","0","3","0","1103002","1000","2","0","0"
"3000","0","2","0","1202001","-15","2","3","0"
"30000","0","2","0","1204001","15","1","3","0"
"30000","0","2","0","1205001","10","1","3","0"
"30000","0","2","0","1206001","10","1","3","0"
"30000","0","2","0","1207001","10","1","3","0"
"3000","0","2","0","1208001","15","1","2","0"
"3000","0","2","0","1209001","25","1","1","0"
"3000","0","2","0","1210001","10","1","2","0"
"0","0","21","0","1210002","1210003","0","3000","0"
"30000","0","2","0","1210003","15","1","1","0"
"3000","0","2","0","1211001","-10","1","2","0"
"0","0","21","0","1211002","1211003","0","3000","0"
"30000","0","2","0","1211003","-15","2","1","0"
"30000","0","2","0","1213001","-10","2","1","0"
"30000","0","2","0","1213002","-10","2","2","0"
"1500","0","2","0","1214001","-25","2","3","0"
"3000","0","2","0","1216001","-20","2","3","0"
"30000","0","2","0","1218001","20","1","3","0"
"30000","0","2","0","1219001","15","1","3","0"
"30000","0","2","0","1220001","15","1","3","0"
"30000","0","2","0","1221001","15","1","3","0"
"3000","0","2","0","1222001","20","1","2","0"
"3000","0","2","0","1223001","30","1","1","0"
"3000","0","2","0","1224001","15","1","2","0"
"0","0","21","0","1224002","1224003","0","3000","0"
"30000","0","2","0","1224003","20","1","1","0"
"3000","0","2","0","1225001","-10","1","2","0"
"0","0","21","0","1225002","1225003","0","3000","0"
"30000","0","2","0","1225003","-20","2","1","0"
"30000","0","2","0","1227001","-15","2","1","0"
"30000","0","2","0","1227002","-15","2","2","0"
"1500","0","2","0","1228001","-35","2","3","0"
"30000","0","2","0","1229001","20","1","3","0"
"3000","0","2","0","1230001","20","1","2","0"
"0","0","21","0","1230002","1230003","0","3000","0"
"30000","0","2","0","1230003","50","1","1","0"
"3000","0","2","0","1232001","-25","2","3","0"
"30000","0","2","0","1234001","25","1","3","0"
"30000","0","2","0","1235001","20","1","3","0"
"30000","0","2","0","1236001","20","1","3","0"
"30000","0","2","0","1237001","20","1","3","0"
"3000","0","2","0","1238001","25","1","2","0"
"3000","0","2","0","1239001","35","1","1","0"
"3000","0","2","0","1240001","20","1","2","0"
"0","0","21","0","1240002","1240003","0","3000","0"
"30000","0","2","0","1240003","25","1","1","0"
"3000","0","2","0","1241001","-10","1","2","0"
"0","0","21","0","1241002","1241003","0","3000","0"
"30000","0","2","0","1241003","-25","2","1","0"
"30000","0","2","0","1242001","-20","2","1","0"
"30000","0","2","0","1242002","-20","2","2","0"
"1500","0","2","0","1244001","-75","2","3","0"
"30000","0","2","0","1246001","20","1","3","0"
"30000","0","2","0","1247001","30","1","3","0"
"0","0","21","0","1247002","1247003","0","3000","0"
"3000","0","2","0","1247003","25","1","1","0"
"3000","0","2","0","1248001","75","1","1","0"
"1500","0","2","0","1249001","-90","2","3","0"
"30000","0","2","0","2101001","10","1","2","0"
"30000","0","2","0","2102001","10","1","2","0"
"3000","0","2","0","2103001","-15","2","2","0"
"3000","0","2","0","2103002","-15","2","3","0"
"3000","0","2","0","2105001","-25","2","3","0"
"30000","0","2","0","2107001","25","1","3","0"
"30000","0","2","0","2108001","10","1","3","0"
"30000","0","2","0","2109001","10","1","3","0"
"30000","0","2","0","2110001","10","1","3","0"
"3000","0","2","0","2111001","15","1","2","0"
"3000","0","2","0","2112001","25","1","1","0"
"3000","0","2","0","2113001","10","1","2","0"
"0","0","21","0","2113002","2113003","0","3000","0"
"30000","0","2","0","2113003","25","1","1","0"
"3000","0","2","0","2114001","-10","1","2","0"
"0","0","21","0","2114002","2114003","1","3000","0"
"30000","0","2","0","2114003","-25","2","1","0"
"30000","0","2","0","2116001","-10","2","1","0"
"30000","0","2","0","2116002","-10","2","2","0"
"1500","0","2","0","2117001","-50","2","3","0"
"0","0","21","0","3301001","3301002","0","300","0"
"30","0","20","0","3301002","1","0","2","20"
"1","0","1","0","3301101","0","2","1","100"
"1","0","1","0","3302001","0","2","1","40"
"1","0","1","0","3302002","0","2","1","60"
"1","0","1","0","3303001","0","2","1","12"
"1","0","1","0","3303002","0","2","1","28"
"1","0","1","0","3304001","0","2","1","40"
"1","0","1","0","3304002","0","2","1","100"
"0","0","21","0","3305001","3305011","0","200","0"
"0","0","21","0","3305002","3305012","0","200","0"
"0","0","21","0","3305003","3305013","0","200","0"
"0","0","21","0","3305004","3305014","0","200","0"
"0","0","21","0","3305005","3305015","0","200","0"
"0","0","21","0","3305006","3305016","0","200","0"
"26","30","20","0","3305011","1","0","2","15"
"29","15","20","0","3305012","1","0","2","8"
"30","0","20","0","3305013","1","0","2","0"
"29","-15","20","0","3305014","1","0","2","-8"
"26","-30","20","0","3305015","1","0","2","-15"
"180","0","10","0","3305016","30000","1","1","0"
"1","0","1","0","3305101","0","2","1","20"
"274","0","20","0","3402001","1","0","2","29"
"0","0","11","0","3402101","500000","3","2000","0"
"0","0","21","0","3403001","3403002","0","200","0"
"0","0","10","0","3403002","200000","1","1","0"
"0","0","4","0","4001001","0","3","0","0"
"0","0","1","0","4001002","99999","3","0","0"
"9","9","1","9","4002001","99999","3","9","9"
