5382fa3003a5f691bd567cf3d463d88af09a1ec323cfe916c3718ead7a3ae3cf,152c12ea97729bbd575c7cbb4d8571a10e93689445ea12ffeae1bfafca93c144,fce14034fe930d5f196d8c98dfe17c57b214398ee0892254c6ba6b7fc7ac2d32,f073a60ee0d1edb5e31ddaf6ed51833dab892b1bac3c2d970074693dfd1963ee,4e95279bc706b986afd5db701321690668ff4f89da32fab161ec68084e8e1442
"12","火屬性獎勵特大幅度提升","92407010","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","1"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92407010","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","2"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407010","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","3"
"17","賦予TP上升的上限","92407010","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","4"
"9","降低HP吸收","92407010","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","5"
"12","火屬性獎勵特大幅度提升","92407020","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","6"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92407020","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","7"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407020","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","8"
"17","賦予TP上升的上限","92407020","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","9"
"9","降低HP吸收","92407020","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","10"
"12","火屬性獎勵特大幅度提升","92407030","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","11"
"boss_def_lower_limit","提升物理防禦力（不可降低）","92407030","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","12"
"boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407030","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","13"
"17","賦予TP上升的上限","92407030","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","14"
"9","降低HP吸收","92407030","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","15"
"12","火屬性獎勵特大幅度提升","92407110","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","16"
