b6cbc8be65f10090011fbc1ec9aabc4a8211a732ec9a0900d4b7ad1630b34a97,845c10d433750161809fed121917b596d677fdca925f57c2f83d1ee129dab9db,a8158f5b5dd4b1168499a0b33f036eecbbd15099d0009e2ce64adf06265c19a7,4d0745e45cd60f8e48a41d84bb341cc0941137163694f6902ecfebc84aec96ad,0cdfe242bf0a4d39ec8d4fbc0d259da7b4121c5bb6d970b8bfce6688efd35fe5,28c957c3f72cb1cc89085a72cf12ac14f7b328adc91f641f0d4e32ebf00a6a26
"5035004","0","5035005","0","0","10036"
"5058004","0","5058005","0","0","10059"
"0","10062","0","10062115","1006201","10063"
"0","10084","0","10084115","1008401","10085"
"0","10086","0","10086115","1008601","10087"
"0","10110","0","10110115","1011001","10111"
"0","10112","0","10112115","1011201","10113"
"0","10136","0","10136110","1013601","10137"
"0","10138","0","10138115","1013801","10139"
"0","20033","0","20033115","2003301","20034"
"0","20046","0","20046115","2004601","20047"
