347af64ae30d167c40ed02b921acad2da5e4b25ff2bc826de48cdee4e2e97031,4ad424aa1a33c6f526598f764a35e7061e501ab4101e8ffd7bed13cec260ac52,6c5e52033d7798c8b8b4ec5a3c845a2b41fc76401eceb05d41f6e5778140796c,ee1fa22b731131fd0c670df2673fe5a458a2f22f4b645439265572fcb2aaaeb9,43ce65afe113816819d0666a5182f6face1b00f94faed00ef24686d3ff2d4afc,23c5bf5824a9107212a56cc95a5499a8e68186d03310a46d8176aa8441effe64,57638f13d9715f853e1d07a30a9c5202db1a88f7fc80ee1e597e258ed406813f,7ada86faddc1327611c972cb00f387b996df3cd135327d1ddbe02aee9ca73e39,06646b3f6f72ba134fb954e48c269bd21695c5fc8d6dca3d38c78a093898e082,036f694c41bcd7123859a319d43271a2dd78a3c18a85acc129edce18ad344638,f404b4f6604a4b2179b631be4b03220f75ac3fe5633531040dd8e1038638cab1,6ad7ea57cc6e5aca3f7a36fd3ddf738cc64bced9df95cf568d2ca6c288b6426f,59ee4c8fcff60642578a50ac47ec455f55bca9f1116dad482d0a02bcec1a1330,46905722e2c1884797189934bfc7e16f26082a7174dbfca912dee7501ce1769e
"102601","2020/08/01 16:00:00","鈴","0","24001","2030/12/17 14:59:59","1","1","24","0","就算是我\n該做的時候還是會做的！","10040","0","0"
"102601","2020/08/01 16:00:00","鈴","0","24002","2030/12/17 14:59:59","1","1","24","1","呼…\n這樣子我的工作\n就結束了呢","10040","0","0"
"102601","2020/08/01 16:00:00","鈴","0","24003","2030/12/17 14:59:59","1","1","24","2","結束了結束了\n即使一個人\n也會有辦法的","10040","0","0"
"102601","2020/08/01 16:00:00","鈴","0","24004","2030/12/17 14:59:59","2","2","24","3","太棒了！\n這麼一來\n我終於可以偷懶了…","10040","0","0"
"102601","2020/08/01 16:00:00","鈴","0","24005","2030/12/17 14:59:59","1","1","24","4","想要吃起司的話\n就好好工作\n自己買來吃啦","10040","0","0"
"102601","2020/08/01 16:00:00","鈴","0","24006","2030/12/17 14:59:59","2","2","24","5","你們終於知道\n與我為敵的\n恐怖了吧！","10040","0","0"
"102601","2020/08/01 16:00:00","鈴","0","24007","2030/12/17 14:59:59","2","2","24","6","我意外地\n還蠻行的嘛？","10040","0","0"
"102601","2020/08/01 16:00:00","鈴","0","24008","2030/12/17 14:59:59","4","4","24","7","好累喔…\n老鼠逃跑的速度\n實在太快了啦…","10040","0","0"
"102601","2020/08/01 16:00:00","鈴","0","24009","2030/12/17 14:59:59","4","4","24","8","再這樣下去\n會被\n真陽罵的","10040","0","0"
"102601","2020/08/01 16:00:00","鈴","0","24010","2030/12/17 14:59:59","4","4","24","9","我明明\n就很認真做啊…\n真不甘心～","10040","0","0"
"102601","2020/08/01 16:00:00","鈴","0","24011","2030/12/17 14:59:59","4","4","24","10","被擺了一道…\n老鼠還真是意外的\n難纏啊","10040","0","0"
"102601","2020/08/01 16:00:00","鈴","0","24012","2030/12/17 14:59:59","4","4","24","11","你這傢伙～\n竟然敢偷\n我的起司～！","10040","0","0"
"102601","2020/08/01 16:00:00","鈴","0","24013","2030/12/17 14:59:59","4","1","24","12","好累喔…\n不過，下次\n我一定會守住的…","10040","1.81","0"
