69f6ef05d50ef5959200865b26c26aebc0b4434478ee87eb245cc654f5ea14db,c8a1176fff06f349ee7043e5d80be06110a1c1bc8af98871dd18a339378d0a32,b1065f389ca102d68427a69f98055593944f05690a0ff9f53e570c7958a2bae2,38b8aa476787ea1ae8f2ad1b8db68a900a23ea78a3b249546df74a4b467e682e,1cf865d6c84ad5acc8e124bd24691123ae7a4dd0418b7771965a372de7177b46,ffaf66ae05d3779728c7e7c859cc77adf800a4d04abae46dad142aad282dc3e1,749c90055853385128d1a79bcb92de8b341bbf78838e4162d39ad9da7e4180e2,78d5d190b5097a93fcb1c6738b3fe522914e68d3fcd4528c0c518b7095714197,0377e70bed4fb288bbb3f4fb23ddc2c6c5d791db0aae401a8024854558c32ad7,e00a9cb4c687b75900a007ace408dd5312595d1f6e1248e6dc0090a2e459bba6,b3984f484e38459148e3175038c14a9de1d92ea77c93babe2a334b454d27fdd1,5905459616a33f6258fb7491c094d0e77a82ab41802a4a7c8834a026649e9e16,36ec1337ad1b943c6ff40c1ea5511c95b582b9b28d8c4c69f9a2324ed5277add,1ba22bb1265ab4ca8aed9d589997752fcc02a24afdc921fa3f77c84814dd382f,15c0f3542d25d4342a4a491cfb107a7bd4b33870cf6b2247e609c28544d7dda5,a03a46772c9ff2c7e358c578f40c791e3d935c86efd03963402adc866f3d22da,99f39778c28117a67647da1d1fecd38c81fe20fd3347f753d24b2fe5ac04c336,3767304149d0521ded3c800dbb0c57300412b2771bd87feee6585e1bb4b35b1d,b07d9969ea4779d9d933515b910f12f6901ab093c629b642fed188cf0cedac51
"5000","2","0","0","0","0","0","幫忙靜流時獲得 10000pt","0","0","12","0","0","0","10000","0","1","94002","0"
"10000","2","0","0","0","0","0","幫忙靜流時獲得 20000pt","0","0","12","0","0","0","20000","0","2","94002","0"
"50","2","0","23001","5","0","0","幫忙靜流時獲得 30000pt","0","2","8","0","0","0","30000","0","3","91002","0"
"5000","1","0","0","0","0","0","幫忙惠理子時獲得 10000pt","0","0","12","0","0","0","10000","0","4","94002","0"
"10000","1","0","0","0","0","0","幫忙惠理子時獲得 20000pt","0","0","12","0","0","0","20000","0","5","94002","0"
"50","1","0","23001","5","0","0","幫忙惠理子時獲得 30000pt","0","2","8","0","0","0","30000","0","6","91002","0"
"15000","0","0","0","0","0","0","幫忙兩人合計獲得 70000pt","0","0","12","0","0","0","70000","0","7","94002","0"
"20000","0","0","0","0","0","0","幫忙兩人合計獲得 80000pt","0","0","12","0","0","0","80000","0","8","94002","0"
"25000","0","0","0","0","0","0","幫忙兩人合計獲得 90000pt","0","0","12","0","0","0","90000","0","9","94002","0"
"30000","0","0","0","0","0","0","幫忙兩人合計獲得 100000pt","0","0","12","0","0","0","100000","0","10","94002","0"
"35000","0","0","0","0","0","0","幫忙兩人合計獲得 110000pt","0","0","12","0","0","0","110000","0","11","94002","0"
"40000","0","0","0","0","0","0","幫忙兩人合計獲得 120000pt","0","0","12","0","0","0","120000","0","12","94002","0"
"45000","0","0","0","0","0","0","幫忙兩人合計獲得 130000pt","0","0","12","0","0","0","130000","0","13","94002","0"
"50000","0","0","0","0","0","0","幫忙兩人合計獲得 150000pt","0","0","12","0","0","0","150000","0","14","94002","0"
"1","0","10","91002","150","2","0","幫忙兩人合計獲得 200000pt","0","8","7","0","0","0","200000","23001","15","1113","0"
