21848eef6000e6a04e3bfd2465b5db6e7c796f0d46888519c8b4ad187c89d246,c97ef304ab9841e8258a91f6aac38388cbd6fe876116ed14401171db3433b292,b48c457a3401aa5765116e8496e3ae8902542bbb07b3cdb65ba2743384af27e6,c6f970b22aa8fb7b60e31673a4bc109e7f7dd9cb949dcf423da3ceb1809e3332,ba69e00bc2517d5e014e01634a9e76f1e94942cd72300fb108163a5a855bcf91
"10001001","10001","22","53001","1"
"10001002","10001","22","53004","1"
"10001003","10001","22","53007","1"
"10001004","10001","22","53010","1"
"10001005","10001","22","53013","1"
"10001006","10001","22","53016","1"
"10001007","10001","22","53019","1"
"10001008","10001","22","53022","1"
"10001009","10001","22","53002","1"
"10001010","10001","22","53005","1"
"10001011","10001","22","53008","1"
"10001012","10001","22","53011","1"
"10001013","10001","22","53014","1"
"10001014","10001","22","53017","1"
"10001015","10001","22","53020","1"
"10001016","10001","22","53023","1"
"10002001","10002","22","53001","1"
"10002002","10002","22","53002","1"
"10002003","10002","22","53005","1"
"10002004","10002","22","53008","1"
"10002005","10002","22","53011","1"
"10002006","10002","22","53014","1"
"10002007","10002","22","53017","1"
"10002008","10002","22","53020","1"
"10002009","10002","22","53023","1"
"10002010","10002","22","53003","1"
"10002011","10002","22","53006","1"
"10002012","10002","22","53009","1"
"10002013","10002","22","53012","1"
"10002014","10002","22","53015","1"
"10002015","10002","22","53018","1"
"10002016","10002","22","53021","1"
"10002017","10002","22","53024","1"
"10003001","10003","22","53002","1"
"10003002","10003","22","53002","2"
"10003003","10003","22","53003","1"
"10003004","10003","22","53003","2"
"10003005","10003","22","53003","3"
"10003006","10003","22","53006","1"
"10003007","10003","22","53009","1"
"10003008","10003","22","53012","1"
"10003009","10003","22","53015","1"
"10003010","10003","22","53018","1"
"10003011","10003","22","53021","1"
"10003012","10003","22","53024","1"
"10003013","10003","22","53006","2"
"10003014","10003","22","53009","2"
"10003015","10003","22","53012","2"
"10003016","10003","22","53015","2"
"10003017","10003","22","53018","2"
"10003018","10003","22","53021","2"
"10003019","10003","22","53024","2"
"10003020","10003","22","53006","3"
"10003021","10003","22","53009","3"
"10003022","10003","22","53012","3"
"10003023","10003","22","53015","3"
"10003024","10003","22","53018","3"
"10003025","10003","22","53021","3"
"10003026","10003","22","53024","3"
