41a7c7afb1bbb613731c918ecae0e5d9346bebd388d6d0a651cc817841188dc0,8811274705195cc75fcd32e86292e3851c96af17036e931f5884dba714b44580,62fe616e7110bb805a207b20b6005c112850978a478a98eaf1d06ce1f6281aaf,aaf682d1fc3526db89a22a5cd817527032571f27a49394835f2087b6f8cc32aa,04598f37d87430f6c2090bb52031fe436fa236fd27650c2316628040339f0af6,be876ed375430bc2cdd65c0e99b8c6fb169bb8caaabb518b79867694389889ca,770be2cded8a46dc6615054b5732edf3f67320db3d7ffdda55731cdce93f5ea5,4ee62c4debc0f69d513cb84d72b420fff80927cc29e67ec1d590c5e138f9e196,92319ba79f7e3bbf60f7ce92858d90ba15fda0133eb6301faf11433c7588f28a,99dbf6b022c54e92eea6430eca4da210a6a71cf481933d99039d94579389413e,115368d4b58ba10b10dba5700d782e8b6ae36e122a43f0d3527a4d918bfc0fe7,22901bffdae82c81d53d943a60336a04c909d04bfebf549c3f900f46e9ab3ca3
"31000101","2023/04/17 16:00:00","10","進行1場戰鬥","1","0","1000","3","2023/04/24 15:59:59","0","7003","31000101"
"31000102","2023/04/17 16:00:00","10","進行5場戰鬥","5","0","1000","3","2023/04/24 15:59:59","0","7003","31000102"
"31000103","2023/04/17 16:00:00","10","進行10場戰鬥","10","0","1000","3","2023/04/24 15:59:59","0","7003","31000103"
"31000104","2023/04/17 16:00:00","10","進行15場戰鬥","15","0","1000","3","2023/04/24 15:59:59","0","7003","31000104"
"31000105","2023/04/17 16:00:00","10","進行20場戰鬥","20","0","1000","3","2023/04/24 15:59:59","0","7003","31000105"
"31000106","2023/04/17 16:00:00","10","進行25場戰鬥","25","0","1000","3","2023/04/24 15:59:59","0","7003","31000106"
"31000107","2023/04/17 16:00:00","10","進行30場戰鬥","30","0","1000","3","2023/04/24 15:59:59","0","7003","31000107"
"31000108","2023/04/17 16:00:00","10","進行35場戰鬥","35","0","1000","3","2023/04/24 15:59:59","0","7003","31000108"
"31000109","2023/04/17 16:00:00","10","進行40場戰鬥","40","0","1000","3","2023/04/24 15:59:59","0","7003","31000109"
"31001101","2023/04/17 16:00:00","10","對黑之王賈巴沃克造成500萬累積傷害","5000000","0","1001","3","2023/04/24 15:59:59","3001","7004","31001101"
"31001102","2023/04/17 16:00:00","10","對黑之王賈巴沃克造成750萬累積傷害","7500000","0","1001","3","2023/04/24 15:59:59","3001","7004","31001102"
"31001103","2023/04/17 16:00:00","10","對黑之王賈巴沃克造成1000萬累積傷害","10000000","0","1001","3","2023/04/24 15:59:59","3001","7004","31001103"
"31001111","2023/04/17 16:00:00","11","在1場戰鬥中對黑之王賈巴沃克造成250萬傷害","1","2500000","1001","3","2023/04/24 15:59:59","3001","7005","31001111"
"31001112","2023/04/17 16:00:00","11","在1場戰鬥中對黑之王賈巴沃克造成500萬傷害","1","5000000","1001","3","2023/04/24 15:59:59","3001","7005","31001112"
"31001201","2023/04/17 16:00:00","20","對失控的純潔之弓造成500萬累積傷害","5000000","0","1001","3","2023/04/24 15:59:59","3002","7004","31001201"
"31001202","2023/04/17 16:00:00","20","對失控的純潔之弓造成750萬累積傷害","7500000","0","1001","3","2023/04/24 15:59:59","3002","7004","31001202"
"31001203","2023/04/17 16:00:00","20","對失控的純潔之弓造成1000萬累積傷害","10000000","0","1001","3","2023/04/24 15:59:59","3002","7004","31001203"
"31001211","2023/04/17 16:00:00","21","在1場戰鬥中對失控的純潔之弓造成250萬傷害","1","2500000","1001","3","2023/04/24 15:59:59","3002","7005","31001211"
"31001212","2023/04/17 16:00:00","21","在1場戰鬥中對失控的純潔之弓造成500萬傷害","1","5000000","1001","3","2023/04/24 15:59:59","3002","7005","31001212"
"31001301","2023/04/17 16:00:00","30","對幻影男爵造成500萬累積傷害","5000000","0","1001","3","2023/04/24 15:59:59","3003","7004","31001301"
