f9a0b2c90a078e7ace0fb16b13657460cf84ebd8f0bc37476862942995e2b761,e29e6edc20ae1e9d2ff3dd562ccb1b05f83210344586551f4c008ce515d8e208,882856dd926bcf61952304157164a0eb3d95578388843762e69954dc2ed66913,b2402ee1b7bdd133f2af1721ff66d5d147f0ea5aaa10fa40b0d8f9d6580f79d2
"1","1","52007","11511"
"2","2","52007","11512"
"1","1","52009","100901"
"2","2","52009","100902"
"1","1","52011","11521"
"2","2","52011","11522"
"1","1","52023","11512"
"2","2","52023","11511"
"1","1","52036","11531"
"2","2","52036","11532"
"3","3","52036","11532"
"1","1","52041","11522"
"2","2","52041","11521"
