1cfa9efae373459a3bc6dcb5156578fa4b05e9aa334c25883f20c1aa3812a438,ecc709cfaf6facf613d717e071639095786f554d8c1d33f8732d7d150fa299da,a264206ae608d88f367e299b69875f467197d3d8c8a8ca46af51f9997ef34bd8,8d7d4af8196d7de8173772f1ccc77c27240f054765c5e5fa9d2891aa25dc170f
"11100","9040001","0","1"
"107101","9050001","5","2"
"108101","9050001","5","3"
"108301","9050001","5","4"
"11100","9040002","0","5"
"11100","9040003","0","6"
"91001","9010001","0","7"
"91001","9020001","0","8"
"91002","9020001","0","9"
"11101","9040004","0","10"
"11102","9040005","0","11"
