b571c911e02bc12cdf91648cbda7245a64dad6706d38c6b91e6e58609932fc0d,7a1e7f9b66e3f77461bab4363d09e8b091e371a7e6fe0184f653abf88ca9092f,ce9bcffb87cae0e6c68f356332d0f316db3badd8c5b7e87b23007361eac2b55e,38790f0e857b3cdd4f9aa1ec7f322e9aa540e30ab935a503573a77ded5678160,cf0f568e1db61459d3787e598e78dac2923a87ce52085e30fb8001a683cbe585,b065ee3f2009681d4bd18c2a163e689f38c5a2255c4d10e541dba83ce3c5b080,c02eedb9f7a58639b52e5eac1fd2c4a4ec40b1b3a872130401d62b2ceb4f034b,7d7aeb5cacdb561a3f5d4b54e701103862dc72279d173803869ee65f8aa0214d,3855077afc774055194f02520b847df3f23317521f6052cae13387981f345e02,5e20fdbd2fe10fff6acd05d2c3b55b503344bb194c01ee85002937ead23891d7,75daa88f73b4cf7f444b484909715f327c0a4a21a7cbe9af1f6eafe29517b052,36785413d84c3232cff8fdb2a34603f916209314240858ffa528e3c34c54bfe6
"0","4","1","1","3","0","0","0","12","0","0","1120001"
"vo_nyx","2","0","2","0","0","0","0","12","vo_nyx_0101","0","1120002"
"0","1","0","3","0","1","0","2.698","12","0","278","1120003"
"0","4","3.334","4","1","0","0","0","12","0","0","1120004"
"vo_nyx","2","0","5","0","0","0","0","12","vo_nyx_0102","0","1120005"
"0","1","0","6","0","1","278","1.055","12","0","382","1120006"
"0","4","1.055","7","1","0","0","0","12","0","0","1120007"
"0","1","0","8","0","2","0","0.732","12","0","78","1120008"
"0","4","1.05","9","1","0","0","0","12","0","0","1120009"
"0","1","0","10","0","2","78","2.42","12","0","365","1120010"
"0","4","3.5","11","1","0","0","0","12","0","0","1120011"
"0","4","2","12","3","0","0","0","12","0","0","1120012"
"vo_nyx","2","0","13","0","0","0","0","12","vo_nyx_0103","0","1120013"
"0","1","0","14","0","3","0","0.815","12","0","79","1120014"
"0","4","1.157","15","1","0","0","0","12","0","0","1120015"
"0","1","0","16","0","3","79","2.763","12","0","372","1120016"
"0","4","2.763","17","1","0","0","0","12","0","0","1120017"
"0","1","0","18","0","4","0","2.388","12","0","250","1120018"
"0","4","3.338","19","1","0","0","0","12","0","0","1120019"
"vo_nyx","2","0","20","0","0","0","0","12","vo_nyx_0104","0","1120020"
"0","1","0","21","0","5","0","0.778","12","0","108","1120021"
"0","4","1.214","22","1","0","0","0","12","0","0","1120022"
"0","1","0","23","0","5","108","3.167","12","0","375","1120023"
"0","4","3.61","24","1","0","0","0","12","0","0","1120024"
"0","1","0","25","0","6","0","2.618","12","0","279","1120025"
"0","4","3.198","26","1","0","0","0","12","0","0","1120026"
