6181ac0b4bc0bec8ac0c5905efaf2035aaa8b02ba06e812b5fa03f61adef7220,371a54c6168f9851d8dccae0a51e1526d58cc65bb0d5f67d6e1f7e88c00012e0,2234c4f7c705dcf9a48e9f9009b944b2c3a62b9921d4605e9bf4c770c05f26b1,489c87ea03f0463f82bd626ec228157917d79f314742ae780152f23d0ae64167,4e9753957fe25717a43c113913376232376e49a3be847125f3d1af84d8b6582f,5d92a52592e993aeff95a7d19dec3287524ffb9ba9577afa53612643a582e6b7,5c87576805a10d31ca753c1d9ac7acddff9bc63d39ecbab27bb8d180fbd3395a,9e0dae4c8524748bc6364b1bae99c702e5f7e1ad88c9da7569ac071d6cc11a93,32429a4aeeac1438e8fc4c0fe0f55b02720483613e8213af5d0b1ea30966c2a2,534effb0d311efd75d08e7494323cd9e78655c12150abbe392d531141548c09c,1c186feca60cafed43781c332fb534d1f9d7042356724358983995a0429c8d46
"","bgm_M321_2C","","","","bgm_M321","4514","","25","","4514001"
"-1000","105811","-70","250","2","1","4514","0","1","wac_birthday_idle_normal","4514002"
"200","106011","-270","256","2","1","4514","1","1","wac_birthday_idle_doya","4514003"
"320","105911","-310","258","2","1","4514","1","1","wac_birthday_idle_wish","4514004"
"440","106431","-290","257","2","1","4514","1","1","wac_birthday_idle_smile","4514005"
"","300","","","","105811","4514","","13","","4514006"
"","300","","","","106011","4514","","13","","4514007"
"0","600","1","0","1","600","4514","","31","","4514008"
"0","602","1","0","0","602","4514","","31","","4514009"
"0","603","1","0","0","603","4514","","31","","4514010"
"60","604","1","30","1","604","4514","","31","","4514011"
"0","611","1","0","1","611","4514","","31","","4514012"
"0","700","1","0","0","700","4514","","31","","4514013"
"0","701","1","0","0","701","4514","","31","","4514014"
"0","702","1","0","0","702","4514","","31","","4514015"
"0","800","1","0","0","800","4514","","31","","4514016"
"60","900","1","30","1","900","4514","","31","","4514017"
"","","","","","1","4514","","93","","4514018"
"wac_birthday_reaction_03","wac_birthday_reaction_01","1","0","0.2","105911","4514","0.2","3","","4514019"
"","","","","","0.1","4514","","93","","4514020"
"wac_birthday_reaction_04","wac_birthday_reaction_05","1","0","0.2","106011","4514","0.2","3","","4514021"
"wac_birthday_reaction_03","wac_birthday_reaction_02","1","0","0.2","106431","4514","0.2","3","","4514022"
"","","","","","0.3","4514","","93","","4514023"
"","wac_birthday_run_01","","1","0.2","105811","4514","","3","","4514024"
"3","0","","-70","","105811","4514","","2","","4514025"
"","","","","","2.5","4514","","93","","4514026"
"","1","","","","602","4514","","32","","4514027"
"","","","","","0.6","4514","","93","","4514028"
"","0","","","","600","4514","","32","","4514029"
"","0","","","","611","4514","","32","","4514030"
"","0","","","","604","4514","","32","","4514031"
"","1","","","","701","4514","","32","","4514032"
"0.01","0","","0","","900","4514","","33","","4514033"
"wac_birthday_wish_02","wac_birthday_blowout_02","1","0","0.2","105811","4514","0.2","3","","4514034"
"0.01","-200","","-330","","105811","4514","","2","","4514035"
"","wac_birthday_idle_doya","","1","0.2","106011","4514","","3","","4514036"
"0.01","180","","-320","","106011","4514","","2","","4514037"
"","wac_birthday_idle_wish","","1","0.2","105911","4514","","3","","4514038"
"0.01","300","","-360","","105911","4514","","2","","4514039"
"","wac_birthday_idle_smile","","1","0.2","106431","4514","","3","","4514040"
"0.01","420","","-340","","106431","4514","","2","","4514041"
"","","","","","0","4514","","93","","4514042"
"","1","","","","800","4514","","32","","4514043"
"","","","","","0.7","4514","","93","","4514044"
"","1","","","","702","4514","","32","","4514045"
"","","","","","0.5","4514","","93","","4514046"
"","se_sys_login_birthday_blow_candle","","0","","se_common","4514","","23","","4514047"
"","0","","","","701","4514","","32","","4514048"
"","","","","","0.4","4514","","93","","4514049"
"","se_sys_login_birthday_cracker","","0","","se_common","4514","","23","","4514050"
"","1","","","","700","4514","","32","","4514051"
"","se_sys_login_birthday_calendar_applause","","0","","se_common","4514","","23","","4514052"
"wac_birthday_idle_doya","wac_birthday_clap","1","0","0.2","106011","4514","0.2","3","","4514053"
"","","","","","0.1","4514","","93","","4514054"
"wac_birthday_idle_wish","wac_birthday_clap_to_wish","1","0","0.2","105911","4514","0.2","3","","4514055"
"","","","","","0.1","4514","","93","","4514056"
"wac_birthday_idle_smile","wac_birthday_clap","1","0","0.2","106431","4514","0.2","3","","4514057"
"","","","","","2","4514","","93","","4514058"
"","","","","","1","4514","","131","","4514059"
"0","vo_wac_04514_000","","0","","vo_wac_04514","4514","","21","","4514060"
"1","這是生日蛋糕嗎！？\n謝謝你♪\n看起來好好吃……\n我馬上來大快朵頤囉♪","1","10","0","105811","4514","0","11","0.5","4514061"
"","","","","","0","4514","","91","","4514062"
"","wac_birthday_idle_kyapi","","1","0.2","105811","4514","","3","","4514063"
"","wac_birthday_talk_normal","","1","0.2","106011","4514","","3","","4514064"
"0","vo_wac_04514_001","","0","","vo_wac_04514","4514","","21","","4514065"
"1","慢著慢著，等一下────！！\n蠟燭都還沒拿下來耶！？\n妳這個人真的是一點也沒變啊……\n呵呵，生日快樂。","1","10","0","106011","4514","0","11","0.5","4514066"
"","","","","","0","4514","","91","","4514067"
"","wac_birthday_idle_doya","","1","0.2","106011","4514","","3","","4514068"
"","wac_birthday_talk_kyapi","","1","0.2","105811","4514","","3","","4514069"
"0","vo_wac_04514_002","","0","","vo_wac_04514","4514","","21","","4514070"
"1","嘻嘻，謝謝妳♪\n我會好好品嚐的！\n能夠得到大家的祝福，\n今天是最棒的紀念日♪","1","10","0","105811","4514","0","11","0.5","4514071"
"","","","","","0","4514","","91","","4514072"
"","wac_birthday_talk_wish","","1","0.2","105811","4514","","3","","4514073"
"0","vo_wac_04514_003","","0","","vo_wac_04514","4514","","21","","4514074"
"1","不論是今天、明天，還是遙遠的未來，\n都希望我們可以同桌享用豐盛的餐點♪\n當然，你也要一起喔！\n今後也請多多指教呢！","1","10","0","105811","4514","0","11","0.5","4514075"
"","","","","","0","4514","","91","","4514076"
"","","","","","0","4514","","22","","4514077"
"","bgm_M321_2C","","","","bgm_M321","4814","","25","","4814001"
"-1000","102011","-70","250","2","1","4814","0","1","wac_birthday_idle_normal","4814002"
"230","103611","-270","256","2","1","4814","1","1","wac_birthday_idle_doya","4814003"
"410","100411","-310","257","2","1","4814","1","1","wac_birthday_idle_kyapi","4814004"
"","300","","","","102011","4814","","13","","4814005"
"","300","","","","103611","4814","","13","","4814006"
"0","600","1","0","1","600","4814","","31","","4814007"
"0","602","1","0","0","602","4814","","31","","4814008"
"0","603","1","0","0","603","4814","","31","","4814009"
"60","604","1","30","1","604","4814","","31","","4814010"
"0","611","1","0","1","611","4814","","31","","4814011"
"0","700","1","0","0","700","4814","","31","","4814012"
"0","701","1","0","0","701","4814","","31","","4814013"
