198eb47a0af670f821603398b708ae65fe6c91ee252ca7f148cfba095107a6b2,eb3e98850618efb905726e15b1763bc53d3fd9478b315585652fccff85db86e5,dc98ba2556bc500c6c4bd49dbbc022f1c58e684631ad5e6b431cb4ce24eb3bf3,9e41604162245c9e4a67086756492fd97ecf93c7dd26aaae357513a76e54c436,a069ea4c5ba6167d5b1f15493a0d2054a82e903de0163d53e62b2cab8aacf4e3,46802bd8327df3a441446f5fcd3935ee39f2292b1cc1f21237f59847355f5e63,72e9f20f76ed8e7082d3f8d129da7f1f67985a627e502605acd71997ef353127,86a9047ce42109696c8ccc7d12bbc8b738af2e10618aae37ad4a79b8bfda7180
"760100011","90","2025/02/15 16:00:00","376010001","1","1","276010001","76010001"
"760100021","90","2025/02/15 16:00:00","376010002","1","2","276010002","76010002"
"760100031","90","2025/02/15 16:00:00","376010003","1","3","276010003","76010003"
"760100041","90","2025/02/15 16:00:00","376010004","1","4","276010004","76010004"
"760100051","90","2025/02/15 16:00:00","376010005","1","5","276010005","76010005"
"760100061","90","2026/02/15 16:00:00","376010006","1","6","276010006","76010006"
"760100071","90","2026/02/15 16:00:00","376010007","1","7","276010007","76010007"
"760100081","90","2026/02/15 16:00:00","376010008","1","8","276010008","76010008"
"760100091","90","2026/02/15 16:00:00","376010009","1","9","276010009","76010009"
"760100101","90","2026/02/15 16:00:00","376010010","1","10","276010010","76010010"
"760200011","90","2025/02/15 16:00:00","376020001","2","1","276020001","76020001"
"760200021","90","2025/02/15 16:00:00","376020002","2","2","276020002","76020002"
"760200031","90","2025/02/15 16:00:00","376020003","2","3","276020003","76020003"
"760200041","90","2025/02/15 16:00:00","376020004","2","4","276020004","76020004"
"760200051","90","2025/02/15 16:00:00","376020005","2","5","276020005","76020005"
"760200061","90","2026/02/15 16:00:00","376020006","2","6","276020006","76020006"
"760200071","90","2026/02/15 16:00:00","376020007","2","7","276020007","76020007"
"760200081","90","2026/02/15 16:00:00","376020008","2","8","276020008","76020008"
"760200091","90","2026/02/15 16:00:00","376020009","2","9","276020009","76020009"
"760200101","90","2026/02/15 16:00:00","376020010","2","10","276020010","76020010"
"760300011","90","2025/12/15 16:00:00","376030001","3","1","276030001","76030001"
"760300021","90","2025/12/15 16:00:00","376030002","3","2","276030002","76030002"
"760300031","90","2025/12/15 16:00:00","376030003","3","3","276030003","76030003"
"760300041","90","2025/12/15 16:00:00","376030004","3","4","276030004","76030004"
"760300051","90","2025/12/15 16:00:00","376030005","3","5","276030005","76030005"
"760400011","90","2026/06/16 16:00:00","376040001","4","1","276040001","76040001"
"760400021","90","2026/06/16 16:00:00","376040002","4","2","276040002","76040002"
"760400031","90","2026/06/16 16:00:00","376040003","4","3","276040003","76040003"
"760400041","90","2026/06/16 16:00:00","376040004","4","4","276040004","76040004"
"760400051","90","2026/06/16 16:00:00","376040005","4","5","276040005","76040005"
