723e73fdd34e24c364a83cf87b3a9272a0ed31310378c8b58d3627c4eba56853,edbaf19faf38dd54dc3de1de2ca2d06c0c2aedf9d79181c50bd2942438faaa5b,18e2f12f0864963c3beb27ce1c0db2c2a55de8769239f61428594c6b470f7700
"1","6101321","118001"
"2","6101322","105801"
"3","6101323","107501"
"4","6101324","111801"
"5","6101325","121001"
"6","6101326","180401"
"7","6101327","127901"
"8","6101341","106601"
"9","6101341","116501"
"10","6101341","121601"
"11","6101341","128301"
"12","6101341","180701"
"13","6101342","101401"
"14","6101342","101201"
"15","6101342","112201"
"16","6101342","115701"
"17","6101342","113401"
"18","6101342","128401"
"19","6101343","106601"
"20","6101343","116501"
"21","6101343","121601"
"22","6101343","128301"
"23","6101344","101401"
"24","6101344","101201"
"25","6101344","112201"
"26","6101344","115701"
"27","6101344","113401"
"28","6101344","128401"
"29","6101345","180701"
"30","6101361","100101"
"31","6101361","100301"
"32","6101361","108701"
"33","6101362","122401"
"34","6101362","180101"
"35","6101362","128701"
"36","6101361","108901"
"37","6101362","114001"
"38","6101362","122501"
"39","6101362","180301"
"40","6101362","128801"
"41","6101363","100201"
"42","6101363","108801"
"43","6101363","115601"
"44","6101363","122601"
"45","6101363","180201"
"46","6101363","128901"
"47","6101364","100101"
"48","6101364","100301"
"49","6101364","100201"
"50","6101364","108701"
"51","6101364","108901"
"52","6101364","108801"
"53","6101365","100101"
"54","6101365","108701"
"55","6101365","122401"
"56","6101365","180101"
"57","6101365","128701"
"58","6101366","100201"
"59","6101366","100301"
"60","6101366","108801"
"61","6101366","115601"
"62","6101366","122601"
"63","6101366","180201"
"64","6101366","128901"
"65","6101366","108901"
"66","6101366","114001"
"67","6101366","122501"
"68","6101366","180301"
"69","6101366","128801"
"70","6101367","108901"
"71","6101368","100201"
"72","6101368","108801"
"73","6101402","110801"
"74","6101401","110901"
"75","6101401","116301"
"76","6101402","110801"
"77","6101402","116201"
"78","6101403","111001"
"79","6101403","116401"
"80","6101403","129301"
"81","6101404","110901"
"82","6101405","116301"
"83","6101421","102701"
"84","6101421","104301"
"85","6101421","109001"
"86","6101421","117001"
"87","6101421","110401"
"88","6101421","115901"
"89","6101421","129801"
"90","6101422","102701"
"91","6101423","104301"
"92","6101424","109001"
