e766ae3569034e76f94eed3fda15220880acfb3d0662ad48f30f720fc4f7022b,483983acce33bf9838411d454a7514e9685bbf9619748330fcc1e07748352657,3857f8334ef4eb7609198cee67e31ec240736a6e04d357836e9ccd244db16ffb
"1","2","1"
"2","1","2"
"3","3","3"
"4","2","4"
"5","2","5"
"6","2","6"
"7","2","7"
"8","2","8"
"9","2","9"
"10","2","10"
"11","2","11"
"12","2","12"
"13","1","13"
"14","1","14"
"15","1","15"
"16","1","16"
"17","1","17"
"18","1","18"
"19","2","19"
"20","4","20"
"21","2","21"
"22","2","22"
"23","5","23"
"24","5","24"
"25","5","25"
"26","6","26"
"27","6","27"
"28","6","28"
"29","7","29"
"30","8","30"
"31","8","31"
"32","9","32"
"33","9","33"
"34","10","34"
"35","10","35"
"36","11","36"
"37","11","37"
"38","12","38"
"39","12","39"
