68bb4ea01d519120a547d058a6f52bca64c0ab6ef5988d6a883794d1411d94f1,92d8f5b5b0a072b81c2a075226b7b66fa535f32a2acaabb1e086ac9c6e174aca,48edbdac3d8d71038172e3fe61b5788e87ca172d9d57974c64379983657b4b13,da9929092ed6e7d3a77bf70867741052dcde9e353503f6b99a0b8a3b2309af8c
"2","20","20","1"
"3","30","30","1"
"3","50","80","2"
"3","80","160","3"
"4","60","60","1"
"4","100","160","2"
"4","180","340","3"
"4","360","700","4"
"4","500","1200","5"
"5","100","100","1"
"5","160","260","2"
"5","280","540","3"
"5","480","1020","4"
"5","780","1800","5"
"6","100","100","1"
"6","160","260","2"
"6","280","540","3"
"6","480","1020","4"
"6","780","1800","5"
"7","100","100","1"
"7","160","260","2"
"7","280","540","3"
"7","480","1020","4"
"7","780","1800","5"
"8","100","100","1"
"8","160","260","2"
"8","280","540","3"
"8","480","1020","4"
"8","780","1800","5"
"9","100","100","1"
"9","160","260","2"
"9","280","540","3"
"9","480","1020","4"
"9","780","1800","5"
"10","100","100","1"
"10","160","260","2"
"10","280","540","3"
"10","480","1020","4"
"10","780","1800","5"
