5f7199903857f28c5c141009e91d80c1778218b49f9a3f701e42d4e9a64477f5,a583640aeaa1de767197977fd8f11378374a097d65df7ad969a0ebf1e01fd24c,4a76e69654dd5a74eea6b8c7250c2523d0833f47a139f4aabb4894d6c302eee6,3b84161046ffdac8d09f4b1bf248066d087ad779abf5742f53f25436d5b7fef1,3355eacf5c9d6b456fc4e2fb895e8a28c1008293f90d65e5173ea0a91eb09b20,9818ebf3ede6194311e0e9e6633fe2d6ce34528a6b2c7bf0fb7cca06ebd01464
"118001","3001","1","2024/04/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1013206"
"118001","3002","2","2024/04/01 16:00:00","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","1013206"
"118001","3010","3","2024/04/01 16:00:00","戰鬥開始90秒內，大幅度提升TP上升。","1013206"
"105801","3001","4","2024/04/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1013206"
"105801","3004","5","2024/04/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","1013206"
"105801","3005","6","2024/04/01 16:00:00","戰鬥開始90秒內若HP歸零，\n將不會被擊倒並恢復HP（僅限1次）","1013206"
"107501","3001","7","2024/04/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1013206"
"107501","3002","8","2024/04/01 16:00:00","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","1013206"
"107501","3010","9","2024/04/01 16:00:00","戰鬥開始90秒內，大幅度提升TP上升。","1013206"
"111801","3001","10","2024/04/01 16:00:00","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","1013206"
"111801","3004","11","2024/04/01 16:00:00","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。","1013206"
"121001","3001","13","2024/04/01 16:00:00","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","1013206"
"121001","3004","14","2024/04/01 16:00:00","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。","1013206"
"180401","3001","16","2024/04/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1013206"
"180401","3004","17","2024/04/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","1013206"
"180401","3005","18","2024/04/01 16:00:00","戰鬥開始90秒內若HP歸零，\n將不會被擊倒並恢復HP（僅限1次）","1013206"
"127901","3003","19","2024/04/01 16:00:00","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","1013206"
"127901","3004","20","2024/04/01 16:00:00","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。","1013206"
"106601","3001","21","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1013406"
"106601","3012","22","2024/05/01 16:00:00","バトル開始後90秒間物理/魔法バリア\n展開","1013406"
"101401","3003","23","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013406"
"101401","3010","24","2024/05/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013406"
"101201","3003","25","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013406"
"101201","3010","26","2024/05/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013406"
"116501","3001","27","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013406"
"116501","3012","28","2024/05/01 16:00:00","バトル開始後90秒間物理/魔法バリア\n展開","1013406"
"121601","3001","29","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013406"
"121601","3012","30","2024/05/01 16:00:00","バトル開始後90秒間物理/魔法バリア\n展開","1013406"
"128301","3001","31","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013406"
"128301","3012","32","2024/05/01 16:00:00","バトル開始後90秒間物理/魔法バリア\n展開","1013406"
"112201","3003","33","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013406"
"112201","3010","34","2024/05/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013406"
"115701","3003","35","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013406"
"115701","3010","36","2024/05/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013406"
"113401","3003","37","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013406"
"113401","3010","38","2024/05/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013406"
"128401","3003","39","2024/05/05 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013406"
"128401","3010","40","2024/05/05 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013406"
"180701","3001","41","2024/05/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1013406"
"180701","3010","42","2024/05/01 16:00:00","戰鬥開始90秒內，大幅度提升TP上升。","1013406"
"100101","3001","43","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1013606"
"100101","3010","44","2024/06/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013606"
"100101","3013","45","2024/06/01 16:00:00","攻擊力吸收無效","1013606"
"100201","3003","46","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013606"
"100201","3004","47","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","1013606"
"100201","3010","48","2024/06/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013606"
"100201","3013","49","2024/06/01 16:00:00","攻擊力吸收無效","1013606"
"100301","3001","50","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1013606"
"100301","3004","51","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","1013606"
"100301","3013","52","2024/06/01 16:00:00","攻擊力吸收無效","1013606"
"108701","3001","53","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1013606"
"108701","3010","54","2024/06/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013606"
"108701","3013","55","2024/06/01 16:00:00","攻擊力吸收無效","1013606"
"180101","3001","56","2024/06/01 16:00:00","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","1013606"
"180101","3010","57","2024/06/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013606"
"122401","3001","58","2024/06/01 16:00:00","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","1013606"
"122401","3010","59","2024/06/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013606"
"128701","3001","60","2024/06/17 16:00:00","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","1013606"
"128701","3010","61","2024/06/17 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013606"
"108801","3003","62","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","1013606"
"108801","3004","63","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","1013606"
"108801","3010","64","2024/06/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013606"
"108801","3013","65","2024/06/01 16:00:00","攻擊力吸收無效","1013606"
"115601","3004","66","2024/06/01 16:00:00","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","1013606"
"115601","3010","67","2024/06/01 16:00:00","戰鬥開始90秒內，\n特大幅度提升TP上升。","1013606"
