3614d9e65b017a14701e280d097b5234e1ad42959f7552f1ca287120abf93d82,b807200180bc22175b4f0d72737c6e57e27c8060e0b7023bff26418318a34640,32d0acd9b1276d7f5f08d4af07be8f1bedde9b08bac1bcab6887c907b4c4c446,9c524a1430b37df2fa5a7264c6ff309df4f4aeadea69d27a96c32d4fe597db9b,5e62dff674562facc7cbbec4a4879c413cf2702ba467c106c77487baa0afbac6
"1","30","0","999","20"
"2","30","24","999","20"
"3","30","32","999","21"
"4","30","40","999","21"
"5","30","48","999","22"
"6","30","64","999","22"
"7","30","80","999","23"
"8","30","96","999","23"
"9","30","120","999","24"
"10","30","168","999","24"
"11","30","224","999","25"
"12","30","280","999","25"
"13","30","344","999","26"
"14","30","420","999","26"
"15","30","502","999","27"
"16","30","584","999","28"
"17","30","666","999","30"
"18","30","748","999","35"
"19","30","830","999","40"
"20","30","930","999","45"
"21","30","1040","999","50"
"22","30","1178","999","55"
"23","30","1316","999","60"
"24","30","1458","999","70"
"25","30","1604","999","80"
"26","30","1755","999","85"
"27","30","1910","999","85"
"28","30","2070","999","86"
"29","30","2235","999","87"
"30","30","2405","999","88"
"31","30","2579","999","89"
"32","30","2760","999","90"
"33","30","2945","999","91"
"34","30","3136","999","92"
"35","30","3333","999","93"
"36","30","3535","999","94"
"37","30","3744","999","95"
"38","30","3974","999","96"
"39","30","4226","999","97"
"40","30","4504","999","98"
"41","30","4810","999","99"
"42","30","5152","999","100"
"43","30","5535","999","101"
"44","30","5965","999","102"
"45","30","6446","999","103"
"46","30","7004","999","104"
"47","30","7651","999","105"
"48","30","8401","999","106"
"49","30","9272","999","107"
"50","30","10282","999","108"
"51","30","11454","999","109"
"52","30","12813","999","110"
"53","30","14389","999","111"
"54","30","16159","999","112"
"55","30","17929","999","113"
"56","30","19699","999","114"
"57","30","21469","999","115"
"58","30","23239","999","116"
"59","30","25009","999","117"
"60","30","26779","999","118"
"61","30","28549","999","119"
"62","30","30319","999","120"
"63","30","32089","999","121"
"64","30","33859","999","122"
"65","30","35629","999","123"
"66","30","38284","999","124"
"67","30","40939","999","125"
"68","30","43594","999","126"
"69","30","46249","999","127"
"70","30","48904","999","128"
"71","30","51559","999","129"
"72","30","54214","999","130"
"73","30","56869","999","131"
"74","30","59524","999","132"
"75","30","62179","999","133"
"76","30","64834","999","134"
"77","30","68374","999","135"
"78","30","71914","999","136"
"79","30","75454","999","137"
"80","30","78994","999","138"
"81","30","82534","999","139"
"82","30","86074","999","140"
"83","30","89614","999","141"
"84","30","93154","999","142"
"85","30","96694","999","143"
"86","30","100234","999","144"
"87","30","103774","999","145"
"88","30","107314","999","146"
"89","30","110854","999","147"
"90","30","114394","999","148"
"91","30","117934","999","149"
"92","30","121474","999","150"
"93","30","125014","999","151"
"94","30","128554","999","152"
"95","30","132094","999","153"
"96","30","135634","999","154"
"97","30","139174","999","155"
"98","30","142714","999","156"
"99","30","146254","999","157"
"100","30","149794","999","158"
"101","30","153334","999","159"
"102","30","157759","999","160"
"103","30","162184","999","161"
"104","30","166609","999","162"
"105","30","171034","999","163"
"106","30","175459","999","164"
"107","30","179884","999","165"
"108","30","184309","999","166"
"109","30","188734","999","167"
"110","30","193159","999","168"
"111","30","197584","999","169"
"112","30","202009","999","170"
"113","30","206434","999","171"
"114","30","210859","999","172"
"115","30","215284","999","173"
"116","30","219709","999","174"
"117","30","224134","999","175"
"118","30","228559","999","176"
"119","30","232984","999","177"
"120","30","237409","999","178"
"121","30","241834","999","179"
"122","30","246259","999","180"
"123","30","250684","999","181"
"124","30","255109","999","182"
"125","30","259534","999","183"
"126","30","263959","999","184"
"127","30","268384","999","185"
"128","30","272809","999","186"
"129","30","277234","999","187"
"130","30","281659","999","188"
"131","30","286084","999","189"
"132","30","290509","999","190"
"133","30","294934","999","191"
"134","30","299359","999","192"
"135","30","303784","999","193"
"136","30","308209","999","194"
"137","30","312634","999","195"
"138","30","317059","999","196"
"139","30","321484","999","197"
"140","30","325909","999","198"
"141","30","330334","999","199"
"142","30","334759","999","200"
"143","30","339184","999","201"
"144","30","343609","999","202"
"145","30","348034","999","203"
"146","30","352459","999","204"
"147","30","356884","999","205"
"148","30","361309","999","206"
"149","30","365734","999","207"
"150","30","370159","999","208"
"151","30","374584","999","209"
"152","30","379009","999","210"
"153","30","383434","999","211"
"154","30","387859","999","212"
"155","30","392284","999","213"
"156","30","396709","999","214"
"157","30","401134","999","215"
"158","30","405559","999","216"
"159","30","409984","999","217"
"160","30","414409","999","218"
"161","30","418834","999","219"
"162","30","423259","999","220"
"163","30","427684","999","221"
"164","30","432109","999","222"
"165","30","436534","999","223"
"166","30","440959","999","224"
"167","30","445384","999","225"
"168","30","449809","999","226"
"169","30","454234","999","227"
"170","30","458659","999","228"
"171","30","463084","999","229"
"172","30","467509","999","230"
"173","30","471934","999","231"
"174","30","476359","999","232"
"175","30","480784","999","233"
"176","30","485209","999","234"
"177","30","489634","999","235"
"178","30","494059","999","236"
"179","30","498484","999","237"
"180","30","502909","999","238"
"181","30","507334","999","239"
"182","30","511759","999","240"
"183","30","516184","999","241"
"184","30","520609","999","242"
"185","30","525034","999","243"
"186","30","529459","999","244"
"187","30","533884","999","245"
"188","30","538309","999","246"
"189","30","542734","999","247"
"190","30","547159","999","248"
"191","30","551584","999","249"
"192","30","556009","999","250"
"193","30","560434","999","251"
"194","30","564859","999","252"
"195","30","569284","999","253"
"196","30","573709","999","254"
"197","30","578134","999","255"
"198","30","582559","999","256"
"199","30","586984","999","257"
"200","30","591409","999","258"
"201","30","595834","999","259"
"202","30","600259","999","260"
"203","30","604684","999","261"
"204","30","609109","999","262"
"205","30","613534","999","263"
"206","30","617959","999","264"
"207","30","622384","999","265"
"208","30","626809","999","266"
"209","30","631234","999","267"
"210","30","635659","999","268"
"211","30","640084","999","269"
"212","30","644509","999","270"
"213","30","648934","999","271"
"214","30","653359","999","272"
"215","30","657784","999","273"
"216","30","662209","999","274"
"217","30","666634","999","275"
"218","30","671059","999","276"
"219","30","675484","999","277"
"220","30","679909","999","278"
"221","30","684334","999","279"
"222","30","688759","999","280"
"223","30","693184","999","281"
"224","30","697609","999","282"
"225","30","702034","999","283"
"226","30","706459","999","284"
"227","30","710884","999","285"
"228","30","715309","999","286"
"229","30","719734","999","287"
"230","30","724159","999","288"
"231","30","728584","999","289"
"232","30","733009","999","290"
"233","30","737434","999","291"
"234","30","741859","999","292"
"235","30","746284","999","293"
"236","30","750709","999","294"
"237","30","755134","999","295"
"238","30","759559","999","296"
"239","30","763984","999","297"
"240","30","768409","999","298"
"241","30","772834","999","299"
"242","30","777259","999","300"
"243","30","781684","999","301"
"244","30","786109","999","302"
"245","30","790534","999","303"
"246","30","794959","999","304"
"247","30","799384","999","305"
"248","30","803809","999","306"
"249","30","808234","999","307"
"250","30","812659","999","308"
"251","30","817084","999","309"
"252","30","821509","999","310"
"253","30","825934","999","311"
"254","30","830359","999","312"
"255","30","834784","999","313"
"256","30","839209","999","314"
"257","30","843634","999","315"
"258","30","848059","999","316"
"259","30","852484","999","317"
"260","30","856909","999","318"
"261","30","861334","999","319"
"262","30","865759","999","320"
"263","30","870184","999","321"
"264","30","874609","999","322"
"265","30","879034","999","323"
"266","30","883459","999","324"
"267","30","887884","999","325"
"268","30","892309","999","326"
"269","30","896734","999","327"
"270","30","901159","999","328"
"271","30","905584","999","329"
"272","30","910009","999","330"
"273","30","914434","999","331"
"274","30","918859","999","332"
"275","30","923284","999","333"
"276","30","927709","999","334"
"277","30","932134","999","335"
"278","30","936559","999","336"
"279","30","940984","999","337"
"280","30","945409","999","338"
"281","30","949834","999","339"
"282","30","954259","999","340"
"283","30","958684","999","341"
"284","30","963109","999","342"
"285","30","967534","999","343"
"286","30","971959","999","344"
"287","30","976384","999","345"
"288","30","980809","999","346"
"289","30","985234","999","347"
"290","30","989659","999","348"
"291","30","994084","999","349"
"292","30","998509","999","350"
"293","30","1002934","999","351"
"294","30","1007359","999","352"
"295","30","1011784","999","353"
"296","30","1016209","999","354"
"297","30","1020634","999","355"
"298","30","1025059","999","356"
"299","30","1029484","999","357"
"300","30","1033909","999","358"
"301","30","1038334","999","359"
"302","30","1042759","999","360"
"303","30","1047184","999","361"
"304","30","1051609","999","362"
"305","30","1056034","999","363"
"306","30","1060459","999","364"
"307","30","1064884","999","365"
"308","30","1069309","999","366"
"309","30","1073734","999","367"
"310","30","1078159","999","368"
"311","30","1082584","999","369"
"312","30","1087009","999","370"
"313","30","1091434","999","371"
"314","30","1095859","999","372"
"315","30","1100284","999","373"
"316","30","1104709","999","374"
"317","30","1109134","999","375"
"318","30","1113559","999","376"
"319","30","1117984","999","377"
"320","30","1122409","999","378"
"321","30","1126834","999","379"
"322","30","1131259","999","380"
"323","30","1135684","999","381"
"324","30","1140109","999","382"
"325","30","1144534","999","383"
"326","30","1148959","999","384"
"327","30","1153384","999","385"
"328","30","1157809","999","386"
"329","30","1162234","999","387"
"330","30","1166659","999","388"
"331","30","1171084","999","389"
"332","30","1175509","999","390"
"333","30","1179934","999","391"
"334","30","1184359","999","392"
"335","30","1188784","999","393"
"336","30","1193209","999","394"
"337","30","1197634","999","395"
"338","30","1202059","999","396"
"339","30","1206484","999","397"
"340","30","1210909","999","398"
"341","30","1215334","999","399"
"342","30","1219759","999","400"
"343","30","1224184","999","401"
"344","30","1228609","999","402"
"345","30","1233034","999","403"
"346","30","1237459","999","404"
"347","30","1241884","999","405"
"348","30","1246309","999","406"
"349","30","1250734","999","407"
"350","30","1255159","999","408"
"351","30","1259584","999","409"
"352","30","1264009","999","410"
"353","30","1268434","999","411"
"354","30","1272859","999","412"
"355","30","1277284","999","413"
"356","30","1281709","999","414"
"357","30","1286134","999","415"
"358","30","1290559","999","416"
"359","30","1294984","999","417"
"360","30","1299409","999","418"
"361","30","1303834","999","419"
"362","30","1308259","999","420"
"363","30","1312684","999","421"
"364","30","1317109","999","422"
"365","30","1321534","999","423"
