592c56495f5937ad3e0cf0b2388139c5dc9d3b20cae71d32f5f04dd3ec8d4627,e0afea7c9233325d7b6cc00fcdd1834687a126dd0c882f4264b24ce4cb55f64e,9e5903a51a6ab6c6734bda16c661fe7f56f4c8bfe0de282cb5602e08ab68ed3e,1eb1286a5ab53ac5ec2f13515c11179210b7bff14eeab5197fe1fcd01ab11c9e,179b8d880b74a6628ee220efa253deb7de181c0f9152612ac6adbb397af76e55,3a79e537cc318a09a0a0ac81de7708b4d77ca432ee2b9fbd5fce8ca0ce27d36a,942e31156f655c81bff0327c44b9461d3bd2f7ff63676ad8932ba12badc0679a,bdbaae33064d43d566f63a6632b33f0c85af8df58c335572ba76a64bfd584c29,0a7bab0454dc4aca2a630a0cc5a9f61c677cfb681a6383b76bc9ddbbcd013f10,dee0738020e9e30bd685202f6dbc730a7d5bcfde89765c2efb2ae88633d309d1,174b25320e63f5f2f5a0cea498f40cff641407b9b908003bc2351b8ebc5dfe1a
"23","","","101110001","","0","se_travel_start_1pt","","se_travel","","111"
"31","1","","101110002","0","0","10010","1","10010","","111"
"31","1","","101110003","0","0","10011","1","10011","","111"
"31","1","","101110004","0","0","10020","0","10020","","111"
"1","-150","0","101110005","-150","62","1001001","0.68","2","<weapon>_idle","111"
"1","-75","0","101110006","-250","61","1001002","0.68","2","<weapon>_idle","111"
"1","-180","0","101110007","-350","63","1001003","0.68","2","<weapon>_idle","111"
"1","-75","0","101110008","-450","61","1001004","0.68","2","<weapon>_idle","111"
"1","-150","0","101110009","-550","62","1001005","0.68","2","<weapon>_idle","111"
"31","0.68","0","101110010","-150","-150","1001001","1","10012","","111"
"31","0.68","0","101110011","-75","-250","1001002","1","10012","","111"
"31","0.68","0","101110012","-180","-350","1001003","1","10012","","111"
"31","0.68","0","101110013","-75","-450","1001004","1","10012","","111"
"31","0.68","0","101110014","-150","-550","1001005","1","10012","","111"
"31","1","","101110015","0","0","10030","0","10030","","111"
"31","1","","101110016","0","0","10031","0","10031","","111"
"91","","","101110017","","","0","","","","111"
"32","","","101110018","","","1","","10030","","111"
"91","","","101110019","","","0","","0","","111"
"3","0","","101110020","","1","<weapon>_run","0","1001001","","111"
"3","0","","101110021","","1","<weapon>_run","0","1001002","","111"
"3","0","","101110022","","1","<weapon>_run","0","1001003","","111"
"3","0","","101110023","","1","<weapon>_run","0","1001004","","111"
"3","0","","101110024","","1","<weapon>_run","0","1001005","","111"
"2","0","","101110025","3","-150","800","","1001001","","111"
"2","0","","101110026","3","-75","700","","1001002","","111"
"2","0","","101110027","3","-180","600","","1001003","","111"
"2","0","","101110028","3","-75","500","","1001004","","111"
"2","0","","101110029","3","-150","400","","1001005","","111"
"33","0","","101110030","3","-150","800","","1001001","","111"
"33","0","","101110031","3","-75","700","","1001002","","111"
"33","0","","101110032","3","-180","600","","1001003","","111"
"33","0","","101110033","3","-75","500","","1001004","","111"
"33","0","","101110034","3","-150","400","","1001005","","111"
"32","","","101110035","","","1","","10020","","111"
