b4157046b2d99c974e2f7c9ecc1be448acbd788834cdb0c84fb6b12f1b7e1d67,af0961de65c59acf35b52531d46c35962d2e6a3d9d75f70c92909b776d210729,f058d6d04f074ffb72331179c99e6c0518bf245cf68ef355a261c06791de73f6,d503c971056799e8e7f0a422ab1896febcb76a333d8d52252685c6b9f74ad4ef,07508e8b6167de6468dbc2ee784a8736338262e5a728925d3ea3a5edb7f6636a,41aec29bbfef9d1ea036eaf7b76991ed1ed6cabdd93ccfe7cd69542c11a388ba,b2c459dee04673c4f680d2d67d2216569c66f1ddd3a87b375c3dbae98133ae36,3b335d3fccab9df9009a8a4767be2e24b5ba22f496df948321f56ecf377cd4af,e79460bed83546ac2d3ef17666de6b86192939af8b99b61624f5936e97d27994,c7292b168dd7591417079c205934e9b5db9bb173c1a00f29c5c0e60635a2a3f7
"","1","5038600","11","20023105","","1","1","0","0"
"高中部1年級　琪愛兒","1","0","12","20023105","理應繼承至次世代的新語言","2","0","0","0"
"高中部2年級　克蘿依","1","0","13","20023107","我超級不會寫作文","3","0","0","0"
"高中部3年級　優妮","1","0","14","20023109","直至飛翔為止","4","0","0","0"
"","2","5038601","21","20023111","","5","2","0","0"
"紀錄人　秋乃","2","0","22","20023111","靈光一閃了呢！","6","0","0","0"
"紀錄人　珠希","2","0","23","20023112","組合喵！","7","0","0","0"
"紀錄人　優花梨","2","0","24","20023113","我寫過這種東西嗎…？","8","0","0","0"
"紀錄人　美冬","2","0","25","20023114","不能放任繼續這樣下去了","9","0","0","0"
"總結","2","0","26","20023115","特別講座結束了","10","0","0","0"
"","3","5038602","31","20023115","","11","2","1","0"
"浪漫繼承計畫","3","0","32","20023115","開發記—考察","12","0","1","0"
"彌補不足計畫","3","0","33","20023115","開發記—試作機完成","13","0","2","0"
"畫龍點睛計畫","3","0","34","20023115","開發記—最終工程","14","0","3","0"
"","3","5038603","35","20023115","","15","3","3","2022/05/25 16:00:00"
