031ba5baa498b549d0183c14ca1c3454726465dc6c2d04e1f5016c36aee4c7f8,fd3e87fa372e0bc30e302d3e9b6bd0218c96cd47674bc1c369588e7ef5bfd011,57596bcbf95056ab4720764b071af857ffa31aa3c005dc255f3f0d4cbff01a14
"1","1","0"
"1","1","1"
"1","1","2"
"1","1","5"
"2","1","0"
"2","1","1"
"2","1","2"
"2","1","5"
"3","1","0"
"3","1","1"
"3","1","2"
"3","1","5"
"4","1","0"
"4","1","1"
"4","1","2"
"4","1","5"
"5","1","0"
"5","1","1"
"5","1","2"
"5","1","5"
"6","1","0"
"6","1","1"
"6","1","2"
"6","1","5"
"7","1","0"
"7","1","1"
"7","1","2"
"7","1","5"
"8","1","0"
"8","1","1"
"8","1","2"
"8","1","5"
"9","1","0"
"9","1","1"
"9","1","2"
"9","1","5"
"10","1","0"
"10","1","1"
"10","1","2"
"10","1","5"
