9ebf76ae8ea85e481be6e72eea1e969dbe8f89900d6387fd072c4281a7e4dd30,186a19ac2927ac1b60161642e4ecae6488c2738406f042eb32456b7d83561fb7,13e4e290f0ec64d769ee03a74270bfc7d08c28aa3b9e0bb86c1d6e5e20540a05,8e0e3381cbfe6669f09d90086d2a0ad299850ee436a26e7dd805a3a1a0d70674,6af0cb441058f6e75065f4e11464b6a679eeaf8c476c5461e0bf96d558f0bff4,7be939554169becceb85421118680c8ada4590c33b2f795734d619e6007a8d22,b9f1e6d80c83be4be0a784def3b41ef01aeea860f761c8eb8cdfca2500569142,c57f6d34d9ea2bad9d5798dc22dd46059ce0d9f642bea9aebf5c0083769bfc7d,fd8f67e47ae4a8594bbd3b26f6ac864388544b2b5300091dd8aaca3ebe720bbf,bcc408b486d404d49332c2e7f9905dc7de09e9d823d38b4b5f22f7249bcc3f98,88932f4a670808a278af4589abfb9ba7e71d09e9327484908230702e4aac7701
"0","svd_idle_normal","113511","5","100","1007001001","2.08","1007001","-750","-300","2"
"1","svd_idle_normal","113411","5","100","1007001002","2.08","1007001","750","-300","1"
"0","svd_white_loop","333","5","0","1007001003","1","1007001","0","0","3"
"0","","1","6","1","1007001004","0","1007001","1","0","333"
"","","2","7","0","1007001005","","1007001","0","","113511"
"","","-750","2","-300","1007001006","","1007001","0.5","0","113511"
"0","","1","6","1","1007001007","0","1007001","1","0","113411"
"","","11","31","-140","1007001008","0","1007001","-40","0.8","1"
"","","2","34","0","1007001009","","1007001","0","","11"
"","","6","7","0","1007001010","","1007001","0","","113411"
"","","750","2","-300","1007001011","","1007001","0.5","0","113411"
"","","14","31","-250","1007001012","0","1007001","-40","1","4"
"","","15","31","250","1007001013","0","1007001","-40","1","5"
"","","","93","","1007001014","","1007001","","","1"
"0","","1","6","1","1007001015","0.8","1007001","1","0.4","333"
"0","","svd_idle_see_pre","3","0","1007001016","0.2","1007001","svd_idle_see","1","113511"
"","","640","2","-300","1007001017","","1007001","1.1","0","113411"
"","","-600","2","-300","1007001018","","1007001","1.1","0","113511"
"","","","93","","1007001019","","1007001","","","1"
"","","1","32","","1007001020","","1007001","","","11"
"","","","91","","1007001021","","1007001","","","0"
"","","240","94","260","1007001022","","1007001","0","80","113511"
"","","0","32","","1007001023","","1007001","","","11"
"","","svd_run","3","1","1007001024","0.2","1007001","","","113511"
"","","0","7","1.2","1007001025","","1007001","0","","113511"
"","","-250","2","-300","1007001026","","1007001","1.2","0","113511"
"","","svd_run","3","1","1007001027","0.2","1007001","","","113411"
"","","0","7","1.2","1007001028","","1007001","0","","113411"
"","","250","2","-300","1007001029","","1007001","1.2","0","113411"
"0","","1","6","1","1007001030","0.2","1007001","1","1","113411"
"","","","93","","1007001031","","1007001","","","1.2"
"","","","91","","1007001032","","1007001","","","0"
"","","svd_kime_eriko","3","0","1007001033","0.2","1007001","","","113511"
"","","svd_kime_shizuru","3","0","1007001034","0.2","1007001","","","113411"
"","","","93","","1007001035","","1007001","","","1.4"
"","","1","32","","1007001036","","1007001","","","14"
"","","1","32","","1007001037","","1007001","","","15"
"","","","93","","1007001038","","1007001","","","0.6"
