43522ec01849fc2b93d5dce5d1d3c452101afec598ec132aafb66d451d9536a4,480c8b5a5325f0d5ea1af2c44fcf83640a6c9605927fa58a5bdded1a9fb88486,0a084d816e0acd70f147e6dbd39fe48de1b1b9526ecfe63a5c1f0c3e34f44edc,6b3701031ad64c26438b0a1f7702e3de5987b9e119c162de74347f7bac84a6e1,87ab120caa3544355d1be99896793807d7c2d3912a42ee43f62a4dbe09631844,2da88fa270bb5cfc56ac5b39d415886fd8906a5efd8c4537cc2b884ad7b5b34f,ebe4cc08493699f5372a988b9b155993bf564a088f1ba10937e5febc93b05598,f85fa681ec6e6718e45a1d71dd0bee6c413271e02efe31156cd21cb5995639ee,7a6843feb08038e73291136e3b1a01030c2bcec25b6a2ff273c9ec1eabdf4da6,95033c12dfdac062a4ec4eace8bc5a8d848438c16867a3cbc4ddd4a427764005,6c617ee55ed54e07d9cc32920fced23d18407ed7f253d5ba84763b2f94653e67
"10","25012","91002","2","282001001","25021","31","8","1","2","8"
"10","25012","91002","2","282001002","25021","31","8","2","2","8"
"10","25012","91002","2","282001003","25021","32","8","3","2","8"
"10","25012","91002","2","282001004","25021","32","8","4","2","8"
"10","25012","91002","2","282001005","25021","33","8","5","2","8"
"10","25012","91002","2","282001006","25021","33","9","6","2","8"
"10","25012","91002","2","282001007","25021","34","9","7","2","8"
"10","25012","91002","2","282001008","25021","35","9","8","2","8"
"10","25012","91002","2","282001009","25021","35","9","9","2","8"
"30","25012","91002","2","282001010","25021","37","10","10","2","8"
"10","25012","91002","2","282001011","25021","41","10","11","2","8"
"10","25012","91002","2","282001012","25021","43","11","12","2","8"
"10","25012","91002","2","282001013","25021","46","11","13","2","8"
"10","25012","91002","2","282001014","25021","48","12","14","2","8"
"10","25012","91002","2","282001015","25021","50","12","15","2","8"
"10","25012","91002","2","282001016","25021","53","13","16","2","8"
"10","25012","91002","2","282001017","25021","55","14","17","2","8"
"10","25012","91002","2","282001018","25021","58","14","18","2","8"
"10","25012","91002","2","282001019","25021","60","15","19","2","8"
"30","25012","91002","2","282001020","25021","62","15","20","2","8"
"10","25012","91002","2","282001021","25021","68","16","21","2","8"
"10","25012","91002","2","282001022","25021","70","16","22","2","8"
"10","25012","91002","2","282001023","25021","72","16","23","2","8"
"10","25012","91002","2","282001024","25021","75","17","24","2","8"
"10","25012","91002","2","282001025","25021","77","18","25","2","8"
"10","25012","91002","2","282001026","25021","79","18","26","2","8"
"10","25012","91002","2","282001027","25021","82","19","27","2","8"
"10","25012","91002","2","282001028","25021","84","19","28","2","8"
"10","25012","91002","2","282001029","25021","86","19","29","2","8"
"30","25012","91002","2","282001030","25021","89","20","30","2","8"
"10","25012","91002","2","282001031","25021","94","20","31","2","8"
"10","25012","91002","2","282001032","25021","96","21","32","2","8"
"10","25012","91002","2","282001033","25021","99","21","33","2","8"
"10","25012","91002","2","282001034","25021","101","22","34","2","8"
"10","25012","91002","2","282001035","25021","103","22","35","2","8"
"10","25012","91002","2","282001036","25021","106","23","36","2","8"
"10","25012","91002","2","282001037","25021","108","23","37","2","8"
"10","25012","91002","2","282001038","25021","111","24","38","2","8"
