7ab51119ad1a3e750b7d76d5aef039bc3b49774dae3990dfad52c6fb6939ee8a,3fffd495f5fd0066acc75a48858c82b4083ae032c0438b9f4c437a58bbd4ee6b,311e46fcfc1334486c8b8f0ece14616e6851f352319c9331e2f7f2e8b8d1f971,8ba946c7dc10d50cd4b55458866010b7f5488f477c2cb98c04b52fc734ffb8ea,e11fb602c9a4fe8b93b716553aea683fa7b22ac4eb8a392cda56bedf1cf99f10,c3bd7d4b98f4cec02c28543e985a476f4d8c80fa1e8eb05cfd718333ae7f519a,69814c594a20dc9dfe2abe84d68a99cc282dcdd61b844728cf1aa4a52ca6e81f,e69e802fe435012ad644925135093410976feb05798fead018da4c2c614edee7,976f7be9d4a198b6cf641f2c6889fcdd98e1f774a82728d2c99f887a032c79d9,f244f2f5944b2075f4b9f9e6c4e3578407b1e70c46077647d8f47f0d5975a61b,daf7f01087dbef5e1c1d5bea82bced5c82d5b6c5f9610d78973f8e408d144120
"0","-420","cgg_idle_normal","101001","101","-230","100","1","160","5","1"
"1","375","cgg_idle_def","101002","101","-230","100","1","1.6","1","105811"
"1","490","cgg_idle_def","101003","101","-230","101","1","1.6","1","106011"
"0","1","","101004","101","1","1","1","0.1","6","1"
"0","1","","101005","101","1","1","105811","0.1","6","1"
"0","1","","101006","101","1","1","106011","0.1","6","1"
"","","","101007","101","","","0.2","","93","0"
"","0","","101008","101","","0","vo_minigame_1007","","21","vo_minigame_1007_top_talk_1_001"
"0","0","0","101009","101","0","4","105811","0","11","妳看，小凱留♪\n有好多慈樂之音的\n周邊喔☆"
"","","","101010","101","","1","1","0.2","3","cgg_idle_surprise1"
"0","cgg_talk_surprise_kira","","101011","101","1","0","105811","0.2","3","cgg_surprise_kira"
"","","","101012","101","","","2.1","","93","0"
"","","","101013","101","","1","1","0.2","3","cgg_idle_surprise3"
"","","","101014","101","","1","105811","0.2","3","cgg_talk_joy1"
"","","","101015","101","","","101009","","91",""
"","","","101016","101","","1","105811","0.2","3","cgg_idle_def"
"","0","","101017","101","","0","vo_minigame_1007","","21","vo_minigame_1007_top_talk_1_002"
"0","0","0","101018","101","0","5","106011","0","11","有這麼多啊……\n這種東西會讓人\n不由自主地\n想全部收齊呢。"
"","","","101019","101","","1","1","0.2","3","cgg_idle_reaction1"
"","","","101020","101","","1","106011","0.2","3","cgg_talk_surprise1"
"","","","101021","101","","","2.1","","93","0"
"","","","101022","101","","1","1","0.2","3","cgg_idle_nod"
"","","","101023","101","","1","106011","0.2","3","cgg_talk_bitter"
"","","","101024","101","","","101018","","91",""
"","","","101025","101","","","0.5","","93","0"
"","","","101026","101","","1","1","0.2","3","cgg_idle_normal"
"","","","101027","101","","1","106011","0.2","3","cgg_idle_def"
"","","","101028","101","","1","105811","0.2","3","cgg_idle_joy2"
"","","","101029","101","","1.4","105811","0.2","12","10"
"","","","101030","101","","","3","","93","0"
"","","","101031","101","","1","105811","0.2","3","cgg_idle_def"
"","","","101032","101","","1","106011","0.2","3","cgg_talk_surprise_dere"
"","","","101033","101","","1.4","106011","0.2","12","8"
"","","","101034","101","","","3","","93","0"
"","","","101035","101","","1","106011","0.2","3","cgg_idle_def"
"0","cgg_idle_surprise1","","101036","101","1","0","1","0.2","3","cgg_surprise1"
"","","","101037","101","","1.4","1","0.2","12","4"
