cf4884b287bd54e6f28ae2c11b917fa63200c5282a8401622131a096c84bb4b4,12989a3e7262f1330227831c8713c14074682c105371d31ddd667175004fc37e,beb8f88ea5ea7f43a63a68a43f4a3b1064e5a93dd8c52384c3a1b89d0d3644d2,c528ad0fecaa083f97da23af68eb3a9f9dafd30bf862f80a9c1fe17403848ca7,f2b6260bdddacd1ff574df4e9d0f0e09b180491fd9f2d4f82b39cf0f753de7f3
"100101","12","1","5000000","94002"
"100102","2","2","2000","90008"
"100103","2","3","20","25001"
"100104","2","4","2500","90008"
"100105","2","5","30","25001"
"100106","8","6","300","91002"
"100107","2","7","1","41000"
"100108","12","8","5000000","94002"
"100109","12","9","1000000","94002"
"100110","12","10","1000000","94002"
"100111","12","11","1000000","94002"
"100112","2","12","400","20004"
"100113","2","13","300","20004"
"100114","2","14","200","20004"
"100115","12","15","1000000","94002"
"100116","12","16","1000000","94002"
"100117","12","17","1000000","94002"
"100118","2","18","400","20004"
"100119","2","19","300","20004"
"100120","2","20","200","20004"
"100121","12","21","1000000","94002"
"100122","12","22","1000000","94002"
"100123","12","23","1000000","94002"
"100124","2","24","400","20004"
"100125","2","25","300","20004"
"100126","2","26","200","20004"
"100201","12","27","5000000","94002"
"100202","2","28","2000","90008"
"100203","2","29","20","25001"
"100204","2","30","2500","90008"
"100205","2","31","30","25001"
"100206","8","32","300","91002"
"100207","2","33","1","41000"
"100208","12","34","5000000","94002"
"100209","12","35","1000000","94002"
"100210","12","36","1000000","94002"
"100211","12","37","1000000","94002"
"100212","2","38","400","20004"
"100213","2","39","300","20004"
"100214","2","40","200","20004"
"100215","12","41","1000000","94002"
"100216","12","42","1000000","94002"
"100217","12","43","1000000","94002"
"100218","2","44","400","20004"
"100219","2","45","300","20004"
"100220","2","46","200","20004"
"100221","12","47","1000000","94002"
"100222","12","48","1000000","94002"
"100223","12","49","1000000","94002"
"100224","2","50","400","20004"
"100225","2","51","300","20004"
"100226","2","52","200","20004"
"100301","12","53","5000000","94002"
"100302","2","54","2000","90008"
"100303","2","55","20","25001"
"100304","2","56","2500","90008"
"100305","2","57","30","25001"
"100306","8","58","300","91002"
"100307","2","59","1","41000"
"100308","12","60","5000000","94002"
"100309","12","61","1000000","94002"
"100310","12","62","1000000","94002"
"100311","12","63","1000000","94002"
"100312","2","64","400","20004"
"100313","2","65","300","20004"
"100314","2","66","200","20004"
"100315","12","67","1000000","94002"
"100316","12","68","1000000","94002"
"100317","12","69","1000000","94002"
"100318","2","70","400","20004"
"100319","2","71","300","20004"
"100320","2","72","200","20004"
"100321","12","73","1000000","94002"
"100322","12","74","1000000","94002"
"100323","12","75","1000000","94002"
"100324","2","76","400","20004"
"100325","2","77","300","20004"
"100326","2","78","200","20004"
"100401","12","79","5000000","94002"
"100402","2","80","2000","90008"
"100403","2","81","20","25001"
"100404","2","82","2500","90008"
"100405","2","83","30","25001"
"100406","8","84","300","91002"
"100407","2","85","1","41000"
"100408","12","86","5000000","94002"
"100409","12","87","1000000","94002"
"100410","12","88","1000000","94002"
"100411","12","89","1000000","94002"
"100412","2","90","400","20004"
"100413","2","91","300","20004"
"100414","2","92","200","20004"
"100415","12","93","1000000","94002"
"100416","12","94","1000000","94002"
"100417","12","95","1000000","94002"
"100418","2","96","400","20004"
"100419","2","97","300","20004"
"100420","2","98","200","20004"
"100421","12","99","1000000","94002"
"100422","12","100","1000000","94002"
"100423","12","101","1000000","94002"
"100424","2","102","400","20004"
"100425","2","103","300","20004"
"100426","2","104","200","20004"
"100501","12","105","5000000","94002"
"100502","2","106","2000","90008"
"100503","2","107","20","25001"
"100504","2","108","2500","90008"
"100505","2","109","30","25001"
"100506","8","110","300","91002"
"100507","2","111","1","41000"
"100508","12","112","5000000","94002"
"100509","12","113","1000000","94002"
"100510","12","114","1000000","94002"
"100511","12","115","1000000","94002"
"100512","2","116","400","20004"
"100513","2","117","300","20004"
"100514","2","118","200","20004"
"100515","12","119","1000000","94002"
"100516","12","120","1000000","94002"
"100517","12","121","1000000","94002"
"100518","2","122","400","20004"
"100519","2","123","300","20004"
"100520","2","124","200","20004"
"100521","12","125","1000000","94002"
"100522","12","126","1000000","94002"
"100523","12","127","1000000","94002"
"100524","2","128","400","20004"
"100525","2","129","300","20004"
"100526","2","130","200","20004"
"100601","12","131","5000000","94002"
"100602","2","132","2000","90008"
"100603","2","133","20","25001"
"100604","2","134","2500","90008"
"100605","2","135","30","25001"
"100606","8","136","300","91002"
"100607","2","137","1","41000"
"100608","12","138","5000000","94002"
"100609","12","139","1000000","94002"
"100610","12","140","1000000","94002"
"100611","12","141","1000000","94002"
"100612","2","142","400","20004"
"100613","2","143","300","20004"
"100614","2","144","200","20004"
"100615","12","145","1000000","94002"
"100616","12","146","1000000","94002"
"100617","12","147","1000000","94002"
"100618","2","148","400","20004"
"100619","2","149","300","20004"
"100620","2","150","200","20004"
"100621","12","151","1000000","94002"
"100622","12","152","1000000","94002"
"100623","12","153","1000000","94002"
"100624","2","154","400","20004"
"100625","2","155","300","20004"
"100626","2","156","200","20004"
"100701","12","157","5000000","94002"
"100702","2","158","2000","90008"
"100703","2","159","20","25001"
"100704","2","160","2500","90008"
"100705","2","161","30","25001"
"100706","8","162","300","91002"
"100707","2","163","1","41000"
"100708","12","164","5000000","94002"
"100709","12","165","1000000","94002"
"100710","12","166","1000000","94002"
"100711","12","167","1000000","94002"
"100712","2","168","400","20004"
"100713","2","169","300","20004"
"100714","2","170","200","20004"
"100715","12","171","1000000","94002"
"100716","12","172","1000000","94002"
"100717","12","173","1000000","94002"
"100718","2","174","400","20004"
"100719","2","175","300","20004"
"100720","2","176","200","20004"
"100721","12","177","1000000","94002"
"100722","12","178","1000000","94002"
"100723","12","179","1000000","94002"
"100724","2","180","400","20004"
"100725","2","181","300","20004"
"100726","2","182","200","20004"
"100801","12","183","5000000","94002"
"100802","2","184","2000","90008"
"100803","2","185","20","25001"
"100804","2","186","2500","90008"
"100805","2","187","30","25001"
"100806","8","188","300","91002"
"100807","2","189","1","41000"
"100808","12","190","5000000","94002"
"100809","12","191","1000000","94002"
"100810","12","192","1000000","94002"
"100811","12","193","1000000","94002"
"100812","2","194","400","20004"
"100813","2","195","300","20004"
"100814","2","196","200","20004"
"100815","12","197","1000000","94002"
"100816","12","198","1000000","94002"
"100817","12","199","1000000","94002"
"100818","2","200","400","20004"
"100819","2","201","300","20004"
"100820","2","202","200","20004"
"100821","12","203","1000000","94002"
"100822","12","204","1000000","94002"
"100823","12","205","1000000","94002"
"100824","2","206","400","20004"
"100825","2","207","300","20004"
"100826","2","208","200","20004"
"100901","12","209","5000000","94002"
"100902","2","210","2000","90008"
"100903","2","211","20","25001"
"100904","2","212","2500","90008"
"100905","2","213","30","25001"
"100906","8","214","300","91002"
"100907","2","215","1","41000"
"100908","12","216","5000000","94002"
"100909","12","217","1000000","94002"
"100910","12","218","1000000","94002"
"100911","12","219","1000000","94002"
"100912","2","220","400","20004"
"100913","2","221","300","20004"
"100914","2","222","200","20004"
"100915","12","223","1000000","94002"
"100916","12","224","1000000","94002"
"100917","12","225","1000000","94002"
"100918","2","226","400","20004"
"100919","2","227","300","20004"
"100920","2","228","200","20004"
"100921","12","229","1000000","94002"
"100922","12","230","1000000","94002"
"100923","12","231","1000000","94002"
"100924","2","232","400","20004"
"100925","2","233","300","20004"
"100926","2","234","200","20004"
