0f2b6a1260b26d2c995e709f2a9c35884670130c4eccce31e38482be51370e0c,39f59ea3993a9c740a43a022c5711ab8066fb25dfbd906dd163d1f6ac45ffc1b,d1b48bed57ddbaec38a5e04f8110710e0ec33d462f8a393b8dcde249027e603f,f1a811016bcc951e56dcd77d6cca1e59bc8564b304d548b6d5477d6613532091,c5f93dce6fb5bb284f69efe40abec53dde7a997956001512f92ae5a802dcd1d7,e1888c96134bf851f9f37dd843cdd7792803b41c494956e114e87ee40c346956,7e13e203762f90e99aee3b6002237be492eb7a640aaaf2a0f0af4a42764d6cc8,824e274955f8bdaf84eddfa4c5dac386b0bf1722dd312395cbfd46520b3d148a,90dca04035423534245c7e79facb3cc0a88891ed236f6d75ba27ccec7df2ccc3,92c51d3d4039fdb14674efa7be502c5f28a6962e7333e39a3e04f86162db9b04,8eaf59427afc0133a87052facb7dabd438343dca2a10530d4506a3eb4f83957c,eb095828cd4060d2062c47403bd53016a552e7e376d427fe47b5e4104bef5549,734d57a515d31cf7cc552ff53b6b2d2bddd1ec8aff3127c8ec56c0520036b7c5,1ff4e8c4395f5f1138162cbcba943659f3c621918b635381aa9c8c3627032b7b,ec7bab92fc5dae7e2c0ad5578741eb243f5699458beb0717bdfa3bd6a07dabc5,d17f2fce870d68f93734357f8507ec9df4446de3500ab8abcea041f919bfe48f,11d05ad5e6d883fddecc972956dbb3dcd5d82f384a57213237e4d26fbb15e321,8b4d16c35ba8936f4aadba1ad89b3514da7f29e0679650b7715662f79ee35da5,aaa9c1350f23287e3c184778753c18339d64587a9012999961f9684698160b11,8c71d9d9379620fff3759d403d48c6dc6f6c7122dc8cd0072875d2d8382dcf4b
"把你變成布丁喲","變成布丁喲","1","「宮子」的口頭禪，同時也是其必殺技名稱的詞語。","1001","21938","19969","1001","6","1","6","25104","6","6","6","把你變成布丁喲","35722","這個的名稱是什麼？","1","24067"
"","蘭德索爾盃","1","每半年舉行一次的障礙物賽跑。來猜猜四名跑者中哪一名角色會跑第一吧！","0","30403","29246","1008","6","1","6","24503","6","6","6","蘭德索爾盃","34349","這個的名稱是什麼？","1","32034"
"","斬擊暴風雨","1","「怜（★6）」的必殺技。","0","38632","39080","1010","6","1","6","25802","6","6","6","斬擊暴風雨","26028","這個的名稱是什麼？","1","26292"
"歡樂軟綿綿突擊","歡樂軟綿綿","1","「莉瑪（★6）」的必殺技。","0","32191","32191","1011","6","1","6","27138","6","6","6","歡樂軟綿綿突擊","27489","這個的名稱是什麼？","1","36575"
"喵咪喵咪幻影大暴走","幻影大暴走","1","「珠希（★6）」的必殺技。","0","36208","26292","1012","6","2","6","24433","6","6","6","喵咪喵咪幻影大暴走","24187","這個的名稱是什麼？","1","22823"
"","七七香閃亮","1","「七七香（★6）」的必殺技。","0","20142","38275","1013","6","2","6","19971","6","6","6","七七香‧∞‧閃亮","19971","這個的名稱是什麼？","1","39321"
"認知與發展性的哲學","認知發展性","1","「優妮」的必殺技。","0","24615","23637","1014","6","2","6","30693","6","6","6","認知與發展性的哲學","35469","這個的名稱是什麼？","1","30332"
"心型Love颶風","心Love","1","「伊緒（★6）」的必殺技。","0","101","118","1015","2","2","3","76","3","3","6","心型Love颶風","24515","這個的名稱是什麼？","1","111"
"","兔子先生旋","1","「美美（★6）」的必殺技。","0","26059","29983","1016","6","2","6","23376","6","6","6","兔子先生旋風","20820","這個的名稱是什麼？","1","20808"
"忍法‧烈火之紅蓮旋風","烈火之紅蓮","1","「妮諾（★6）」的必殺技。","0","34030","32005","1017","6","2","6","28779","6","6","6","忍法‧烈火之紅蓮旋風","28872","這個的名稱是什麼？","1","20043"
"不死鳥之終結","不死鳥終結","1","「咲戀（★6）」的必殺技。","0","32080","32066","1018","6","1","6","27515","6","6","6","不死鳥之終結","19981","這個的名稱是什麼？","1","40165"
"伊麗莎白聯合攻擊","伊麗莎聯合","1","「真陽（★6）」的必殺技。","0","21512","32879","1019","6","2","6","40599","6","6","6","伊麗莎白聯合攻擊","20234","這個的名稱是什麼？","1","33678"
"宇宙藍色行星","宇宙藍行星","1","「鏡華（★6）」的必殺技。","0","26143","34892","1020","6","2","6","23449","6","6","6","宇宙藍色行星","23431","這個的名稱是什麼？","1","34253"
"噗吉旋風全壘打","噗吉全壘打","1","「綾音（★6）」的必殺技。","0","25171","22744","1021","6","2","6","21513","6","6","6","噗吉旋風全壘打","22103","這個的名稱是什麼？","1","20840"
"","天樓霸斷劍","1","「矛依未」的必殺技。","0","21133","26039","1022","6","1","6","27155","6","6","6","天樓霸斷劍","22825","這個的名稱是什麼？","1","38712"
"切嚕切嚕☆大滅絕","嚕切大滅絕","1","「琪愛兒」的必殺技。","0","32085","28357","1023","6","1","6","20999","6","6","6","切嚕切嚕☆大滅絕","22165","這個的名稱是什麼？","1","22823"
"安全撤離路線","全撤離路線","1","登山時，改變預定行程後用以下山的路徑。","0","32218","36335","1067","6","2","6","25764","6","6","6","安全撤離路線","20840","這個的名稱是什麼？","2","38626"
"有金屬爪的鞋子","金屬爪鞋子","1","請解釋「冰爪鞋套」","0","23376","38795","1068","6","3","6","23660","6","6","6","有金屬爪的鞋子","37329","這是什麼？","2","29226"
"3000M以上的山","3000M","1","山岳分級，請解釋「高山」","0","77","48","1070","1","2","1","48","2","1","1","3000M以上的山","51","這是什麼？","2","48"
"進行中長距離的走路鍛鍊","中長距離的","1","請解釋「遠足」","0","30340","38626","1071","6","2","6","38263","6","6","6","進行中長距離的走路鍛鍊","20013","這是什麼？","2","36317"
"","手臂在水中","1","划水是運用□□□□□的合理動作來產生推進速度的技能，是游泳的重點技術環節","0","20013","27700","1075","6","3","6","33218","6","6","6","手臂在水中","25163","這是什麼？","2","22312"
"","冰上西洋棋","1","冰壺是一種冬季運動，因其高戰略性，也被稱為□□□□□","0","26827","27915","1076","6","1","6","19978","6","6","6","冰上西洋棋","20912","這個的名稱是什麼？","2","35199"
"110米跨欄⇒鐵餅⇒撐桿跳⇒標槍⇒1500米跑步","撐桿跳標槍","1","男子十項全能第二天比賽順序為","0","27085","27161","1077","6","1","6","26751","6","6","6","110米跨欄⇒鐵餅⇒撐桿跳⇒標槍⇒1500米跑步","25744","這個的名稱是什麼？","2","36339"
"投技、固技、當身技","固技當身技","1","柔道分為三種技巧","0","25216","36523","1078","6","1","6","25216","6","6","6","投技、固技、當身技","22266","這個的名稱是什麼？","2","30070"
"","逆時針方向","1","棒球的打擊手將球擊出後，採□□□□□，從本壘起跑。","0","21521","26041","1079","6","1","6","26178","6","6","6","逆時針方向","36870","這個的名稱是什麼？","2","37341"
"","十名守門員","1","在標準的足球比賽中，兩隊各派十一名球員參賽，裡面包括□□球員與一名□□□。","0","21729","38272","1080","6","1","6","21517","6","6","6","十名守門員","21313","這個的名稱是什麼？","2","23432"
"","技術性犯規","1","籃球犯規之一。某一方球員，用語言或動作挑逗對手、包括恐嚇、威脅對手會稱為：","0","35215","29359","1081","6","2","6","34899","6","6","6","技術性犯規","25216","這個的名稱是什麼？","2","24615"
"發球、接發球、舉球、扣球、攔網、防守","接發球攔網","1","排球的六種技術","0","32178","25876","1082","6","1","6","30332","6","6","6","發球、接發球、舉球、扣球、攔網、防守","25509","這個的名稱是什麼？","2","29699"
"","運動員宣誓","1","在運動會的開幕典禮上，會有選手代表出來宣讀承諾","0","35475","23459","1083","6","1","6","21205","6","6","6","運動員宣誓","36939","這個的名稱是什麼？","2","21729"
"","蹲踞式起跑","1","在陸上競技或游泳中，於起跑時以上身低伏的姿勢出發。","0","36305","36215","1085","6","1","6","36382","6","6","6","蹲踞式起跑","36466","這個的名稱是什麼？","2","24335"
"","團體資格賽","1","體操有分團體與個人資格賽，計分方式為6 – 5 – 4 的是屬於哪一種","0","36093","26684","1086","6","3","6","39636","6","6","6","團體資格賽","22296","這個的名稱是什麼？","2","36039"
"","海豚式打腿","1","游泳時腳不胡亂擺動，而是雙腳同時用力踢水。近似於某種動物的游泳方式。另一種說法為海豚踢","0","33151","25171","1095","6","2","6","35930","6","6","6","海豚式打腿","28023","這個的名稱是什麼？","2","24335"
"日和燃燒衝擊","和燃燒衝擊","1","「日和（★6）」的必殺技。","1096","25802","34909","1096","6","3","6","29123","6","6","6","日和燃燒衝擊","21644","這個的名稱是什麼？","1","29138"
"初音☆消失球","初音消失球","1","小遊戲「 美里的全壘打訓練場」中投手「初音」所使用的消失的魔球。","1099","29699","22833","1099","6","2","6","38899","6","6","6","初音☆消失球","21021","這個的名稱是什麼？","1","28040"
"","昇龍終結球","1","小遊戲「 美里的全壘打訓練場」中投手「嘉夜」所使用的燃燒的魔球。","1102","29699","32080","1100","6","2","6","40845","6","6","6","昇龍終結球","26119","這個的名稱是什麼？","1","32066"
"","超人氣名模","1","小遊戲「 美里的全壘打訓練場」中「鈴奈」受社員們愛戴的□□□超級□□。","0","27169","21517","1101","6","1","6","20154","6","6","6","超人氣名模","36229","這個的名稱是什麼？","1","27683"
"","艾爾皮斯島","1","小遊戲「 大激戰！龍人們的接龍競賽」是在哪一個島舉行？","0","23798","26031","1102","6","2","6","29246","6","6","6","艾爾皮斯島","33406","這個的名稱是什麼？","1","30382"
"","西洋棋拳擊","1","同時比拚精神與肉體強度的競技。交互進行西洋棋與某種運動。","0","25802","25331","1104","6","3","6","27915","6","6","6","西洋棋拳擊","35199","這個的名稱是什麼？","2","26827"
"","發球局2分","1","網球一局比賽只有一名球員發球，稱為該球員的「□□□」，率先贏得至少 4 分並多出對手至少 □□ 的運動員贏得一局。","0","20998","50","1105","6","2","1","29699","6","6","6","發球局2分","30332","這個的名稱是什麼？","2","23616"
"","塑膠製薄板","1","在美式足球的護目鏡裡，為了保護眼睛而裝在頭盔面罩上的一種材料。","0","26495","34180","1106","6","3","6","33184","6","6","6","塑膠製薄板","22609","這個的名稱是什麼？","2","35069"
"","美式橄欖球","1","美式足球的另一種名稱。","0","29699","27414","1107","6","1","6","24335","6","6","6","美式橄欖球","32654","這個的名稱是什麼？","2","27204"
"","24231","1","籃球比賽中，每隊要在□□秒內進攻，投籃成功的話一般是□分，如果是在三分線以外投籃的話，就會得到□分，而在罰球情況下成功的會有□分。","0","49","51","1115","1","2","1","52","1","1","1","24231","50","這個的名稱是什麼？","2","50"
"地圖指南針","地圖指南針","1","野外定向是利用□□與□□□，於限時內找出預設的控制點。","0","37341","21335","1116","6","3","6","22294","6","6","6","地圖指南針","22320","這個的名稱是什麼？","2","25351"
"","501規則","1","現在飛鏢比賽最常見的規則，也是飛鏢世錦賽的規則","0","21063","35215","1117","1","3","6","48","6","1","1","501規則","53","這個的名稱是什麼？","2","49"
"","BOGEY","1","高爾夫的得分名稱，比標準桿多一桿。(請用英文回答)","0","89","69","1120","2","2","2","79","2","2","2","BOGEY","66","這個的名稱是什麼？","2","71"
"提前結束比賽","前結束比賽","1","意指棒球比賽因遭遇惡劣天候或比分差距過大等情況時，於中途提前結束。","0","36093","27604","1121","6","2","6","32080","6","6","6","提前結束比賽","21069","這個的名稱是什麼？","2","26463"
"龍捲風式投法","龍捲風式投","1","棒球的投球方式之一。大幅扭轉身體投球的動作令人聯想到龍捲風。","0","25237","24335","1122","6","1","6","25458","6","6","6","龍捲風式投法","40845","這個的名稱是什麼？","2","39080"
