7c1a7f87d6f4f17781212076fec8796ce23a5ab8ea5555bed33ca85ded4f40a1,f3187ecee1f934a1a9b69d0ca1e03c0f6d32dfc6aab415b13b3a180213e46314,64a16795865d7ae0f7ec1c66e006a11d9ef95b8a7247be0eb562950a7c36fd0f,a197814df55ff7cd82ade7aa9a7b4c4fc92d13a448000ed12389ff2abee95476,cddaa3be88f9758d33c14f7f8b19c965e9920d2a8b2c5668d503a47881f1e635,4019f91339f17970260083f993310e3536ff7efcff045120d541e18237497b9d
"2999180","0","1","0","100111","3000"
"2999101","0","1","0","100112","10000"
"2999167","0","1","0","100121","10000"
"2999168","0","1","0","100122","10000"
"2999169","0","1","0","100123","10000"
"2999170","0","1","0","100124","10000"
"2999171","0","1","0","100125","10000"
"2999172","0","1","0","100131","5000"
"2999173","0","1","0","100132","5000"
"2999174","0","1","0","100133","5000"
"2999175","0","1","0","100134","5000"
"2999176","0","1","0","100135","5000"
"2999182","0","1","0","100211","10000"
"2999102","0","1","0","100221","100000"
"2999103","0","1","0","100231","40000"
"2999102","0","1","0","100232","100000"
"2999184","0","1","0","100311","10000"
"2999183","0","1","0","100321","200000"
"2999185","0","1","0","100331","1000000"
"2999186","0","1","0","100332","50000"
"2999187","0","1","0","100333","50000"
"2999188","0","1","0","100334","50000"
"2999189","0","1","0","100335","50000"
"2999104","0","1","0","100411","3000"
"2999177","0","1","0","100412","110"
"2999105","0","1","0","100421","5000"
"2999178","0","1","0","100422","130"
"2999106","0","1","0","100431","7000"
"2999179","0","1","0","100432","160"
"2999190","0","1","0","100511","3300"
"2999107","0","1","0","100521","20000"
"2999108","0","1","0","100522","20000"
"2999109","0","1","0","100523","20000"
"2999110","0","1","0","100524","20000"
"2999111","0","1","0","100525","20000"
"2999112","0","1","0","100531","20000"
"2999113","0","1","0","100532","20000"
"2999114","0","1","0","100533","20000"
"2999115","0","1","0","100534","20000"
"2999116","0","1","0","100535","20000"
"14","0","14","0","110011","5"
"2999117","0","1","0","110021","10000"
"2999120","0","1","0","110031","10000"
"16","0","14","0","110041","2"
"2999101","0","1","0","110051","1000"
"105","0","14","0","120011","2000"
"2999121","0","1","0","120021","5000"
"2999124","0","1","0","120031","5000"
"2999127","0","1","0","120041","1000"
"2999128","0","1","0","120051","1000"
"2999129","0","1","0","130011","1000"
"100","0","14","0","130021","1000"
"101","0","14","0","130022","1000"
"107","0","14","0","130031","3000"
"6","0","14","0","130041","1000"
"7","0","14","0","130042","1000"
"9","0","14","0","130051","10"
"108","0","14","0","140011","3000"
"2999132","0","1","0","140021","5000"
"2999133","0","1","0","140031","5000"
"2","0","14","0","140041","2000"
"4","0","14","0","140042","2000"
"3","0","14","0","140051","1000"
"5","0","14","0","140052","1000"
"110","0","14","0","150011","1000"
"1","0","14","0","150021","1000"
"2999134","0","1","0","150031","50000"
"2999135","0","1","0","150032","50000"
"2999136","0","1","0","150033","50000"
"2999137","0","1","0","150034","50000"
"2999138","0","1","0","150035","50000"
"2999149","0","1","0","150041","50000"
"2999150","0","1","0","150042","50000"
"2999151","0","1","0","150043","50000"
"2999152","0","1","0","150044","50000"
"2999153","0","1","0","150045","50000"
"2999164","0","1","0","150051","5000"
"14","0","14","0","210011","10"
"2999118","0","1","0","210021","20000"
"2999120","0","1","0","210031","20000"
"16","0","14","0","210041","4"
"2999101","0","1","0","210051","2000"
"105","0","14","0","220011","4000"
"2999122","0","1","0","220021","10000"
"2999125","0","1","0","220031","10000"
"2999127","0","1","0","220041","2000"
"2999128","0","1","0","220051","2000"
"2999129","0","1","0","230011","2000"
"100","0","14","0","230021","2000"
"101","0","14","0","230022","2000"
"107","0","14","0","230031","6000"
"6","0","14","0","230041","2000"
"7","0","14","0","230042","2000"
"9","0","14","0","230051","20"
"108","0","14","0","240011","6000"
"2999132","0","1","0","240021","10000"
"2999133","0","1","0","240031","10000"
"2","0","14","0","240041","4000"
"4","0","14","0","240042","4000"
"3","0","14","0","240051","2000"
"5","0","14","0","240052","2000"
