6ae248a9cb1aed863238b87e2bd93ea81449bef55c6cf606f3b0329619fa5da5,74ebf3c9d7cee360db8510fcb676291d9f55bf05cbd0027561ba4127d16601f0,2cebff9613e180ba1fb838751fe5ac0b59c73423db8e3dc3e59b4b3bb44f5bb7,0276fa87b623f16eb17382eed27a63e65f9e925260d98a87a255b5e05d61302c,ea215742609a16746d0e46d53f7f796d500802939bd2aa641f2743a39d1fb8d1,6077fc6e7027374454fd8d22625c53d3c2eea65fc5bfa46dcbd22889906eac46,c93b768691ca63a603e76af21f2c52b1dba6ce13dc9e4dc078d1a084d18f1332,afb906d7699427936f50e20e1ece605189da700e15dde3eb17f43f8ff4d52368,97a58e8031d9a8917a08c38a7a6c2d5b23085ef4e502a188e0ec9f6af521fcc0,48ca3b25b609bdaa045b001fb6d679af9e1b1045be3ff0bf8e52d59d36ff723c,36262add30b6731c82f0e7c283b78e083be79295ec450029595d8544f0b1b6c8,b26d6d6d4663e1afb27d3b2eed2392b942a194cf8b1c18fc01f0f75e80ad7045,d48da57cdb692d4fb8b6cc776120aa6303980b3e4aeb2f44fb54653d14436943,0d43925ec03d977ebbc513ef12c14e717b9074f78e38c5ee86e738652afa11fb
"1","2030/12/17 14:59:59","2020/08/01 16:00:00","0","10040","24","0","0","就算是我\n該做的時候還是會做的！","102601","鈴","24001","1","0"
"1","2030/12/17 14:59:59","2020/08/01 16:00:00","0","10040","24","1","0","呼…\n這樣子我的工作\n就結束了呢","102601","鈴","24002","1","0"
"1","2030/12/17 14:59:59","2020/08/01 16:00:00","0","10040","24","2","0","結束了結束了\n即使一個人\n也會有辦法的","102601","鈴","24003","1","0"
"2","2030/12/17 14:59:59","2020/08/01 16:00:00","0","10040","24","3","0","太棒了！\n這麼一來\n我終於可以偷懶了…","102601","鈴","24004","2","0"
"1","2030/12/17 14:59:59","2020/08/01 16:00:00","0","10040","24","4","0","想要吃起司的話\n就好好工作\n自己買來吃啦","102601","鈴","24005","1","0"
"2","2030/12/17 14:59:59","2020/08/01 16:00:00","0","10040","24","5","0","你們終於知道\n與我為敵的\n恐怖了吧！","102601","鈴","24006","2","0"
"2","2030/12/17 14:59:59","2020/08/01 16:00:00","0","10040","24","6","0","我意外地\n還蠻行的嘛？","102601","鈴","24007","2","0"
"4","2030/12/17 14:59:59","2020/08/01 16:00:00","0","10040","24","7","0","好累喔…\n老鼠逃跑的速度\n實在太快了啦…","102601","鈴","24008","4","0"
"4","2030/12/17 14:59:59","2020/08/01 16:00:00","0","10040","24","8","0","再這樣下去\n會被\n真陽罵的","102601","鈴","24009","4","0"
"4","2030/12/17 14:59:59","2020/08/01 16:00:00","0","10040","24","9","0","我明明\n就很認真做啊…\n真不甘心～","102601","鈴","24010","4","0"
"4","2030/12/17 14:59:59","2020/08/01 16:00:00","0","10040","24","10","0","被擺了一道…\n老鼠還真是意外的\n難纏啊","102601","鈴","24011","4","0"
"4","2030/12/17 14:59:59","2020/08/01 16:00:00","0","10040","24","11","0","你這傢伙～\n竟然敢偷\n我的起司～！","102601","鈴","24012","4","0"
"1","2030/12/17 14:59:59","2020/08/01 16:00:00","0","10040","24","12","1.81","好累喔…\n不過，下次\n我一定會守住的…","102601","鈴","24013","4","0"
