b4f6ac41865ecf972bd81ff0dd08054e92e8d021a5d80b4561e509233ffc60e9,240dffdcf292c1598c65b865d00a574f9d93944d09e490361fd777dcd4cdf335,ce55ac2e10df5fc906d672a68632ab0396cdf11925f342ff2cd5790ba130a63a,3cd4140a69a2688b1a9ae6655b8026700c9077533c54669021fef5955bacbd89,6299e0a709c845df6a32cdcb79bfd76ffbdc9627c1e2512b8323db20a34418b6,7fc9f78c03be230c7026faa3a03bfdb880ad6e8180b1825b92eca751cd0cda60,652cf43d0197c41ba05d2bfa0392a5e843958ea4332ff6c0e7efc6f5140b184c,5ebc948756d4c8f989ca1ddcff18b32bb7076ca5ca8e1ec7dcaf048dd7a2d8fb,7eb7f2b3bc1e534bf60a80184b5f9f02d0cff0c6018b692b108f80f4dd056af6,a2138c750531720a8a7b0c9c433dbf49b2791a5c6e49b82c78d4e08038f1d94c,ad49ac7ae17e6f95d495f47b6d6fcd484613d43b667d95bc99eeb51479a7eb7d,fc05171b6e95f69274e13ea794b214cf7bbc11b87c71897637e1280af5207c4a,2a1e2a047a1f6b3c84f5147dfe627fbe6d4b31a6b27b9974dc3360174cf61696,b7232275e1c0c31f2003cb93ce2bddd635f588e542e1a7f5263c607025fc89b5,8ba0755549313a7364f58eb32e5141d2d429a28c1f2ae0085d6a095c4f3f53b6,b4fddd4a472a8ae2c2af27384f3ba5d62cf5e026f90b0948274146395df847f5,e812bde0ebc85b444077f6ccb5d4b264295336bdaa3e67ac1a65539e5b2e1fe9,8653fe94a3e2e9d25b3bcfea22c615c7ecdbb66f16558b5977e3f047d4254081,74328b5912325dead03f9af70f7411f3a870d50f9e754d6eb82d07bc82713091,f0c456f2b2dbec2a61ef55f79f91b07f5020cb7814f45a0fc80068c405d40720,9910fed6f51612b708cfc3a5925fa57f243a97349778472ac4622442dcac3a07,3c2d8bbc259200dc49c1d43df3bcbdf6553037fd4d9170cc60c484f32bbff645
"0","0.6","210","1","0.7","1001","101001","101001","1","-30","-120","250","0.8","1","1","0","10","-30","10010101","1","bgm_M64","-480"
"0","0.75","200","2","1","1001","101001","101001","1","-30","-120","0","1.2","1","1","0","10","0","10010102","2","bgm_M64","-260"
"-50","0.75","200","3","1","1001","101001","101001","1","-30","0","100","1.1","1","1","0","0","-10","10010103","3","bgm_M64","-40"
"0","0.7","200","4","1","1001","101001","101001","1","-30","-50","0","1","1","1","0","0","0","10010104","4","bgm_M64","240"
"0","1.2","250","5","1","1001","101011","101011","1","-30","-40","200","1.3","1","1","0","0","0","10010105","5","bgm_M55","480"
"0","0.6","210","1","0.7","1002","101021","101001","1","-30","-155","250","0.8","1","1","0","10","-30","10020101","1","bgm_M64","-480"
"0","0.75","200","2","1","1002","101021","101001","1","-30","-120","250","1.2","1","1","0","10","0","10020102","2","bgm_M64","-265"
"-30","0.9","200","3","1","1002","101021","101001","1","-30","30","100","1.4","1","1","-15","0","-10","10020103","3","bgm_M64","-30"
"-30","1","200","4","1.25","1002","101021","101001","1","-30","-90","100","1.5","1","1","0","0","0","10020104","4","bgm_M64","220"
"0","1.4","250","5","1.6","1002","101031","101011","1","-30","0","200","1.8","1","1","0","0","0","10020105","5","bgm_M55","440"
"0","0.6","210","1","0.7","1003","101041","101041","1","-30","-155","250","0.8","1","1","0","10","-30","10030101","1","bgm_M64","-470"
"0","0.75","200","2","1","1003","101041","101041","1","-30","-95","250","1.2","1","1","0","10","0","10030102","2","bgm_M64","-210"
"-50","0.75","200","3","1","1003","101041","101041","1","-30","-120","100","1.1","1","1","0","0","-10","10030103","3","bgm_M64","50"
"-30","0.8","200","4","1.2","1003","101041","101041","1","-30","35","100","1.5","1","1","0","0","0","10030104","4","bgm_M64","195"
"-50","1.1","210","5","1.35","1003","101042","101042","1","-30","-55","150","1.8","1","1","0","0","0","10030105","5","bgm_M55","450"
"0","0.6","210","1","0.7","1004","101161","101161","1","-30","-120","250","0.8","1","1","0","10","-30","10040101","1","bgm_M64","-480"
"0","0.75","200","2","1","1004","101161","101161","1","-30","-120","0","1.2","1","1","0","10","0","10040102","2","bgm_M64","-260"
"-30","0.9","200","3","1","1004","101161","101161","1","-30","55","100","1.4","1","1","-15","0","-10","10040103","3","bgm_M64","-20"
"-30","0.9","200","4","1","1004","101161","101161","1","-30","-30","0","1.3","1","1","0","0","0","10040104","4","bgm_M64","180"
"-50","0.9","250","5","0.9","1004","101162","101162","1","-30","-60","200","1.2","1","1","-40","0","-30","10040105","5","bgm_M55","470"
"0","0.6","210","1","0.7","1005","101171","101161","1","-30","-120","250","0.8","1","1","0","10","-30","10050101","1","bgm_M64","-480"
"0","0.75","200","2","1","1005","101171","101161","1","-30","-120","0","1.2","1","1","0","10","0","10050102","2","bgm_M64","-260"
"-30","0.9","200","3","1","1005","101171","101161","1","-30","45","100","1.4","1","1","-15","0","-10","10050103","3","bgm_M64","-20"
"0","0.7","200","4","1","1005","101171","101161","1","-30","-70","0","1","1","1","0","0","0","10050104","4","bgm_M64","190"
"-30","1","240","5","1","1005","101172","101162","1","-30","-25","200","1.3","1","1","-40","0","0","10050105","5","bgm_M55","445"
"0","0.6","210","1","0.7","1006","101191","101161","1","-30","-120","250","0.8","1","1","0","10","-30","10060101","1","bgm_M64","-480"
"0","0.75","200","2","1","1006","101191","101161","1","-30","-100","0","1.2","1","1","0","10","0","10060102","2","bgm_M64","-260"
