c69bd458d266715e1ee600fb70c0fa3dcdba052b64d091026ce49ae1532aa8d5,13e6ecc04495e64d5dc32305b2e7d178be5e67682adfb023c3d36b2665c06e23,647c594e3158ddd0adda78c316e09963e2dc035d986b2d31b5351007836f2c4d,99069aa3e4482f6014888053c7f6c6e5feb5848ad6ea340074320be725301c46,0ae1bfce38699cd68fb564bfef6b2e1d257c8eedcc68dd622ab5cb723ec235c1
"10153","10153102","6017101","信賴度","1"
"10168","10168102","6144101","信賴度","1"
"20015","0","0","信賴度","1"
"20017","0","0","信賴度","1"
"20018","0","0","信賴度","1"
"20019","0","0","信賴度","1"
"20020","0","0","信賴度","1"
"20022","0","0","信賴度","1"
"20023","0","0","信賴度","1"
"20024","0","0","信賴度","1"
"20025","0","0","信賴度","1"
"20026","0","0","信賴度","1"
"20028","0","0","信賴度","1"
"20029","0","0","信賴度","1"
"20030","0","0","信賴度","1"
"20031","0","0","信賴度","1"
"20032","0","0","信賴度","1"
"20035","0","0","信賴度","1"
"20037","0","0","信賴度","1"
"20038","0","0","信賴度","1"
"20042","0","0","信賴度","1"
"20043","0","0","信賴度","1"
"20048","0","0","信賴度","1"
"20049","0","0","信賴度","1"
"20051","0","0","信賴度","1"
"20054","0","0","信賴度","1"
"20055","0","0","信賴度","1"
"20056","0","0","信賴度","1"
"20061","0","0","信賴度","1"
"20066","0","0","信賴度","1"
