75a204a4f830af5a36c712d8b68d9191637a47985cd797b75fb14cece7dbc28f,4cccf8dd14e323d34afb9bc87bdbb013e608d05234902a1a61da1eeb9da3f4b7,192f70388a38d7404f15d5d5797b3b17cb33cc2fc5c2d6fa58c65414b756423e,37a8a50d98b6c12c51af76fe785aaaf2a5c2240ada3b31a4b7ddc097742ba0ad,53ba2234f4bf280123dc251b4ef4e287030937305f1833908727d16b361e6013,74189d695b34411225608177192e038213c639148d8417b6db8463a53f447cea,0798293465e6ea12b1e874ecd51eb612e23915e01382219ba6d4790e7847ca6a,5c00557c7199dc133bf810d8dd1782deb01ba2a3af2c7b7c06ce328c3e8321bc
"1","52001","1","【料理】骰子增加成為兩個","1","0","0","1"
"2","52002","1","【料理】骰子只會丟出「1」","1","0","0","1"
"3","52002","3","【料理】跳過下次的回合數計算","1","0","0","2"
"4","52004","1","【料理】骰子只會丟出「4」","1","0","0","1"
"5","52006","1","【料理】骰子只會丟出\n「4・5・6」","1","0","0","1"
"6","52007","1","【料理】骰子第1次只會丟出「3」，第2次只會丟出「6」","1","0","0","1"
"7","52003","1","【料理】骰子只會丟出「5」","1","0","0","1"
"8","52008","2","【料理】里程格所獲得的里程將提升200%","1","0","0","7"
"9","4","3","【事件】跳過下次的回合數計算","2","0","0","2"
"10","5","2","【事件】里程格所獲得的里程將提升100%","2","0","0","3"
"11","6","2","【事件】小遊戲所獲得的里程將提升100%","2","0","0","5"
"12","7","3","【事件】里程商店的所有商品折價20%以上","2","0","0","4"
"13","52009","1","【料理】骰子第1次只會丟出「8」，第2次只會丟出「1」","1","0","0","1"
"14","52010","2","【料理】「里程格」「寶物格」\n「商店格」的RANK提升1個","1","0","0","6"
"15","52011","1","【料理】骰子第1次只會丟出「2」，第2次只會丟出「7」","1","0","0","1"
"16","52012","1","【料理】骰子只會丟出\n「1・2・3」","1","0","0","1"
"17","52012","3","【料理】跳過下次的回合數計算","1","0","0","2"
"18","52014","1","【料理】移動時將可以跳過里程格。","1","0","0","8"
"19","52005","1","【料理】下次移動時，將多移動1格。","1","0","0","1"
"20","52014","1","【料理】下次移動時，將多移動1格。","1","2","2","1"
"21","52015","1","【料理】骰子增加成為兩個","1","0","0","1"
"22","52015","1","【料理】下次移動時，將多移動1格。","1","0","0","1"
"23","52016","1","【料理】投擲的骰子一定會丟出「6」。","1","0","0","1"
"24","52017","1","【料理】變得無法食用移動系的料理。","1","0","0","9"
"25","52018","1","【料理】投擲的骰子一定會丟出「3」。","1","0","0","1"
"26","52019","1","【料理】投擲的骰子一定會丟出「8」。","1","0","0","1"
"27","98011","3","【事件】跳過下次的回合數計算","2","0","0","2"
