704718d6b29d7a1a320dda56cc2b91554bd0af45c0ede8ab1c3a204d928aeb23,0e5f6fe2202fe980081d00c5e965678d307deb22f3bae650602987f83e0dda55,a82002ab071c01d3d39ef8ea60e23c1e4eebc79830afdc4f2161cf18a147d657,02ba16297543a3aabbfd4695db9eae420241947766a21a62c00ce8c699b8f4a0,95c2dee6941ab9e35a04e1cadff2e3ea3467fc9c5bb2b55d02a6f0a2c6eae2fe,327d5ad559f3a8f5870ba0d96255e7ee7ca1f7179bbeebb3d564bc08240aa590,4ac15f9f24482bf0a25fe02ed7f8a3e80d5a1bb44aac0fec9432e4664640076d
"2","呵呵呵，這樣一來就能報復嘉夜夜和老大了！","10001","vo_minigame_1004","vo_minigame_1004_top_1_000","1000101","1"
"2","接龍之戰，我要找哥哥幫忙。","10002","vo_minigame_1004","vo_minigame_1004_top_1_003","1000201","1"
"1","打手就是不管別人怎樣找碴都來者不拒！看我的！","10003","vo_minigame_1004","vo_minigame_1004_top_1_004","1000301","2"
"1","用石板進行接龍嗎……祈梨那人想的活動真有趣呢。","10004","vo_minigame_1004","vo_minigame_1004_top_1_005","1000401","2"
"1","管它是接龍還是什麼，就給他們回馬槍吧！","10005","vo_minigame_1004","vo_minigame_1004_top_1_006","1000501","2"
"2","咕麼……（我、肚子餓了）","10006","vo_minigame_1004","vo_minigame_1004_top_1_007","1000601","3"
"2","咕麼麼麼麼（接龍真有趣）","10007","vo_minigame_1004","vo_minigame_1004_top_1_008","1000701","3"
"2","咕麼麼麼麼！（祈梨 是好人）","10008","vo_minigame_1004","vo_minigame_1004_top_1_009","1000801","3"
"2","就算對手是嘉夜夜，我也不會手下留情。","10009","vo_minigame_1004","vo_minigame_1004_top_2_010","1000901","1"
"1","好極了！要比的話就要認真的比哦。","10009","vo_minigame_1004","vo_minigame_1004_top_2_011","1000902","2"
"2","嘉夜夜，要道歉就趁現在。","10010","vo_minigame_1004","vo_minigame_1004_top_2_012","1001001","1"
"1","祈梨才是，妳要偷哭的話就趁現在吧？","10010","vo_minigame_1004","vo_minigame_1004_top_2_013","1001002","2"
"2","嘉夜夜，今後可是知性的時代哦？","10011","vo_minigame_1004","vo_minigame_1004_top_2_014","1001101","1"
"1","慢著！不要把我說得像笨蛋一樣！！","10011","vo_minigame_1004","vo_minigame_1004_top_2_015","1001102","2"
"1","來，讓妳見識一下我們的力量！","10012","vo_minigame_1004","vo_minigame_1004_top_2_016","1001201","1"
