e3bede4c818a5f71c76bae4e4bb807ead20439d1b504f53fb39e581588f808c0,cecacd6d2524e34c5e3ec3a689a0f0a8c75449dd379f3e125179eeacb004c8af,d9fabdfd227a09d0f345a8eed2aa9496ad9161f693b022f285da63a65d0bf9e7,926747fec25e3fcb59fc0adee6c6bc90fb9b121600ebe4575a7cc2d12aaa42ca,fbaffd017f775d82d2da3eb62d6393662117592a3b99fc3d8b843517e31bfa8e,71e53940b5295b324357e4ea25b92184b041c78957f1fa4b3de7025f5ddd72be,53afdab43c0aa1b7d0685ddd3e5376173825311110e74d233b03dfd36ad56c4e,ebfc09777931f55b4ce8e547ce651f09163da31650c2b85d60892d1bc00b4a6c,714fae2d3edaf5c8e42100be52c48012c803446b0d016485e692770634966168,49a6ff381eebf9aac87d2021e66287ac6c52b9cdaff735b8f34248a698710d79,f72c73af228a95c8a05120892b9494b4539e1824c651f6c129a377dab260449a,5f7305349562c44f108a490e561ea148b6d41b998263ae48fb5a9d9dc678bc6c,4ec2b0fef1205f6caee6996be03c08bc577a34ba3ad96cac98248f789c924715,6238c382830b2c9f42e219734c78d0a18d563f3d6f43049d9a0e82942251df7c,fd300fba901d833389e852da83e82917617350a7d9c2b3146362995c3a3e7f14,9e601b0038445261e49f484763719cd0beabcaecfc6c685150a9a303bf5155ab
"101","3","-110","70","2","1","215","980","2","201","401","1","301","501","1008201","455"
"102","3","-110","70","2","2","215","515","2","202","402","1","302","502","1008202","230"
"103","3","-110","70","2","3","215","515","1","203","403","1","303","503","1008203","230"
"104","3","-110","70","2","4","215","515","1","204","404","1","304","504","1008204","230"
"105","3","-110","78","2","5","233","787","2","205","405","1","305","505","1008205","355"
"106","3","-110","78","2","6","233","787","3","206","406","1","306","506","1008206","355"
"107","3","-110","88","2","7","233","777","3","207","407","1","307","507","1008207","345"
"108","3","-110","88","2","8","233","777","1","208","408","1","308","508","1008208","345"
"109","3","-110","88","2","9","233","777","1","209","409","1","309","509","1008209","345"
"110","3","-110","88","2","10","233","810","3","210","410","1","310","510","1008210","355"
"111","3","-110","88","2","11","233","777","2","211","411","1","311","511","1008211","345"
"112","3","-110","70","2","12","215","515","2","212","412","1","312","512","1008212","230"
"113","3","-110","78","2","13","233","810","1","213","413","1","313","513","1008213","355"
"114","3","-110","70","2","14","215","515","1","214","414","1","314","514","1008214","230"
"115","3","-110","70","2","15","215","515","3","215","415","1","315","515","1008215","230"
"116","3","-110","70","2","16","215","655","2","216","416","1","316","516","1008216","275"
"117","3","-110","70","2","17","215","515","3","217","417","1","317","517","1008217","230"
"118","3","-110","88","2","18","233","777","3","218","418","1","318","518","1008218","345"
