2de00588cfcaeda5fbb3310f51f08826421b0c11cfdedd90efe9bce3aea37bc4,cb00c3e784732540649d8cc4e6354e7d498bb23830ca807a89a2b8f8d6444591,3651a02a2dc18a0d9b1109328d4e800da2c9d9be0cb87513e9017b9890e53152,e426bb0ca62ce7c851b0858e9153dd64001c179c081c7acb69ffe036330ef60a,c32405b0830ffd7beaf3b084c8f658a6b90027a178b9006e858abb13c77bc444,6caae6fafb1f9d3477b79ca0a3be53ec9dd04e2891385ecfd6fe7d196dbf8008,e67f197ee07d8db27f1bf184c7d36d38edbaa0922bbc1d371024d3969dd0b1d9,80aadef491abe47a1843fda437480f4bf612408f29d2002cf66c786221df258b,39dc4c0ad5f0eecd6184fc9f9c890fc3067fb70ace02039e58cb9c21706b9486,f4bbb2f66983ceed08c798224f40679873c365e0d9693a4826eea19ae1711b42,de5af770620e994ba25fa10eca18427785debe306613b000df59fb6ba301a0ed,9ff1f0b68ff38e90f819e2145c013ba437745af4fce8af7e022848fecd29a92a,2e7225e31142028de343ac42d9b74b63ee47c9c6e50e46a121430c6ef1fab59d,dfe024087ee660fae95dcb1b3ec0312c59b32f49e119de52cac4cf70f1677bf7,4f20ae872ba0cda942fb2aacf711b041d50a7017eaa38c7de3670a9b89f6d267,99690117e2060c65f459353818acb919c64f505f42a730a1436671d569fce899
"3","70","301","101","2","-110","1008201","980","1","2","201","215","501","401","455","1"
"3","70","302","102","2","-110","1008202","515","1","2","202","215","502","402","230","2"
"3","70","303","103","1","-110","1008203","515","1","2","203","215","503","403","230","3"
"3","70","304","104","1","-110","1008204","515","1","2","204","215","504","404","230","4"
"3","78","305","105","2","-110","1008205","787","1","2","205","233","505","405","355","5"
"3","78","306","106","3","-110","1008206","787","1","2","206","233","506","406","355","6"
"3","88","307","107","3","-110","1008207","777","1","2","207","233","507","407","345","7"
"3","88","308","108","1","-110","1008208","777","1","2","208","233","508","408","345","8"
"3","88","309","109","1","-110","1008209","777","1","2","209","233","509","409","345","9"
"3","88","310","110","3","-110","1008210","810","1","2","210","233","510","410","355","10"
"3","88","311","111","2","-110","1008211","777","1","2","211","233","511","411","345","11"
"3","70","312","112","2","-110","1008212","515","1","2","212","215","512","412","230","12"
"3","78","313","113","1","-110","1008213","810","1","2","213","233","513","413","355","13"
"3","70","314","114","1","-110","1008214","515","1","2","214","215","514","414","230","14"
"3","70","315","115","3","-110","1008215","515","1","2","215","215","515","415","230","15"
"3","70","316","116","2","-110","1008216","655","1","2","216","215","516","416","275","16"
"3","70","317","117","3","-110","1008217","515","1","2","217","215","517","417","230","17"
"3","88","318","118","3","-110","1008218","777","1","2","218","233","518","418","345","18"
