1826fb3a8918192a1de6cfbf319b81c14c87e7c27c8df474bfa86095aed0abdf,82fe47324ca4de38095cb1121505175c0665956b5d5441717f2bed4d173675ac,e46e46648cebc55d397d4c82d868baa83ffd59a1d65403334484bafb7baea8c2,9dfa99ff40d8d19b17b48a6644d2189ef9367d32529f07a4f05a13ca3a9f5aec,076cb54fbbd6fc7342e62defa3dad297310bb24c63aa6ed68419d899edface2a,9f6d39c770c08386d68603107e20e120f494f22d471f04f28539076990d767f0,d639bba0df375bec6fff3d51d282ec10353f8b2fcbd94cb2ffdaa6a84b7ee80e,9c19236533de33914ef634ab985fcc8055489d40c1d6f96d239628527891f636,b7c187e6040a90ee75c7a24eff6d051f8853fae1981d79d449ddfca393601d47,a5d502c23694f50302ccef6ee82d3e67a3d10ea24b7759602c380b3a27a0864c,fe755794762f4ffd263d196336f9e44550fce4d2e48004260e75771c88cdcbed
"11","10000","","1","2","0","30000","0","","0","25011"
"12","10000","","2","2","0","30000","0","","0","25012"
"13","5000","","3","2","0","30000","0","","0","25021"
"14","50","","4","8","0","30000","0","","0","91002"
"15","10000","","5","2","0","30000","0","","0","25013"
"16","50","","6","8","0","30000","0","","0","91002"
"17","10000","","7","2","0","30000","0","","0","25014"
"18","5000","","8","2","0","30000","0","","0","25021"
"19","80","","9","8","0","30000","0","","0","91002"
"20","1","","10","2","0","30000","0","","0","24001"
"21","80","","11","8","0","30000","0","","0","91002"
"22","10000","","12","2","0","30000","0","","0","25015"
"23","5000","","13","2","0","30000","0","","0","25021"
"24","100","","14","8","0","30000","0","","0","91002"
"25","1","","15","2","0","30000","0","","0","24001"
"27","150","今天是紀念日，要慶祝才行呢！\n燒肉、壽司、披薩、蛋糕～☆\n能和你一起開派對，\n我好幸福～♪","1","8","107501","40001","1","貪吃佩可","0","91002"
"28","150","能夠在今天迎來這個紀念日，\n全拜主人的器量所賜。\n真不愧是主人呢。\n真了不起真了不起♪","2","8","107601","40001","1","可可蘿","0","91002"
"29","150","你還挺能幹的嘛！\n我有點…還蠻…非、非常\n對你刮目相看了呢。\n我就誇誇你吧♪","3","8","107801","40001","1","凱留","0","91002"
"30","150","對您和我來說，\n今天是個特別的日子。\n因為有了您的支持，\n我才能夠如此努力！","4","8","107701","40001","1","鈴莓","0","91002"
"31","150","今天對你來說是個\n特別的紀念日呢喵。\n對於你的活躍，我總是\n以貓的方式在感謝你喵～♪","5","8","107901","40001","1","珠希","0","91002"
"32","150","嗚～吃了太多的刨冰，\n身體變得好冷哦…\n請用你的體溫溫暖我吧！\n抱緊──♪","6","8","107501","40001","2","貪吃佩可","0","91002"
"33","150","夏天總是充滿著許多的危險…\n但是在下會好好地\n保護著主人的哦。","7","8","107601","40001","2","可可蘿","0","91002"
"34","150","嗯～到底為什麼會和你\n一起度過了一整個夏天啊…\n雖然我很開心就是了！\n來吧，我們要繼續玩囉！","8","8","107801","40001","2","凱留","0","91002"
"35","150"," 和您一起度過的第一個夏天…\n我現在就已經心跳不已了呢。\n快樂又美好的回憶，\n又增加一個了呢♪","9","8","107701","40001","2","鈴莓","0","91002"
"36","150","明明夏天是最好賺錢的時候，\n但今年我卻想和你\n一起度過呢喵。你能和我一起\n創造愉快的回憶喵？","10","8","107901","40001","2","珠希","0","91002"
"47","300","","1","8","0","20000","0","","0","91002"
"48","20","","1","2","0","20000","0","","0","23001"
"49","300","","2","8","0","20000","0","","0","91002"
"50","20","","2","2","0","20000","0","","0","23001"
"51","300","","3","8","0","20000","0","","0","91002"
"52","20","","3","2","0","20000","0","","0","23001"
"53","300","","4","8","0","20000","0","","0","91002"
"54","20","","4","2","0","20000","0","","0","23001"
"55","500","","5","8","0","20000","0","","0","91002"
"56","20","","5","2","0","20000","0","","0","23001"
"57","300","","6","8","0","20000","0","","0","91002"
"58","20","","6","2","0","20000","0","","0","23001"
"59","300","","7","8","0","20000","0","","0","91002"
"60","20","","7","2","0","20000","0","","0","23001"
"61","300","","8","8","0","20000","0","","0","91002"
"62","20","","8","2","0","20000","0","","0","23001"
"63","300","","9","8","0","20000","0","","0","91002"
"64","20","","9","2","0","20000","0","","0","23001"
"65","600","","10","8","0","20000","0","","0","91002"
"66","20","","10","2","0","20000","0","","0","23001"
"67","150","","1","8","0","49001","0","","0","91002"
"68","150","","2","8","0","49001","0","","0","91002"
"69","150","","3","8","0","49001","0","","0","91002"
"70","150","","4","8","0","49001","0","","0","91002"
"71","150","","5","8","0","49001","0","","0","91002"
"72","150","","6","8","0","49001","0","","0","91002"
