2ec24dc1c1d83e08959db12804ad12c3049e5fcadab3f2c440c5e8958c8a69fc,f3fee1e9f40194a7100caac0c89c67bc21cc02ba3b498e27332775331ba75a67,f95a55c747d82cce59be57aef76a4796739a8836ee02cc6cf79a7aaedf739039,aaa4793bebecb5842aa7472445633552f37679003de2c2476e75bcacbbb1869c,605578c24d41959b3096749304978be9056e1e38a72a7b14e5b7e5ce1cd08f34,080b3fdad5d97b3c346cae2bfcc57eb799398e1793c057cfa6524afa29bc5fe8,4826dd2bb9b341c66b540191029e6f837a8aac7b490b38ca6994778228646328,79cd02d16becdea913c09521175531c3aa534dd61a37352bc15a30aeed9956c4,7a8d9900917de739fcd30cbb044720f937a4d0c6c7a70dc270fb0d765173c46f,255016ae65383c7744d412e99d4c55e34721ab4dce3e8012aaa83776cce35b89
"1","10001","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","126501","1001","萊拉耶爾","","0"
"2","10001","取得最大1000里程","","2","105301","1002","莫妮卡","","0"
"1","1","取得{0}個料理","","3","126401","1003","克蘿茜","","0"
"3","1","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","100501","1004","茉莉","重新擲{0}次骰子\n（還剩{1}次）","0"
"2","2","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","101301","1005","七七香","重新擲{0}次骰子\n（還剩{1}次）","0"
"2","4","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","","5","104301","1006","真琴","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","0"
"3","3","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","","5","102701","1007","惠理子","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","0"
"1","7","追加投擲骰子\n直到數字合計為{0}以上","","6","100901","1008","杏奈","追加投擲骰子\n直到數字合計為{0}以上","0"
"1","10001","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","105101","1009","深月","","0"
"2","10001","取得最大1000里程","","2","101801","1010","伊緒","","0"
"2","0","可以選擇使用骰子的\n正面或背面","","8","129701","1011","涅妃‧涅羅","可以選擇使用骰子的\n正面或背面","0"
"3","1","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","101601","1012","鈴奈","重新擲{0}次骰子\n（還剩{1}次）","0"
"2","2","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","105601","1013","流夏","重新擲{0}次骰子\n（還剩{1}次）","0"
"3","3","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","","5","102001","1014","美美","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","0"
"1","7","追加投擲骰子\n直到數字合計為{0}以上","","6","129601","1015","安涅默涅","追加投擲骰子\n直到數字合計為{0}以上","0"
"2","1","骰子擲出{0}時，\n可以讓對手休息{1}個回合","","10","100401","1016","禊","骰子擲出{0}時，可以讓對手休息{1}個回合","1"
"3","2","骰子擲出{0}時，\n前進+{1}","","13","127701","1017","琳德","骰子擲出{0}時，\n前進+{1}","1"
"2","1","骰子擲出{0}時，\n可以讓對手休息{1}個回合","","10","127801","1018","烏爾姆","骰子擲出{0}時，\n可以讓對手休息{1}個回合","1"
"1","10001","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","104801","1019","美冬","","0"
"2","2","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","104701","1020","純","重新擲{0}次骰子\n（還剩{1}次）","0"
"1","7","追加投擲骰子\n直到數字合計為{0}以上","","6","105001","1021","美咲","追加投擲骰子\n直到數字合計為{0}以上","0"
"1","10002","取得最大2000里程","","2","103201","1022","秋乃","","0"
"1","1","取得{0}張抽獎券","","12","130901","1023","庫露露","","0"
"1","1","取得{0}個料理","","3","102501","1024","鈴莓","","0"
"2","0","可以選擇使用骰子的\n正面或背面","","8","100801","1025","雪","可以選擇使用骰子的\n正面或背面","0"
"2","4","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","","5","123301","1026","涅婭","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","0"
"1","10001","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","104601","1027","珠希","","0"
"2","2","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","118101","1028","蘭法","重新擲{0}次骰子\n（還剩{1}次）","0"
"1","7","追加投擲骰子\n直到數字合計為{0}以上","","6","103401","1029","優花梨","追加投擲骰子\n直到數字合計為{0}以上","0"
"1","10002","取得最大2000里程","","2","118001","1030","克蕾琪塔","","0"
"1","1","取得{0}張抽獎券","","12","102801","1031","咲戀","","0"
"1","1","取得{0}個料理","","3","100201","1032","優衣","","0"
"3","1","骰子擲出{0}時，\n前進+{1}","","13","101201","1033","初音","骰子擲出{0}時，\n前進+{1}","1"
"3","1","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","118201","1034","美空","重新擲{0}次骰子\n（還剩{1}次）","0"
"1","7","追加投擲骰子\n直到數字合計為{0}以上","","6","106101","1035","矛依未","追加投擲骰子\n直到數字合計為{0}以上","0"
"2","4","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","","5","103101","1036","忍","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","0"
"1","10001","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","103301","1037","真陽","","0"
"1","10002","取得最大2000里程","","2","103601","1038","鏡華","","0"
"1","1","取得{0}張抽獎券","","12","133001","1039","格蕾斯","","0"
"1","1","取得{0}個料理","","3","133101","1040","薇歐莉特","","0"
"2","0","可以選擇使用骰子的\n正面或背面","","8","106801","1041","拉比林斯達","可以選擇使用骰子的\n正面或背面","0"
"3","1","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","107101","1042","克莉絲提娜","重新擲{0}次骰子\n（還剩{1}次）","0"
"1","7","追加投擲骰子\n直到數字合計為{0}以上","","6","107001","1043","似似花","追加投擲骰子\n直到數字合計為{0}以上","0"
"2","4","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","","5","106501","1044","嘉夜","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","0"
"1","10001","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","111001","1045","優妮","","0"
"1","10002","取得最大2000里程","","2","134901","1046","華音","","0"
"1","1","取得{0}張抽獎券","","12","105401","1047","紡希","","0"
"1","1","取得{0}個料理","","3","134701","1048","鳳凰","","0"
"2","0","可以選擇使用骰子的\n正面或背面","","8","100101","1049","日和","可以選擇使用骰子的\n正面或背面","0"
"3","1","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","100701","1050","宮子","重新擲{0}次骰子\n（還剩{1}次）","0"
"1","7","追加投擲骰子\n直到數字合計為{0}以上","","6","103001","1051","妮諾","追加投擲骰子\n直到數字合計為{0}以上","0"
"3","2","骰子擲出{0}時，\n前進+{1}","","13","101401","1052","霞","骰子擲出{0}時，\n前進+{1}","1"
"1","10001","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","135901","1053","剎鬼","","0"
"1","10002","取得最大2000里程","","2","102601","1054","鈴","","0"
"1","1","取得{0}張抽獎券","","12","132401","1055","彩羽","","0"
"1","1","取得{0}個料理","","3","135801","1056","雪野","","0"
"2","0","可以選擇使用骰子的\n正面或背面","","8","100301","1057","怜","可以選擇使用骰子的\n正面或背面","0"
"3","1","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","106701","1058","帆稀","重新擲{0}次骰子\n（還剩{1}次）","0"
"1","7","追加投擲骰子\n直到數字合計為{0}以上","","6","132301","1059","露易絲瑪莉","追加投擲骰子\n直到數字合計為{0}以上","0"
"3","1","骰子擲出{0}時，\n前進+{1}","","13","105201","1060","莉瑪","骰子擲出{0}時，\n前進+{1}","1"
"1","10001","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","102201","1061","依里","","0"
"1","10002","取得最大2000里程","","2","100601","1062","茜里","","0"
"1","1","取得{0}張抽獎券","","12","136201","1063","拿娜","","0"
"1","1","取得{0}個料理","","3","110901","1064","琪愛兒","","0"
"2","4","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","","5","103801","1065","栞","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","0"
"3","1","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","101501","1066","美里","重新擲{0}次骰子\n（還剩{1}次）","0"
"1","7","追加投擲骰子\n直到數字合計為{0}以上","","6","102901","1067","望","追加投擲骰子\n直到數字合計為{0}以上","0"
"3","2","骰子擲出{0}時，\n前進+{1}","","13","101701","1068","香織","骰子擲出{0}時，\n前進+{1}","1"
"1","10001","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","132501","1069","苑","","0"
"1","10002","取得最大2000里程","","2","104201","1070","千歌","","0"
"1","1","取得{0}張抽獎券","","12","101101","1071","璃乃","","0"
"1","1","取得{0}個料理","","3","104901","1072","靜流","","0"
"2","0","可以選擇使用骰子的\n正面或背面","","8","101001","1073","真步","可以選擇使用骰子的\n正面或背面","0"
"3","1","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","135601","1074","志那都","重新擲{0}次骰子\n（還剩{1}次）","0"
"1","7","追加投擲骰子\n直到數字合計為{0}以上","","6","135501","1075","埃拉","追加投擲骰子\n直到數字合計為{0}以上","0"
"3","1","骰子擲出{0}時，\n前進+{1}","","13","105501","1076","步未","骰子擲出{0}時，\n前進+{1}","1"
"1","10001","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","122301","1077","班比","","0"
"1","10002","取得最大2000里程","","2","133601","1078","梅杜莎","","0"
"1","1","取得{0}張抽獎券","","12","102101","1079","胡桃","","0"
"1","1","取得{0}個料理","","3","102301","1080","綾音","","0"
