96d3e040cc5b650b403fbc49892cef7e5b72c819282338dbb52bf8c0ebafaf9b,7fbbcda82348f4c1d26e25af3dc5d9cdece3a3179478496849d1a14951ac52c9,2c3886b9c8b3b4284fadd5f6f0948cb5ed3305864e538eff8a5d62045d7ebae1,ba96ff42dd386e3a3e90ed017de37eb768a0d816936f809a7b699302891123a5,314abe2a9a59375b231dae2ab34177ee94d69a0a227e62ea5c953cbf1e133f10,8441707b194f9ad791fdcdf625d6c8a44cac78e5c653250d8d2b7b0d70a60f5e
"1013206","2024/04/01 16:00:00","3001","118001","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","1"
"1013206","2024/04/01 16:00:00","3002","118001","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","2"
"1013206","2024/04/01 16:00:00","3010","118001","戰鬥開始90秒內，大幅度提升TP上升。","3"
"1013206","2024/04/01 16:00:00","3001","105801","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","4"
"1013206","2024/04/01 16:00:00","3004","105801","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","5"
"1013206","2024/04/01 16:00:00","3005","105801","戰鬥開始90秒內若HP歸零，\n將不會被擊倒並恢復HP（僅限1次）","6"
"1013206","2024/04/01 16:00:00","3001","107501","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","7"
"1013206","2024/04/01 16:00:00","3002","107501","戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","8"
"1013206","2024/04/01 16:00:00","3010","107501","戰鬥開始90秒內，大幅度提升TP上升。","9"
"1013206","2024/04/01 16:00:00","3001","111801","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","10"
"1013206","2024/04/01 16:00:00","3004","111801","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。","11"
"1013206","2024/04/01 16:00:00","3001","121001","戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","13"
"1013206","2024/04/01 16:00:00","3004","121001","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。","14"
"1013206","2024/04/01 16:00:00","3001","180401","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","16"
"1013206","2024/04/01 16:00:00","3004","180401","戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","17"
"1013206","2024/04/01 16:00:00","3005","180401","戰鬥開始90秒內若HP歸零，\n將不會被擊倒並恢復HP（僅限1次）","18"
"1013206","2024/04/01 16:00:00","3003","127901","戰鬥開始90秒內，\n超大幅度提升魔法攻擊力。","19"
"1013206","2024/04/01 16:00:00","3004","127901","戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。","20"
"1013406","2024/05/01 16:00:00","3001","106601","戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","21"
"1013406","2024/05/01 16:00:00","3012","106601","バトル開始後90秒間物理/魔法バリア\n展開","22"
"1013406","2024/05/01 16:00:00","3003","101401","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","23"
"1013406","2024/05/01 16:00:00","3010","101401","戰鬥開始90秒內，\n特大幅度提升TP上升。","24"
"1013406","2024/05/01 16:00:00","3003","101201","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","25"
"1013406","2024/05/01 16:00:00","3010","101201","戰鬥開始90秒內，\n特大幅度提升TP上升。","26"
"1013406","2024/05/01 16:00:00","3001","116501","戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","27"
"1013406","2024/05/01 16:00:00","3012","116501","バトル開始後90秒間物理/魔法バリア\n展開","28"
